"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","CSCO","TRV","UNH"
"T+1",0.00058990869682748,-0.000455018323020002,0.00073139218285757,0.000912659576231201,-0.000385063085932416,0.000476439836646801,-0.000116393700166411,0.000184469334057095,0.000748988293640149,-9.10969920319385e-05,0.00141327838821357,-0.000938411047166142,0.00107233708851904,0.000813788228173506,0.0018504534869586,0.00137556810245945,0.00087023866092926,-5.47284163984597e-05,0.0010807121499765,0.000677223134185628,0.000659744519457078,0.00116214518369583,0.000855129331021387,0.00100715480481052,0.000935517648331056,0.00159797139014751,0.000883288506065165,0.00045056983804516,0.00112101600293897,-0.00071865388665594
"T+2",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+3",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+4",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+5",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+6",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+7",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+8",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+9",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+10",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
