"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"2007-01-01";"VZ";"AA";"MCD";"T";"MMM";"RTX";"DD";"HON";"MO";"GM"
"2007-02-01";"KO";"AA";"VZ";"MCD";"MMM";"RTX";"DD";"HON";"MO";"GM"
"2007-03-01";"AA";"KO";"MCD";"VZ";"MMM";"RTX";"DD";"HON";"MO";"GM"
"2007-04-01";"T";"KO";"MCD";"VZ";"RTX";"MMM";"DD";"HON";"MO";"GM"
"2007-05-01";"T";"AA";"MCD";"VZ";"RTX";"MMM";"DD";"HON";"MO";"GM"
"2007-06-01";"T";"KO";"MCD";"VZ";"RTX";"MMM";"DD";"HON";"MO";"GM"
"2007-07-01";"T";"KO";"MCD";"VZ";"RTX";"MMM";"DD";"HON";"MO";"GM"
"2007-08-01";"T";"KO";"MCD";"VZ";"RTX";"MMM";"DD";"HON";"MO";"GM"
"2007-09-01";"KO";"T";"MCD";"VZ";"RTX";"MMM";"HON";"DD";"MO";"GM"
"2007-10-01";"KO";"T";"MCD";"VZ";"RTX";"MMM";"HON";"DD";"MO";"GM"
"2007-11-01";"KO";"T";"VZ";"MCD";"RTX";"MMM";"HON";"DD";"MO";"GM"
"2007-12-01";"DIS";"T";"MCD";"VZ";"RTX";"MMM";"HON";"DD";"MO";"GM"
"2008-01-01";"DIS";"T";"MCD";"VZ";"RTX";"MMM";"HON";"DD";"MO";"GM"
"2008-02-01";"T";"DIS";"MCD";"VZ";"RTX";"MMM";"HON";"DD";"MO";"GM"
"2008-03-01";"KO";"T";"CAT";"DIS";"MCD";"VZ";"RTX";"MMM";"DD";"GM"
"2008-04-01";"KO";"CAT";"T";"MCD";"DIS";"VZ";"RTX";"MMM";"DD";"GM"
"2008-05-01";"KO";"CAT";"T";"MCD";"DIS";"VZ";"RTX";"MMM";"DD";"GM"
"2008-06-01";"KO";"CAT";"T";"DIS";"MCD";"VZ";"RTX";"MMM";"DD";"GM"
"2008-07-01";"KO";"CAT";"T";"DIS";"MCD";"VZ";"RTX";"MMM";"DD";"GM"
"2008-08-01";"KO";"CAT";"DIS";"T";"MCD";"VZ";"RTX";"MMM";"DD";"GM"
"2008-09-01";"HD";"MCD";"CAT";"DIS";"T";"RTX";"VZ";"MMM";"DD";"GM"
"2008-10-01";"MCD";"DIS";"CAT";"T";"RTX";"VZ";"MMM";"DD";"MDLZ";"GM"
"2008-11-01";"HD";"DIS";"CAT";"T";"RTX";"VZ";"MMM";"DD";"MDLZ";"GM"
"2008-12-01";"DIS";"HD";"CAT";"T";"RTX";"VZ";"MMM";"DD";"MDLZ";"GM"
"2009-01-01";"DIS";"HD";"CAT";"T";"RTX";"VZ";"MMM";"DD";"MDLZ";"GM"
"2009-02-01";"HD";"CAT";"BA";"T";"VZ";"RTX";"MMM";"DD";"MDLZ";"GM"
"2009-03-01";"MRK";"CAT";"BA";"T";"RTX";"VZ";"MMM";"DD";"MDLZ";"GM"
"2009-04-01";"CAT";"AA";"BA";"T";"VZ";"RTX";"MMM";"DD";"MDLZ";"GM"
"2009-05-01";"AA";"MRK";"T";"BA";"VZ";"RTX";"MMM";"DD";"MDLZ";"GM"
"2009-06-01";"MRK";"AA";"T";"BA";"VZ";"RTX";"MMM";"DD";"MDLZ";"GM"
"2009-07-01";"AA";"MRK";"T";"VZ";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2009-08-01";"AA";"MRK";"T";"VZ";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2009-09-01";"DIS";"MRK";"T";"VZ";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2009-10-01";"MRK";"DIS";"T";"VZ";"RTX";"BA";"MMM";"DD";"TRV";"MDLZ"
"2009-11-01";"MRK";"DIS";"T";"VZ";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2009-12-01";"HD";"DIS";"T";"VZ";"RTX";"BA";"DD";"MMM";"TRV";"MDLZ"
"2010-01-01";"HD";"DIS";"VZ";"T";"BA";"RTX";"DD";"MMM";"TRV";"MDLZ"
"2010-02-01";"HD";"DIS";"VZ";"T";"BA";"RTX";"DD";"MMM";"TRV";"MDLZ"
"2010-03-01";"HD";"DIS";"VZ";"T";"BA";"RTX";"DD";"MMM";"TRV";"MDLZ"
"2010-04-01";"HD";"DIS";"VZ";"T";"BA";"RTX";"DD";"MMM";"TRV";"MDLZ"
"2010-05-01";"HD";"DIS";"VZ";"T";"BA";"RTX";"DD";"MMM";"TRV";"MDLZ"
"2010-06-01";"HD";"DIS";"VZ";"T";"BA";"RTX";"DD";"MMM";"MDLZ";"TRV"
"2010-07-01";"MCD";"DIS";"VZ";"T";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2010-08-01";"MCD";"DIS";"VZ";"T";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2010-09-01";"DIS";"MCD";"VZ";"T";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2010-10-01";"DIS";"MCD";"VZ";"T";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2010-11-01";"DIS";"MCD";"VZ";"T";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2010-12-01";"MRK";"MCD";"VZ";"BA";"T";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2011-01-01";"MRK";"MCD";"VZ";"BA";"T";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2011-02-01";"DIS";"MCD";"VZ";"BA";"T";"RTX";"MMM";"DD";"MDLZ";"TRV"
