"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"2007-01-01";"MSFT";"INTC";"XOM";"C";"GE";"WMT";"PFE";"JNJ";"HPQ";"JPM"
"2007-02-01";"MSFT";"INTC";"XOM";"C";"GE";"WMT";"PFE";"HPQ";"JNJ";"HD"
"2007-03-01";"MSFT";"INTC";"XOM";"C";"GE";"WMT";"PFE";"HPQ";"JNJ";"HD"
"2007-04-01";"MSFT";"XOM";"INTC";"C";"GE";"WMT";"PFE";"HPQ";"JNJ";"JPM"
"2007-05-01";"MSFT";"XOM";"INTC";"C";"GE";"WMT";"PFE";"HPQ";"JNJ";"JPM"
"2007-06-01";"MSFT";"XOM";"INTC";"C";"GE";"PFE";"WMT";"HPQ";"JNJ";"JPM"
"2007-07-01";"MSFT";"XOM";"INTC";"C";"GE";"WMT";"PFE";"HPQ";"JNJ";"IBM"
"2007-08-01";"MSFT";"XOM";"INTC";"C";"GE";"PFE";"WMT";"JPM";"JNJ";"IBM"
"2007-09-01";"MSFT";"XOM";"C";"INTC";"GE";"WMT";"PFE";"JPM";"IBM";"JNJ"
"2007-10-01";"MSFT";"XOM";"C";"INTC";"GE";"WMT";"PFE";"JPM";"IBM";"JNJ"
"2007-11-01";"MSFT";"XOM";"C";"INTC";"GE";"WMT";"PFE";"JPM";"AIG";"IBM"
"2007-12-01";"MSFT";"C";"XOM";"INTC";"GE";"WMT";"JPM";"PFE";"AIG";"IBM"
"2008-01-01";"MSFT";"C";"XOM";"INTC";"GE";"JPM";"WMT";"AIG";"IBM";"PFE"
"2008-02-01";"C";"MSFT";"XOM";"INTC";"GE";"JPM";"WMT";"AIG";"IBM";"PFE"
"2008-03-01";"C";"MSFT";"XOM";"INTC";"GE";"BAC";"JPM";"WMT";"AIG";"IBM"
"2008-04-01";"C";"MSFT";"XOM";"BAC";"GE";"INTC";"JPM";"WMT";"AIG";"IBM"
"2008-05-01";"C";"MSFT";"XOM";"BAC";"GE";"INTC";"JPM";"WMT";"AIG";"IBM"
"2008-06-01";"C";"MSFT";"XOM";"BAC";"GE";"INTC";"JPM";"WMT";"AIG";"IBM"
"2008-07-01";"C";"MSFT";"XOM";"BAC";"GE";"INTC";"JPM";"WMT";"AIG";"IBM"
"2008-08-01";"C";"MSFT";"BAC";"XOM";"GE";"JPM";"INTC";"WMT";"AIG";"CVX"
"2008-09-01";"C";"MSFT";"BAC";"XOM";"GE";"JPM";"INTC";"WMT";"AIG";"CVX"
"2008-10-01";"C";"MSFT";"BAC";"XOM";"GE";"JPM";"INTC";"WMT";"CVX";"IBM"
"2008-11-01";"C";"MSFT";"BAC";"XOM";"GE";"JPM";"INTC";"WMT";"CVX";"IBM"
"2008-12-01";"C";"BAC";"MSFT";"XOM";"GE";"JPM";"WMT";"INTC";"CVX";"PG"
"2009-01-01";"C";"BAC";"MSFT";"XOM";"GE";"JPM";"WMT";"INTC";"CVX";"PG"
"2009-02-01";"BAC";"XOM";"C";"MSFT";"GE";"JPM";"WMT";"INTC";"CVX";"PG"
"2009-03-01";"BAC";"XOM";"C";"MSFT";"GE";"JPM";"WMT";"INTC";"CVX";"PG"
"2009-04-01";"BAC";"XOM";"C";"JPM";"GE";"MSFT";"WMT";"INTC";"CVX";"PG"
"2009-05-01";"BAC";"XOM";"JPM";"C";"GE";"MSFT";"WMT";"INTC";"CVX";"PG"
"2009-06-01";"BAC";"XOM";"JPM";"C";"GE";"MSFT";"WMT";"INTC";"CVX";"PG"
"2009-07-01";"BAC";"XOM";"JPM";"GE";"MSFT";"WMT";"CSCO";"INTC";"CVX";"PG"
"2009-08-01";"BAC";"XOM";"JPM";"GE";"MSFT";"WMT";"CSCO";"INTC";"PG";"CVX"
