"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"2007-01-01";"PG";"HD";"AIG";"IBM";"DIS";"CAT";"BA";"MRK";"AXP";"KO"
"2007-02-01";"JPM";"PG";"IBM";"AIG";"CAT";"DIS";"BA";"MRK";"AXP";"T"
"2007-03-01";"JPM";"IBM";"PG";"AIG";"CAT";"DIS";"BA";"MRK";"AXP";"T"
"2007-04-01";"HD";"IBM";"AIG";"PG";"DIS";"CAT";"BA";"MRK";"AXP";"AA"
"2007-05-01";"IBM";"HD";"AIG";"PG";"DIS";"CAT";"BA";"MRK";"AXP";"KO"
"2007-06-01";"IBM";"HD";"AIG";"PG";"DIS";"CAT";"BA";"MRK";"AXP";"AA"
"2007-07-01";"JPM";"AIG";"HD";"PG";"MRK";"DIS";"CAT";"BA";"AA";"AXP"
"2007-08-01";"HPQ";"AIG";"HD";"PG";"AA";"CAT";"MRK";"BA";"DIS";"AXP"
"2007-09-01";"AIG";"HPQ";"HD";"PG";"AA";"BA";"CAT";"MRK";"AXP";"DIS"
"2007-10-01";"AIG";"HD";"HPQ";"PG";"AA";"BA";"MRK";"AXP";"CAT";"DIS"
"2007-11-01";"JNJ";"HD";"HPQ";"PG";"AA";"BA";"MRK";"AXP";"CAT";"DIS"
"2007-12-01";"JNJ";"HD";"HPQ";"PG";"AA";"BA";"AXP";"MRK";"KO";"CAT"
"2008-01-01";"JNJ";"PG";"HPQ";"HD";"AA";"BA";"AXP";"MRK";"KO";"CAT"
"2008-02-01";"JNJ";"HPQ";"PG";"HD";"AA";"BA";"MRK";"AXP";"KO";"CAT"
"2008-03-01";"PFE";"JNJ";"HPQ";"PG";"CVX";"HD";"AA";"BA";"MRK";"AXP"
"2008-04-01";"PFE";"JNJ";"PG";"CVX";"HPQ";"AA";"HD";"BA";"MRK";"AXP"
"2008-05-01";"PFE";"PG";"CVX";"JNJ";"HPQ";"AA";"HD";"MRK";"BA";"AXP"
"2008-06-01";"CVX";"HPQ";"PFE";"PG";"JNJ";"AA";"HD";"BA";"MRK";"AXP"
"2008-07-01";"CVX";"HPQ";"PFE";"PG";"JNJ";"AA";"BA";"HD";"MRK";"AXP"
"2008-08-01";"IBM";"HPQ";"PG";"PFE";"JNJ";"AXP";"MRK";"AA";"BA";"HD"
"2008-09-01";"IBM";"PG";"HPQ";"PFE";"JNJ";"MRK";"AXP";"BA";"AA";"KO"
"2008-10-01";"PG";"HPQ";"JNJ";"PFE";"AXP";"MRK";"BA";"AA";"KO";"HD"
"2008-11-01";"PG";"JNJ";"HPQ";"PFE";"AXP";"MRK";"KO";"AA";"BA";"MCD"
"2008-12-01";"IBM";"JNJ";"HPQ";"PFE";"AXP";"KO";"MRK";"AA";"BA";"MCD"
"2009-01-01";"IBM";"JNJ";"HPQ";"PFE";"AXP";"KO";"MRK";"AA";"MCD";"BA"
"2009-02-01";"JNJ";"IBM";"HPQ";"PFE";"KO";"AXP";"AA";"MCD";"MRK";"DIS"
"2009-03-01";"JNJ";"IBM";"HPQ";"PFE";"KO";"AXP";"MCD";"HD";"AA";"DIS"
"2009-04-01";"JNJ";"IBM";"HPQ";"PFE";"KO";"MCD";"AXP";"HD";"DIS";"MRK"
"2009-05-01";"JNJ";"IBM";"HPQ";"PFE";"KO";"AXP";"MCD";"HD";"DIS";"CAT"
"2009-06-01";"JNJ";"IBM";"PFE";"HPQ";"AXP";"KO";"MCD";"HD";"CAT";"DIS"
"2009-07-01";"JNJ";"IBM";"HPQ";"PFE";"AXP";"MCD";"KO";"HD";"CAT";"DIS"
