,MN75%,MN90%,ARR%,ARC%,ASD%,MDD%,IR*,IR**
ew,22.84375,27.0,264.2126788075816,6.260560747613542,20.836344581915434,60.82058468705824,0.30046348691350083,0.03092817870693741
djia,-,-,265.962047805617,6.304397226552871,19.546043975053546,53.77856040192825,0.32254082895746683,0.0378110810764025
ew_H,8,9,310.050750811444,7.328373817261324,24.74878132012016,57.60838680004679,0.29611049216809454,0.03766827190202219
ew_M,8,9,263.3221417942974,6.238140647255586,26.896194002827272,73.65522082606732,0.23193395491569718,0.019643368323543266
ew_L,7.84375,9.0,251.88481654892774,5.943697091041189,24.87927822175216,58.55860398731176,0.23890150823766926,0.024248498134710625
mv_gmir_baseline,3.953125,5.192708333333333,325.74662371347756,7.660153624148047,24.957991540826303,36.71758156786353,0.3069218775724626,0.06403114345839044
mv_gmv_baseline,5.791666666666667,8.192708333333334,297.2820591262855,7.046640900022227,20.116188242497334,39.71454522363986,0.3502970252155196,0.06215398744061373
mv_gmir_c_002,3.953125,5.192708333333333,286.3338988257845,6.795892108201551,24.96630463073137,37.42731439294853,0.2722025629630584,0.049425380353269634
mv_gmv_c_002,5.791666666666667,8.192708333333334,281.6016441038886,6.684714450083407,20.120316680935836,40.032649379753295,0.3322370396096811,0.05547746087110098
mv_gmir_c_005,3.953125,5.192708333333333,194.32113143847982,4.2395437684859205,25.009464892117645,39.51290832251493,0.16951757211815108,0.01818841479995182
mv_gmv_c_005,5.791666666666667,8.192708333333334,239.30059893217557,5.604879804454499,20.138962631746445,40.978533535124406,0.2783102539561366,0.038066162627178976
mv_gmir_t_3m,3.1197916666666665,4.1875,74.02493056155734,-1.862243484320969,26.93541259219315,77.20288037675705,-0.069137366206921,-0.0016676917896539187
mv_gmv_t_3m,4.59375,6.572916666666667,242.9112450834236,5.703769817120796,20.75980988349884,46.69448944840248,0.2747505805269681,0.03356100659753015
mv_gmir_t_6m,3.4166666666666665,4.53125,174.95600376079398,3.5578566338851036,28.535703777625216,57.18630419128164,0.12468087914042658,0.007757044265085105
mv_gmv_t_6m,5.171875,7.411458333333333,307.45790085361466,7.272055783228759,20.51737284254949,42.90652266679332,0.3544340612725899,0.06007161859903815
