Company,Current Component,Added,Removed
3M,Y,08/09/1976,-
AIG,N,04/08/2004,09/22/2008
Alcoa,N,06/01/1959,09/23/2013
Altria,N,10/30/1985,02/19/2008
American Beet Sugar,N,10/04/1916,03/01/1920
American Can,N,10/04/1916,05/06/1991
American Car and Foundry,N,07/01/1901,10/01/1928
American Cotton Oil,N,5/26/1896,04/01/1901
American Express,Y,08/30/1982,-
American Locomotive,N,10/04/1916,10/01/1928
American Smelting,N,04/01/1901,06/01/1959
American Spirits,N,5/26/1896,4/21/1899
American Steel & Wire,N,4/21/1899,04/01/1901
American Tobacco,N,5/26/1896,10/30/1985
Amgen,Y,08/31/2020,-
Anaconda Copper,N,04/01/1901,08/09/1976
Apple,Y,03/19/2015,-
AT&T,N,10/04/1916,03/19/2015
Atlantic Refining,N,10/01/1928,07/18/1930
Baldwin Locomotive,N,10/04/1916,08/31/1925
Bank of America,N,02/19/2008,09/23/2013
Bethlehem Steel,N,10/01/1928,03/17/1997
Boeing,Y,03/12/1987,-
Borden,N,07/18/1930,11/20/1935
Caterpillar,Y,05/06/1991,-
Central Leather,N,05/12/1912,01/22/1924
Chevron,Y,02/06/1924,-
Chrysler,N,10/01/1928,06/29/1979
Cisco,Y,06/08/2009,-
Coca-Cola,Y,05/26/1932,-
Colorado Fuel and Iron,N,07/01/1901,05/12/1912
Continental Tobacco,N,4/21/1899,07/01/1901
Corn Products Refining,N,03/01/1920,06/01/1959
Curtiss-Wright,N,09/14/1929,07/18/1930
Dow,Y,01/22/1924,-
Drug Incorporated,N,05/26/1932,08/15/1933
Eastman Kodak,N,07/18/1930,04/08/2004
Esmark,N,06/01/1959,06/29/1979
Exxon Mobil,N,10/01/1928,08/31/2020
Federal Steel,N,4/21/1899,04/01/1901
General Electric,N,5/26/1896,06/26/2018
General Foods,N,10/01/1928,10/30/1985
General Motors,N,03/16/1915,06/08/2009
General Railway Signal,N,10/01/1928,07/18/1930
Goldman Sachs,Y,09/23/2013,-
Goodrich,N,10/04/1916,07/18/1930
Goodyear,N,07/18/1930,11/01/1999
Hewlett-Packard,N,03/17/1997,09/23/2013
Home Depot,Y,11/01/1999,-
Honeywell,Y,12/07/1925,-
Hudson Motor,N,07/18/1930,05/26/1932
IBM,Y,06/29/1979,-
Inco,N,10/01/1928,03/12/1987
Intel,Y,11/01/1999,-
International Paper,N,04/01/1901,04/08/2004
International Shoe,N,05/26/1932,08/15/1933
J.P. Morgan Chase,Y,05/06/1991,-
Johns-Manville,N,01/29/1930,08/30/1982
Johnson & Johnson,Y,03/17/1997,-
Kennecott,N,08/31/1925,12/31/1925
Kraft,N,09/22/2008,09/24/2012
Laclede Gas,N,5/26/1896,4/21/1899
Liggett & Myers,N,07/18/1930,05/26/1932
Loew's,N,05/26/1932,07/03/1956
Mack Truck,N,01/22/1924,05/26/1932
McDonald's,Y,10/30/1985,-
Merck,Y,06/29/1979,-
Microsoft,Y,11/01/1999,-
Nash Motors,N,10/01/1928,03/04/1939
National Cash Register,N,01/08/1929,05/26/1932
National Distillers,N,08/13/1934,06/01/1959
National Lead,N,5/26/1896,10/04/1916
National Steel,N,11/20/1935,06/01/1959
Navistar,N,08/31/1925,05/06/1991
Nike,Y,09/23/2013,-
North American,N,5/26/1896,01/29/1930
Owens-Illinois Glass,N,06/01/1959,03/12/1987
Paramount Publix,N,12/07/1925,05/26/1932
Peoples Gas,N,5/26/1896,10/04/1916
Pfizer,N,04/08/2004,08/31/2020
Procter & Gamble,Y,05/26/1932,-
Radio,N,10/01/1928,05/26/1932
Raytheon,N,04/06/2020,08/31/2020
Remington Typewriter,N,12/31/1925,03/16/1927
Republic Iron and Steel,N,10/04/1916,05/12/1924
Salesforce.com,Y,08/31/2020,-
Sears Roebuck,N,01/22/1924,11/01/1999
Standard Rope & Twine,N,12/23/1896,4/21/1899
Studebaker,N,10/04/1916,08/31/1925
Tennessee Coal Iron and Railroad,N,5/26/1896,11/07/1907
Texaco,N,10/04/1916,03/17/1997
Texas Gulf Sulphur,N,10/01/1928,05/26/1932
Travelers,Y,03/17/1997,-
U.S. Cordage,N,8/26/1896,12/23/1896
U.S. Leather,N,5/26/1896,04/01/1905
U.S. Realty,N,08/31/1925,12/07/1925
U.S. Rubber,N,5/26/1896,03/16/1915
Union Carbide,N,10/01/1928,11/01/1999
United Air Transport,N,07/18/1930,05/26/1932
United Drug,N,03/16/1927,10/01/1928
United Technologies,N,08/15/1933,04/06/2020
UnitedHealth,Y,09/24/2012,-
USX,N,04/01/1901,05/06/1991
Utah Copper,N,10/04/1916,02/06/1924
Verizon,Y,04/08/2004,-
Victor Talking Machine,N,10/01/1928,01/08/1929
Visa,Y,09/23/2013,-
Walgreens Boots Alliance,Y,06/26/2018,-
Walmart,Y,03/17/1997,-
Walt Disney,Y,05/06/1991,-
Westinghouse,N,10/04/1916,03/17/1997
Woolworth,N,05/12/1924,03/17/1997
Wright Aeronautical,N,10/01/1928,09/14/1929
