,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2007-01-01 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-01-15 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-01-29 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-02-12 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-02-26 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-03-12 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-03-26 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-04-09 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-04-23 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-05-07 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
