"","NKE","GS","RTX","IBM","CAT","MMM","AXP","WBA","TRV","DOW"
"1",0.0210420284420252,-0.0061525828205049,-0.011099137365818,0.00137357343919575,-0.00273676589131355,-0.000437892274931073,0.00672502350062132,-0.00615239189937711,-0.000591804971918464,0.0020516796503216
"2",-0.000594687124248594,0.016474224627018,0.0101972110569477,0.000592398282606155,-0.020699193701148,-0.00443610409274697,0.0048048160970211,0.000596360361669213,-0.0129802310839295,0.0148111069574952
"3",-0.0235239136964083,-0.0270506795495749,-0.0282257031649351,0.00192666775546968,0.00358403450809419,-0.0303131174296141,-0.0444996580481529,-0.00187767529860139,-0.00710418680682778,-0.0176103860139847
"4",-0.0200683418661356,0.0101698311045766,-0.0101536186411977,-0.00264081195928156,-0.000821911264210939,-0.00349152251146734,0.00786981917917728,0.00557039817795157,-0.00102045526728034,-0.0195530075579882
"5",0.0358802266418934,-0.0305522345006466,-0.0013168731238693,-0.017772451043129,-0.0172686725854874,-0.00237783556804061,-0.05995112657547,-0.00566385313868523,-0.00991998333483934,-0.0194779932498932
"6",0.0199547093361616,0.00723045086488128,0.00395792908966541,-0.00433493964374065,0.00508453603833914,-0.00264268508180976,-0.0143197812139988,-8.85470872162841e-05,0.00813075620681047,0.0109879681840539
"7",0.0123535199090838,-0.00628460058942437,-0.00206211279146373,0.00218155351467431,-0.0153200915083289,-0.00681402673944831,-0.0173074826598167,-0.00538083259016275,-0.0108256870880723,0.00402349326759577
"8",0.00889131333678961,-0.0129516636952758,0.00828832667320967,-0.00674900785088539,-0.00264512863941491,0.00434408569708467,-0.00122523447498679,-0.010362209752202,9.92692948784679e-05,0.00685267196968198
"9",-0.0092253815382719,-0.0370249636471272,0.00357713922858238,-0.000435016030678526,-0.00623456342145801,-0.00699244579300284,-0.0183611772954464,0.00502744037657976,-0.00923421140760183,0.00321705127134919
"10",0.00286739692091942,-0.00610404275357723,0.0100954174995422,-0.00224292906932533,-0.00245495559647679,-0.000514561601448804,-0.0197210889309645,-0.00346222636289895,0.00682899402454495,0.00471369829028845
"11",-0.00118887436110526,0.0131320338696241,-0.00327526801265776,0.0107661280781031,-0.0128936907276511,-0.00764398043975234,0.00548339355736971,-0.00423955731093884,-0.00286161783151329,-0.015859005972743
"12",0.0107737509533763,-0.00705796806141734,-0.0130689265206456,0.00526470830664039,-0.0131596401333809,-0.00110695231705904,-0.0585083067417145,-5.50560434930958e-05,0.00700079277157784,-0.0135345552116632
"13",0.00287340534850955,0.0424857139587402,0.0035026699770242,-0.00533816544339061,-4.9041940656025e-05,-0.0108112394809723,0.0179520025849342,-0.000986186787486076,-0.00866835005581379,0.00813424214720726
"14",0.00822646170854568,-0.0163571424782276,-0.00184771756175905,0.00340298237279058,0.00905540864914656,-0.00790213607251644,-0.0250016935169697,-0.00264524482190609,-0.00574161484837532,0.00973800756037235
"15",-0.00951319839805365,0.00911031290888786,-0.00425621261820197,0.00941857602447271,0.00521882716566324,-0.0105106383562088,-0.0257122553884983,-0.00613850681111217,-0.00146316818427294,-0.0117934830486774
"16",0.00218275561928749,-0.0440182387828827,0.000871314434334636,-0.00151866627857089,-0.0107630891725421,-0.00781562179327011,0.007245272397995,-0.00663205794990063,-0.000169043094501831,8.28651900519617e-05
"17",-0.00193719507660717,-0.00894751027226448,-0.00229987502098083,0.000418843847000971,0.00400064839050174,-0.00779524771496654,0.00169901782646775,-0.0043568629771471,0.00211162678897381,0.00730318715795875
"18",-0.00149795971810818,0.0113654565066099,0.00140467949677259,0.00531191565096378,0.00438692001625896,-0.0232102386653423,-0.00524057261645794,-0.000251293968176469,-0.00894766207784414,-0.0079440250992775
"19",0.00229952251538634,-0.0185544956475496,-0.00304856081493199,0.00209150253795087,0.00238939444534481,-0.0108012426644564,-0.0438934192061424,0.000685351493302733,0.00392775889486074,-0.018492579460144
"20",-0.00226002209819853,0.0258624963462353,-0.00627669552341104,0.00356210628524423,-0.0101057887077332,-0.00955559220165014,0.00987969618290663,-0.00394761608913541,0.0024973745457828,0.00449735019356012
"21",0.000466615718323737,-0.00685734255239367,0.00294666225090623,0.0081223314628005,-0.0150461848825216,0.00151264294981956,-0.0271038264036179,-0.00442998250946403,0.000114542985102162,0.00713460706174374
