"","HD","JNJ","WMT","PG","CSCO","VZ","MRK","GS","NKE","KO"
"T+1",0.00242765354542279,0.00204029428825715,-0.000621706822330879,0.000201152661832143,-0.00218031719617789,-0.00288061772793796,0.00143764697040428,-0.00363977761909029,0.00116631162251637,-0.00163405084479579
"T+2",1.18007067747095e-05,-0.00042558457554781,-0.000802610367721101,0.000531417941002437,0.000493897393148089,-0.00266238876712835,-4.34992793856353e-05,-0.00383976466477968,0.000798046745553413,-0.000305256190522046
"T+3",0.000482228251265325,0.000604902248712907,-0.000641352620711061,0.00063675794946124,0.000963384628000615,-0.00239158278271753,0.00159612565429467,-0.0034602154277563,-0.000689275987278072,-0.00018313499925085
"T+4",0.000477186515939989,0.000309429427205833,-0.000466166360994041,0.000691338067009589,0.000942618130004245,-0.00214548363677366,0.000749116400816133,-0.00305278911383421,-0.000181482122063819,-0.0001460945680337
"T+5",0.000499939232110463,0.000415984772616093,-0.000340125256030747,0.000720513733125115,0.000872148419077675,-0.00192758526636658,0.00125349096733272,-0.00269267700350619,-0.000467484981765927,-0.000116120769676088
"T+6",0.000505404239086562,0.000382698480363511,-0.000260071854693234,0.000736133062854449,0.000829035766052593,-0.00173515768055721,0.000963031272649351,-0.00238373726930821,-0.000329436925333269,-8.77440690590357e-05
"T+7",0.000507940509523834,0.000394058843068418,-0.000211881082176244,0.000744495544324869,0.000809675746561462,-0.00156526844467424,0.00113156975327231,-0.00212007367263578,-0.000398926016232125,-6.05396255172729e-05
"T+8",0.000508857448401538,0.000390389569242253,-0.000183621794236391,0.00074897277452494,0.000802374824147852,-0.00141528175658342,0.00103394402233625,-0.00189525923940243,-0.000364360529686561,-3.44350735111653e-05
"T+9",0.000509217569881396,0.000391615832531268,-0.000167274461118221,0.000751369861272768,0.000799998261831163,-0.00128286639231044,0.00109051578118454,-0.00170360152997932,-0.000381611517698698,-9.38427806001477e-06
"T+10",0.000509354962898091,0.000391214613770159,-0.00015788655102361,0.000752653249587433,0.000799345980751056,-0.00116596385890534,0.00105773673331665,-0.00154021526821237,-0.000373009917562837,1.46554133873629e-05
"T+11",0.000509407906420414,0.000391347624047252,-0.000152516598868319,0.000753340369304028,0.000799212221955694,-0.00106275678769774,0.00107673009339855,-0.00140093086777304,-0.000377299929431385,3.77248192136248e-05
"T+12",0.000509428237531804,0.000391303887292171,-0.000149451615840573,0.000753708249780691,0.00079920482528724,-0.000971640716845357,0.00106572470781376,-0.00128219306437369,-0.000375160461702892,5.98631024687663e-05
"T+13",0.000509436054305641,0.000391318341860046,-0.000147704323807077,0.000753905211157058,0.000799216281060672,-0.000891199151475846,0.00107210160156362,-0.00118097093524201,-0.000376227455683748,8.11078449676938e-05
"T+14",0.000509439058408848,0.000391313579742377,-0.000146708883047112,0.000754010663297743,0.000799224597967973,-0.000820181543074054,0.00106840661388194,-0.00109468064839051,-0.000375695328216346,0.000101495111618136
"T+15",0.000509440213095273,0.000391315151700667,-0.000146141983342938,0.00075406712184906,0.000799228592475599,-0.000757483848419213,0.00107054761469624,-0.00102111952466756,-0.00037596070937902,0.000121059511680938
"T+16",0.000509440656899948,0.000391314633429507,-0.000145819201636933,0.000754097349476457,0.000799230169110757,-0.000702131366077225,0.00106930704643866,-0.000958409814043369,-0.000375828359268226,0.000139834257525023
"T+17",0.000509440827479544,0.000391314804430528,-0.00014563543665292,0.000754113533197731,0.000799230704955751,-0.000653263583644599,0.00107002587363189,-0.000904950763843171,-0.000375894364533639,0.00015785122100862
"T+18",0.000509440893042682,0.000391314748035824,-0.000145530822716717,0.000754122197881559,0.000799230860468138,-0.000610120800180469,0.00106960936085217,-0.000859377757369813,-0.000375861446579291,0.000175140987584691
"T+19",0.00050944091824226,0.000391314766639694,-0.000145471270035218,0.000754126836910159,0.000799230896093803,-0.000572032315858533,0.00106985070243932,-0.000820527480172006,-0.000375877863326087,0.000191732908222547
"T+20",0.000509440927927859,0.000391314760503622,-0.000145437369638396,0.000754129320622984,0.000799230900276506,-0.000538406005234683,0.00106971086096381,-0.000787408224824494,-0.000375869676013724,0.000207655149233826
"T+21",0.000509440931650575,0.000391314762527694,-0.00014541807202369,0.00075413065039047,0.000799230898658219,-0.000508719112035827,0.00106979188984285,-0.000759174576215278,-0.00037587375916641,0.000222934740087388
