"","JNJ","HD","CSCO","PG","VZ","CVX","KO","MRK","NKE","MCD"
"T+1",0.00431046533490643,0.00403396530217544,0.00293720584705135,0.00270282885226476,0.00201188287855158,0.00573845246187828,0.00381493067381466,0.00456136340975029,0.00634905766053954,0.000217300303064859
"T+2",-0.00655296190571089,-0.0013215377649444,-0.00137918702831111,0.00112238940184804,-0.000610669891465396,-0.0077827877112811,-0.00305367301541911,-0.00272203278417883,0.000739510727435376,0.00149558873277197
"T+3",0.00215561899706872,0.00131169867277753,-0.000117995145081508,-0.00111649108089214,0.000431128534363175,0.00306012608691163,0.000914025061649445,0.00166038883064304,0.00366186606053242,0.0012021213388732
"T+4",-0.00111186657465491,0.000967166821644348,-0.000229372601980644,0.00183069505714095,0.000131905290017732,-0.00292203527937118,-0.000390566576518866,-0.000698656039818157,0.00236391387914297,0.00128795944650237
"T+5",0.000907292678812625,0.00120387926253342,-6.67601688453901e-05,-0.00113652808176686,0.000230329441613171,0.000728008315952145,0.000272487548399636,0.000633469833522806,0.00298675724260016,0.00127032522663022
"T+6",2.15050595575616e-05,0.00118648286627595,-3.83727300279913e-06,0.00170447081882149,0.000199834404966861,-0.00143359556043299,3.30038829643922e-05,-0.000103173338792128,0.00269910750604647,0.00127632191710621
"T+7",0.000510382678727871,0.00120872354623534,5.62237597337145e-05,-0.000984959213860641,0.000209529978788064,-0.000142373684570459,0.000145777840255595,0.000307900835162922,0.00283447210632387,0.00127535642826555
"T+8",0.000279707671543674,0.00120857396272552,9.75301339380437e-05,0.00155421236259075,0.000206481887328421,-0.000911742282331941,0.000102636008031341,7.94138871048971e-05,0.00277135784089675,0.00127580526458243
"T+9",0.00040069402242739,0.00121076880888945,0.000128852449585732,-0.000841583795973608,0.000207444841027076,-0.000452982705684376,0.000122037899959382,0.000206632849757098,0.00280091926191573,0.00127576592899106
"T+10",0.000341644524235419,0.00121090945452697,0.000151868268777131,0.00141859444833815,0.000207141270582509,-0.000726474070625986,0.000114349910362103,0.000135851952822801,0.00278710425969997,0.00127580321896137
"T+11",0.000371903141810472,0.00121113706412215,0.000168948852967212,-0.000713567029765513,0.000207237059406067,-0.000563421029425421,0.000117712230375197,0.00017524524597496,0.00279356756600968,0.00127580374924908
"T+12",0.00035690241260038,0.00121116713433105,0.000181584965501073,0.00129781161263447,0.00020720684627438,-0.000660630011042128,0.000116350936240354,0.000153323926713689,0.00279054536540151,0.00127580727366299
"T+13",0.000364507648970003,0.00121119183479352,0.000190942393908278,-0.00059962251252367,0.000207216377581776,-0.000602675646315327,0.000116936278917852,0.00016552331352237,0.00279195890360533,0.00127580771850048
"T+14",0.000360710097000721,0.00121119656636558,0.000197869671719962,0.00119032119758371,0.000207213370977671,-0.000637227014295495,0.000116696156296858,0.000158734441857413,0.00279129785272365,0.00127580809590733
"T+15",0.000362626010267375,0.00121119935090178,0.00020299842805717,-0.000498221282883873,0.000207214319427461,-0.000616628090270227,0.000116798345613209,0.000162512444846677,0.0027916070176575,0.00127580817959904
"T+16",0.000361666151386977,0.00121120001734774,0.000206795490956353,0.00109466435701791,0.000207214020238053,-0.000628908808556643,0.000116756086989928,0.000160409999211145,0.00279146242980926,0.00127580822405999
"T+17",0.000362149322496588,0.00121120034067919,0.000209606665859962,-0.000407983444291865,0.000207214114618231,-0.000621587258796587,0.000116773958226551,0.000161580005561793,0.00279153005058309,0.00127580823682652
"T+18",0.000361906887330572,0.00121120042966985,0.000211687926948393,0.00100953853896673,0.000207214084845807,-0.000625952238845599,0.000116766531576556,0.000160928900243867,0.00279149842597556,0.00127580824239059
"T+19",0.000362028797261798,0.00121120046803614,0.000213228795880495,-0.000327680049814379,0.000207214094237591,-0.000623349913994611,0.000116769660292884,0.000161291238716347,0.00279151321609879,0.00127580824420131
"T+20",0.000361967584930912,0.00121120047957848,0.000214369583224916,0.000933784375533925,0.000207214091274931,-0.000624901374607907,0.000116768356215252,0.000161089598304403,0.00279150629910105,0.00127580824492153
"T+21",0.000361998351234408,0.00121120048420062,0.000215214168944891,-0.000256217401092391,0.00020721409220951,-0.000623976420894178,0.000116768904316595,0.000161201810675068,0.00279150953402348,0.00127580824517062
