"","CSCO","XOM","PG","WMT","PFE","CVX","VZ","MRK","MCD","KO"
"T+1",-0.00210724201060497,-0.00607970406520244,-0.000620584876921856,0.00168438449201665,0.000509319852200698,-0.00782081252790454,0.000759944583080546,-0.00167546729642593,0.00153268924788096,0.00167735388004734
"T+2",-0.000786520437232921,0.00359034599972825,0.00280544425712139,0.000677747960699747,-0.000266306395253097,0.00114509422973133,0.00131350264489234,-0.00069554159126288,0.00102461306843876,0.000759325410276264
"T+3",0.000187358397851274,-0.00320473780427001,-0.00120982892042379,8.70411278104951e-05,0.000618724843526753,-0.00165821799864282,0.00115952556051596,-0.00064332294185493,0.000783280372027507,0.000830612059771113
"T+4",-0.000397516943206625,0.0016308443976514,0.00269813386287596,0.000975145251708245,0.000278262258760902,0.00121503694014596,0.00117683926896838,-0.000554736486061876,0.000674657856745366,0.000821117414547184
"T+5",-0.000219637134973484,-0.00180751126754723,-0.00100436628881535,0.000134676210196886,0.000461670824014409,-0.000884365304641798,0.00115311601592826,-0.000476944372724557,0.00062578650894892,0.000818468157943055
"T+6",-0.000245411736751108,0.000637468500654071,0.00248807221706275,0.000852686410413875,0.000375051215880477,0.000758829485977933,0.00113964749428651,-0.000406707555801462,0.000603798418282456,0.000815473189332872
"T+7",-0.000250814662911307,-0.00110112603130181,-0.000803810399263827,0.000258518166883388,0.000417981092747911,-0.000507501713734295,0.00112403586305774,-0.000343390877611594,0.000593905584494656,0.00081270798697197
"T+8",-0.00024575989628964,0.000135167054476895,0.00229865395546299,0.000744912964677496,0.000397087022744505,0.000471746746999983,0.00110927057788856,-0.000286307608198081,0.000589454622297805,0.000810112783580942
"T+9",-0.000247592914866655,-0.000743945668670247,-0.000625231723123851,0.000348246685974281,0.000407325209440845,-0.000284926692907369,0.00109462367283181,-0.00023484432569764,0.000587452055095858,0.000807680631624441
"T+10",-0.000247231918539105,-0.00011881948334185,0.00213034491102271,0.000671305379271418,0.000402321123334367,0.000299859653271965,0.00108026539911309,-0.000188447716445799,0.000586551064428906,0.000805401000333985
"T+11",-0.000247220839426736,-0.000563338982687653,-0.000466609652846891,0.000408319765981015,0.000404769265904606,-0.000152068860090054,0.00106614909941723,-0.000146618955940054,0.000586145692673519,0.000803264348585829
"T+12",-0.00024726143810215,-0.000247246664149552,0.0019808535317435,0.00062236699564609,0.000403571986942363,0.000197188732843802,0.00105228061708846,-0.000108908329342994,0.000585963308697643,0.000801261706713636
"T+13",-0.00024724354506284,-0.000472016002695586,-0.000325723575126149,0.000448161703680399,0.000404157600694775,-7.27226332242717e-05,0.00103865320602906,-7.49103972722188e-05,0.000585881250897083,0.000799384669833245
"T+14",-0.000247247926802975,-0.000312185305815388,0.00184807743209155,0.000589938084736533,0.000403871179083046,0.000135868895319834,0.00102526325461873,-4.42596367467489e-05,0.000585844331630462,0.000797625360030981
"T+15",-0.000247247633894289,-0.000425838937714019,-0.000200590614950223,0.000474554728665152,0.000404011269457631,-2.53337338647761e-05,0.00101210648524638,-1.6626511330949e-05,0.000585827720994563,0.000795976393507897
"T+16",-0.000247247340916183,-0.000345021245644318,0.00173014764155212,0.000568458122553787,0.000403942750961618,9.92460530367289e-05,0.000999178870901482,8.28607182048091e-06,0.000585820247573494,0.000794430849573052
"T+17",-0.000247247506623508,-0.00040248970698921,-8.94493499947887e-05,0.000492036016837674,0.000403976263587845,2.96894320202832e-06,0.000986476412166172,3.07459561056673e-05,0.00058581688514819,0.000792982241598853
"T+18",-0.000247247457900112,-0.000361624594848901,0.00162540412664252,0.000554231173341181,0.000403959872465688,7.73733238625702e-05,0.000973995189558206,5.09946151482767e-05,0.000585815372333133,0.000791624489796654
"T+19",-0.000247247464420155,-0.000390683270706219,9.26469577105452e-06,0.000503614444128037,0.000403967889413693,1.9872513236056e-05,0.00096173134937674,6.92497489600869e-05,0.000585814691690682,0.00079035189569997
"T+20",-0.000247247466152499,-0.000370020005677569,0.00153237246888479,0.000544808217272764,0.000403963968300417,6.43099938455719e-05,0.000949681105639889,8.57076245056148e-05,0.000585814385457516,0.00078915911824809
"T+21",-0.000247247464702906,-0.000384713397893398,9.69410672336798e-05,0.00051128319606418,0.000403965886128758,2.99680487254206e-05,0.000937840738160376,0.000100545185832985,0.000585814247677757,0.000788041151369709
