"","PG","JNJ","HPQ","PFE","AXP","MRK","KO","AA","BA","MCD"
"T+1",-0.00715660160128477,0.00230846771773333,-0.0106798809207935,-0.00546797123853669,-0.0217512599010961,-0.0130168299955898,-0.0107892225825746,-0.00425883780876279,-0.00886709735393356,-0.00311759429078479
"T+2",-0.000849279690488788,-0.00143990908669383,-0.007738021792966,-0.000581067363248314,-0.0129429358987448,-0.0135952764664793,0.00943546456774019,-7.35248567691532e-06,0.0019979560949908,-0.000422280751697056
"T+3",0.00129187281628979,0.000733423749748778,-0.00402353289252372,-0.0005788604800391,-0.00731251875898113,-0.0104201566518983,-0.00786720804605819,-0.00221573922519344,-0.00499418926371877,0.000879941482775429
"T+4",-0.00020603265799449,0.00105855973231633,-0.00197657189480215,-0.00118286281199028,-0.00468635599097593,-0.00786307648723736,0.00394948628281216,-0.00106728335143449,0.000101787008929863,0.000891768995037273
"T+5",-4.15477479291465e-05,0.000661937984742951,-0.00100206570939052,-0.00122873522133679,-0.00348738610814904,-0.00615273535167046,-0.00365873075165157,-0.00166454496319218,-0.00364609826967863,0.000724133382300584
"T+6",0.000110611759893026,0.000661054937647004,-0.000558559535107132,-0.00115752545658951,-0.00294094613129013,-0.00505028689398506,0.00115034920989221,-0.0013539351769283,-0.000887981211168334,0.000675507732887974
"T+7",4.24119437948171e-05,0.000725762863216245,-0.000359863536011179,-0.00114647821086612,-0.00269193717156655,-0.00434562558742815,-0.0018710298659866,-0.00151546981872794,-0.00291779949649979,0.000683860751050062
"T+8",4.2531181199406e-05,0.000717412042910595,-0.000271352594265403,-0.00115444786946466,-0.00257846681427753,-0.00389610649358787,2.33476983147875e-05,-0.00143146267644729,-0.001423963757186,0.000692589937014045
"T+9",5.16883440314219e-05,0.000707970272731801,-0.000232007619955897,-0.00115641531761337,-0.00252675980066728,-0.00360948103593381,-0.00116359897911402,-0.00147515113779267,-0.00252334573381883,0.000693944545059522
"T+10",4.89022744444091e-05,0.000710569731544342,-0.000214531621765364,-0.0011555785609165,-0.00250319756723002,-0.00342674088689791,-0.000420073416474064,-0.00145243066899788,-0.00171426029411023,0.000693178950889545
"T+11",4.85106751127299e-05,0.000711766127187719,-0.000206771500400966,-0.00115527215336988,-0.00249246055493298,-0.00331023657202358,-0.000885795561035999,-0.00146424659673619,-0.00230970324590225,0.000692786134102875
"T+12",4.90046899240203e-05,0.000711185732604559,-0.000203326033367423,-0.00115535246932558,-0.00248756783398983,-0.0032359607597869,-0.000594088794521198,-0.0014581016465779,-0.00187148956480186,0.000692776337023509
"T+13",4.89080398763168e-05,0.000711067085250082,-0.000201796319432415,-0.00115539641406265,-0.00248533828282939,-0.0031886072485259,-0.000776798779933022,-0.00146129736791982,-0.0021939910399245,0.000692825155274726
"T+14",4.88706835930318e-05,0.000711177181263287,-0.000201117169205226,-0.00115538980222253,-0.00248432230451492,-0.00315841768607943,-0.000662359064537931,-0.0014596354122274,-0.00195664746544929,0.000692840149854194
"T+15",4.88950119639118e-05,0.000711182050610195,-0.000200815647166807,-0.00115538387016013,-0.00248385933602431,-0.0031391707583674,-0.000734037879862273,-0.00146049972310687,-0.0021313194489596,0.000692837951506199
"T+16",4.8892688321993e-05,0.000711163481646689,-0.000200681780832475,-0.00115538423973816,-0.00248364836712839,-0.0031269001525892,-0.000689142182529769,-0.00146005023260614,-0.00200277035345159,0.000692835365697931
"T+17",4.88901117847865e-05,0.000711165126315484,-0.000200622348421654,-0.00115538500102182,-0.00248355223126611,-0.0031190772019474,-0.000717262393493828,-0.00146028399306785,-0.00209737550777476,0.000692834928190943
"T+18",4.88912043979754e-05,0.000711167934465534,-0.000200595962321959,-0.00115538501280444,-0.00248350842336744,-0.00311408979074812,-0.000699649430979432,-0.00146016242441764,-0.00202775125107236,0.000692835144803879
"T+19",4.88912212011773e-05,0.000711167297978222,-0.00020058424773436,-0.00115538491957632,-0.00248348846066112,-0.00311091013749407,-0.000710681227465438,-0.00146022564698576,-0.00207899092354097,0.000692835263066169
"T+20",4.88910688356944e-05,0.000711166924211579,-0.000200579046830901,-0.00115538491108131,-0.00248347936390789,-0.00310888299467157,-0.000703771513493395,-0.00146019276767754,-0.00204128130682057,0.000692835267837686
"T+21",4.8891112660455e-05,0.000711167076933762,-0.000200576737795592,-0.00115538492196579,-0.00248347521863229,-0.0031075906185241,-0.000708099380415647,-0.00146020986677587,-0.00206903353716651,0.000692835253651978
