"","PFE","HD","XOM","PG","WMT","VZ","MRK","CVX","GS","CAT"
"T+1",-0.00215302058389513,0.00204707314791857,-0.000216620797267182,2.82297809904401e-06,-6.47753707270805e-05,0.00412513242745554,0.00771104201912141,3.47653347070789e-05,0.00135783961743905,0.000271783946636541
"T+2",0.00529581506690575,0.000326074432906532,0.00113074236867155,0.000705024617530014,0.000657680949912982,-0.00212726878496795,0.0059925956862369,-0.000345116153417007,-0.00151334651653551,0.000284039576895466
"T+3",-0.000337824008614924,0.00146768121081843,0.000686436089774589,0.002838349797498,0.00182940826257975,0.00209996134847394,0.00538430059173995,6.69164117586489e-05,0.00041675162522741,0.000219695785631861
"T+4",0.0019710693779395,0.000378892069850077,0.000832963374245376,0.00112109641484998,0.00106497511754212,0.000517610614888677,0.00491289903809191,-2.17978755513976e-05,-0.000689958077159128,0.000201643534253667
"T+5",0.000649376404653442,0.00138660835410026,0.000784644138856184,0.00205727328225305,0.00135657840902903,0.000793790535513757,0.00450489743101224,-8.15035446879205e-06,-1.36790225878479e-05,0.000194810912466577
"T+6",0.00127271492856579,0.000451950926886991,0.000800579162179066,0.00163854153455231,0.00128535936359265,0.000887087391085315,0.00414851875621819,-9.83158070756095e-06,-0.000416249004188433,0.000192389174778521
"T+7",0.000944875529816606,0.00131871499993937,0.000795324348511734,0.00179804162905797,0.00128952997755613,0.000782770427802524,0.00383700977238009,-9.66937044372572e-06,-0.000174041068503725,0.000191519494544676
"T+8",0.00110685627030156,0.000514903828942873,0.000797057303202391,0.00174755804640802,0.00129611057209185,0.000832038442429987,0.00356470621329597,-9.67900234921473e-06,-0.00031913229475069,0.00019120801348718
"T+9",0.00102393545849991,0.00126033377898165,0.000796485832045196,0.00175907827684618,0.0012918031339062,0.000818864940105987,0.00332667281167365,-9.67946054043636e-06,-0.000232062568710066,0.000191096394197161
"T+10",0.00106553369882565,0.000569044753507611,0.000796674293247701,0.00175877822405775,0.00129344902087436,0.000818805951042689,0.00311859650502617,-9.67919585455545e-06,-0.000284275408229825,0.000191056399813485
"T+11",0.00104442378840656,0.00121012513246658,0.000796612144684922,0.0017570987967776,0.00129304613055899,0.000821049840744177,0.0029367071139201,-9.6792493072568e-06,-0.000252955790137883,0.000191042069077861
"T+12",0.00105506639253412,0.000615606722283528,0.000796632640108925,0.00175840889189698,0.00129307019413667,0.000819663712096173,0.00277770895024327,-9.67924135550667e-06,-0.00027174043150519,0.000191036934130635
"T+13",0.00104968081736135,0.00116694498132281,0.000796625881338675,0.00175770326349677,0.00129310715074955,0.000820150118699521,0.00263872109667639,-9.67924230595944e-06,-0.000260473364405879,0.000191035094189681
"T+14",0.00105240033456217,0.000655650678784208,0.000796628110246038,0.00175801627314634,0.00129308287932874,0.000820079748695488,0.00251722520645581,-9.67924221815969e-06,-0.000267231237980205,0.000191034434906941
"T+15",0.00105102541265074,0.00112980943617562,0.000796627375217617,0.00175789800596344,0.00129309216909223,0.000820042032328121,0.00241101987295592,-9.67924222270514e-06,-0.000263177899839861,0.000191034198674497
"T+16",0.00105172005993155,0.000690089051859399,0.000796627617614629,0.00175793502129659,0.00129308988995049,0.000820077287499005,0.00231818074199154,-9.67924222310715e-06,-0.000265609063196546,0.000191034114028314
"T+17",0.00105136896749744,0.00109787233829903,0.000796627537678988,0.00175792679260333,0.00129309002872262,0.00082006167316048,0.00223702564408648,-9.67924222293941e-06,-0.000264150866714082,0.000191034083698119
"T+18",0.00105154637880581,0.000719706543328913,0.000796627564040033,0.00175792684890088,0.00129309023626535,0.000820065480531743,0.00216608411493208,-9.67924222297144e-06,-0.000265025483295422,0.000191034072830283
"T+19",0.00105145671925698,0.00107040597913464,0.000796627555346892,0.00175792816709043,0.00129309009950257,0.000820065727962998,0.00210407075177093,-9.67924222296682e-06,-0.000264500893948547,0.00019103406893615
"T+20",0.001051502027814,0.000745178007937057,0.000796627558213697,0.00175792716842075,0.00129309015193577,0.000820064936109897,0.00204986192294535,-9.67924222296736e-06,-0.00026481553920324,0.000191034067540814
"T+21",0.00105147913063949,0.00104678451895491,0.000796627557268303,0.00175792770003315,0.0012930901390429,0.000820065387296346,0.0020024754086064,-9.67924222296731e-06,-0.00026462681703286,0.000191034067040841
