"","PFE","PG","HD","MRK","XOM","VZ","CVX","WMT","MCD","KO"
"T+1",-9.37434682363315e-05,0.00209947125936869,-0.000621687573368397,0.00403423611853324,-0.00143645825424716,-0.000134908631561893,0.000636528159551821,0.00158013960921005,0.00257363877245015,-6.57641468436564e-05
"T+2",-0.000719278832419903,0.00188379028020542,0.00278972228830396,-0.0020314167120426,-0.000635668600300086,0.00143219482206954,0.00022013005275029,0.000661095616956215,-0.000567213840632278,0.000148714695648445
"T+3",-0.000139118893136051,0.00183062620392579,-6.93466208304279e-06,0.00325986411554608,-0.000435972272840168,-4.3572946227436e-05,0.000255972541199315,0.0010551732916965,0.0019357813198817,0.000277362493924232
"T+4",-0.000369574470305264,0.00178063713219728,0.00278001961825406,-0.0013407078473716,-0.000318165507437265,0.000932340373640044,0.000257580207299929,0.00110724005657944,-2.38279559109578e-05,0.00037096094220375
"T+5",-0.000225505907441532,0.00173712009901896,3.70564270061231e-05,0.00265928054401132,-0.000279271281303066,0.00031343001832234,0.000256364660265335,0.00115453809404532,0.00150554587650999,0.000438979741515674
"T+6",-0.000294629880464892,0.00169915077382625,0.00273868355697715,-0.000818527612030812,-0.000260608744739653,0.000703526201057114,0.000256605695158759,0.00117351827604515,0.000312621699954037,0.000488409904805672
"T+7",-0.000256159763924091,0.00166602422749054,7.78829627366975e-05,0.0022052685558133,-0.000253632659491903,0.000457879036165008,0.000256579079426934,0.0011832050715134,0.00124301799194902,0.000524331458584205
"T+8",-0.000275819058585803,0.00163712272841072,0.00269848053942904,-0.000423784817582698,-0.000250562219631128,0.00061254349370226,0.000256579495718166,0.00118774436047441,0.000517388081442392,0.000550436127074595
"T+9",-0.000265274433815252,0.00161190740454461,0.000117478916911568,0.00186205763227162,-0.00024934972965039,0.000515165688171764,0.000256580028784817,0.00118993364039582,0.00108331578649632,0.000569406735116604
"T+10",-0.000270775857405557,0.0015899081111104,0.0026594828827513,-0.000125378514301035,-0.000248835506749723,0.000576475224352656,0.000256579896597625,0.0011909791232793,0.000641942059296649,0.000583192927023848
"T+11",-0.000267860031664286,0.00157071466691174,0.000155887339570076,0.00160260691048417,-0.000248627488148736,0.000537874463646209,0.000256579914348503,0.00119148008025765,0.000986174625788112,0.000593211535119198
"T+12",-0.00026939162198593,0.00155396920636732,0.00262165479243566,0.000100202099431818,-0.000248540674951322,0.000562177674991961,0.00025657991339617,0.00119171984290529,0.000717703599387185,0.000600492190201002
"T+13",-0.00026858299266182,0.00153935950703759,0.000193143866156007,0.00140647481672273,-0.00024850518371547,0.000546876264756084,0.000256579913195514,0.00119183464094039,0.000927087309079336,0.000605783138595799
"T+14",-0.000269008676085269,0.00152661316817523,0.00258496119353873,0.000270730043153099,-0.000248490475408724,0.00055651010085579,0.000256579913264063,0.00119188959864662,0.000763786492432394,0.000609628140810831
"T+15",-0.000268784211491887,0.00151549253175916,0.000229283042923145,0.00125820851806597,-0.000248484434514005,0.000550444594700416,0.000256579913253068,0.00119191590997961,0.000891146719041219,0.000612422354802434
"T+16",-0.000268902460129764,0.00150579025131347,0.00254936806185725,0.000399640852945675,-0.00024848193867237,0.000554263464415309,0.000256579913253973,0.00119192850648928,0.000791816981109806,0.000614452947086711
"T+17",-0.00026884013261213,0.00149732542589118,0.000264338379990127,0.00114612642637061,-0.000248480911531124,0.000551859087018656,0.000256579913254025,0.00119193453708134,0.000869285411405485,0.000615928605371065
"T+18",-0.000268872974588668,0.00148994022714013,0.00251484239359415,0.000497091138914869,-0.000248480487724475,0.000553372893746072,0.000256579913253992,0.00119193742422818,0.00080886687192825,0.000617000985774084
"T+19",-0.000268855666254072,0.00148349695656199,0.000298342382482987,0.00106139783064375,-0.000248480313157304,0.000552419794282086,0.000256579913253998,0.00119193880645104,0.000855988001124092,0.000617780298804054
"T+20",-0.000268864787152767,0.00147787547809641,0.00248135217475977,0.000570758803021226,-0.000248480241171314,0.000553019869953437,0.000256579913253997,0.00119193946819071,0.000819237678526045,0.000618346635895791
"T+21",-0.000268859980476533,0.00147297097816026,0.000331326580675836,0.000997347143997395,-0.000248480211508707,0.000552642059635675,0.000256579913253997,0.00119193978499884,0.000847899687143184,0.000618758200554845
