"","PG","MRK","CVX","WMT","CAT","T","DIS","KO","HD","BA"
"T+1",0.00124753144652283,0.00106547737625807,0.0018514126244751,-0.000144869406934922,0.00112060094133614,0.00120222608974001,0.000996962241308356,0.000430024335142347,-0.000751345730007579,0.00182054728843092
"T+2",0.000589111959769673,0.000469160809555557,-0.000232986551429341,-0.000175847732652917,0.00125664858283538,-0.00149929646455191,0.000987050403162224,0.000370137567183651,0.00335945098139301,0.00286261502070101
"T+3",0.000725862176299128,0.000495267137860082,0.000651034475482071,0.000237536849685552,0.00125474453604688,0.00122782791699141,0.000848639305087633,0.000292062525586346,-0.00034460695236148,0.00112874065720517
"T+4",0.000834788468735383,0.000571819416964913,0.000409999618668599,-5.43758350310683e-05,0.00123134293990232,-0.00126408423340096,0.000861085691142728,0.000248848700276798,0.00316293767548269,0.00164248155964311
"T+5",0.000875026951897084,0.000606346740993611,0.000447735632021459,0.000131884017422188,0.00120513026290767,0.00100308012685681,0.000863772011105519,0.00022368540452437,-0.000155370137005429,0.00165784658412296
"T+6",0.00088578153077864,0.000614986337111743,0.000450925478296391,1.44665743999917e-05,0.0011790900805797,-0.00105919835597957,0.000863195686317378,0.000209095199494205,0.00298396596249191,0.0015917952615678
"T+7",0.000887873070697798,0.000615502886711014,0.000446044029922459,8.83723674678046e-05,0.001153684271956,0.000816692942945226,0.000863172997499927,0.000200632528421839,1.39497820490046e-05,0.00161422735251734
"T+8",0.000888073731955832,0.000614830011040598,0.000448112492386554,4.18631673715228e-05,0.00112897016416188,-0.000889655994349165,0.000863190737727538,0.000195724116632238,0.00282377832120217,0.00161376265766617
"T+9",0.000888018414773121,0.000614446676957692,0.000447548892019641,7.11308477017325e-05,0.00110494057390348,0.000662473727519426,0.000863189796998657,0.000192877194736152,0.000165497712994747,0.00161129530987367
"T+10",0.000887978974075454,0.000614331809036867,0.000447637004422222,5.27131079857971e-05,0.00108157841177103,-0.000749375056006808,0.00086318939511437,0.000191225955385667,0.00268040411867759,0.00161225540041144
"T+11",0.000887964812520447,0.000614316836319206,0.000447644522779382,6.43031278230208e-05,0.00105886544010022,0.000534871330992566,0.000863189456166278,0.000190268222249289,0.000301139036647988,0.00161219322004485
"T+12",0.000887961105308278,0.000614321831159153,0.000447633090954461,5.70096947112466e-05,0.0010367836673489,-0.000633305319199833,0.000863189461774623,0.000189712728729207,0.00255207860154535,0.00161210313763688
"T+13",0.000887960404805245,0.000614325868845511,0.00044763793080809,6.1599347441837e-05,0.00101531556009585,0.000429291936178144,0.000863189459613424,0.000189390537672882,0.00042254332483788,0.00161214350730687
"T+14",0.000887960345006271,0.000614327302733004,0.000447636612969787,5.87111448839755e-05,0.000994444065459128,-0.000537268152958068,0.000863189459650326,0.000189203664067661,0.00243722224623679,0.00161213928594888
"T+15",0.000887960366923725,0.000614327569636331,0.000447636818708516,6.05286492800501e-05,0.000974152603387279,0.000341934575246498,0.000863189459706121,0.000189095275756928,0.000531204909625816,0.00161213608783765
"T+16",0.000887960381164104,0.000614327546288533,0.000447636836428021,5.938491986235e-05,0.000954425054425895,-0.000457806119585168,0.000863189459700205,0.00018903240959726,0.00233442131739915,0.00161213775785794
"T+17",0.000887960386140405,0.000614327506338717,0.000447636809655979,6.01046523613389e-05,0.00093524574706297,0.000269654292504253,0.000863189459699201,0.000188995946679768,0.000628461276634514,0.00161213752108723
"T+18",0.000887960387416285,0.000614327489360938,0.000447636820980409,5.96517350348419e-05,0.000916599445303674,-0.000392058503377291,0.000863189459699451,0.000188974797871584,0.00224241046661521,0.00161213741159101
"T+19",0.000887960387650164,0.000614327485359653,0.000447636817898978,5.9936749404666e-05,0.000898471336570808,0.000209848922726806,0.000863189459699456,0.000188962531379533,0.000715509527791445,0.00161213747961575
"T+20",0.000887960387667445,0.000614327485226064,0.000447636818379367,5.97573939544462e-05,0.000880847019938349,-0.000337658321887691,0.000863189459699449,0.000188955416707825,0.00216005715757698,0.00161213746752873
"T+21",0.000887960387658899,0.000614327485589199,0.000447636818421127,5.98702597637855e-05,0.00086371249469149,0.00016036541050852,0.000863189459699449,0.000188951290136568,0.000793421116127894,0.00161213746396502
