"","INTC","PFE","WMT","CSCO","HD","VZ","CVX","MRK","BA","UNH"
"T+1",-4.36895741642018e-05,-0.000288140024405227,-0.000377399213531262,0.000940248213319337,-0.000250906058697011,-0.00274034043697026,-0.00138724583999897,0.000511110346247293,0.00162006862914572,0.00195422770938933
"T+2",0.000255279001146954,-0.000303328689443833,-0.000161184342229187,0.00100299861034426,-7.62948482333964e-05,0.00197048701215228,-0.000888348120549704,0.00064281367381852,0.00331511429579792,0.000706307905220912
"T+3",0.000114920867662993,-0.000335146404308784,0.000202590889510034,0.00121467741171964,-7.6118118570186e-05,-0.00156066783811552,-0.000251240250449496,0.000321271743178059,0.00164157761351258,0.00165506108216389
"T+4",0.00020998434034973,-0.000348016967871583,0.00037043329394395,0.00135230734429795,-7.31374075013759e-05,0.000473510132972376,0.000105064753068405,0.000372462289684376,0.00317980969961095,0.000884098584218902
"T+5",0.000144615832739445,-0.000354354295333631,0.000422607614390569,0.00145107683298123,-7.02570956953561e-05,-0.00080957070679066,0.000293299528642813,0.000386034437450821,0.00175751171124616,0.00150922615098249
"T+6",0.000189588139126327,-0.000357351542829801,0.000433585407402365,0.00152118236771481,-6.74285797721353e-05,-2.65416011888699e-05,0.000392135839400821,0.000379772529658425,0.0030719439800671,0.00100231253437024
"T+7",0.000158647508433691,-0.000358780116662084,0.000434281754367064,0.0015710012812114,-6.46516814418114e-05,-0.000510075725803411,0.000443996336011729,0.000379973974376119,0.00185714416695827,0.00141336600167053
"T+8",0.000179934457012726,-0.000359459989125661,0.000433592066144267,0.00160639946856326,-6.19254463921967e-05,-0.000212750241651985,0.000471206029682448,0.000380388475244723,0.00297985937829028,0.00108004497984081
"T+9",0.000165289177382121,-0.000359783642073196,0.000433167979270922,0.00163155153855651,-5.92489504964915e-05,-0.000395854788689274,0.000485482042297539,0.000380295657776847,0.00194224821609526,0.00135033318365941
"T+10",0.000175365032772989,-0.0003599377081131,0.000433014190899017,0.00164942323599138,-5.6621286278844e-05,-0.000283153652829129,0.000492972179592147,0.000380283227025244,0.00290120635957018,0.00113115794914364
"T+11",0.000168432910995834,-0.000360011047805959,0.000432975072265055,0.00166212189736866,-5.40415628233965e-05,-0.000352535023431279,0.00049690199894738,0.00038029228171985,0.00201493917531736,0.00130888595482892
"T+12",0.000173202164867509,-0.000360045959451384,0.000432969515879443,0.00167114487901965,-5.15089054686656e-05,-0.000309825298439091,0.000498963840990118,0.000380291470499093,0.0028340255213404,0.0011647672815917
"T+13",0.000169920949790266,-0.000360062578330594,0.00043297037985252,0.00167755612155966,-4.90224555110441e-05,-0.000336117181705324,0.000500045619112525,0.000380290969297852,0.00207702757063964,0.001281632329931
"T+14",0.000172178404032128,-0.000360070489362008,0.000432971359376535,0.00168211160360414,-4.65813699136548e-05,-0.00031993218343117,0.000500613191158147,0.000380291122551902,0.00277664355147813,0.00118686709780272
"T+15",0.000170625290464704,-0.000360074255224811,0.000432971784352977,0.00168534848265349,-4.41848210205165e-05,-0.000329895525503359,0.000500910976831838,0.000380291129837622,0.0021300598715731,0.00126371170915524
"T+16",0.000171693822312918,-0.000360076047876345,0.00043297191086483,0.00168764843376246,-4.18319962759254e-05,-0.00032376218728242,0.000501067214807509,0.00038029111738671,0.00272763120580487,0.00120139883172856
"T+17",0.000170958679478166,-0.000360076901226479,0.000432971935761687,0.00168928265457299,-3.95220979489561e-05,-0.000327537813307098,0.000501149187538901,0.000380291119210971,0.00217535698269427,0.00125192800514555
"T+18",0.000171464452879671,-0.000360077307443993,0.000432971936557718,0.00169044384345531,-3.72543428629892e-05,-0.000325213573357804,0.000501192195832262,0.000380291119766343,0.00268576770697128,0.0012109541732244
"T+19",0.000171116484129141,-0.000360077500814408,0.000432971934587625,0.00169126892144459,-3.50279621301729e-05,-0.000326644353737254,0.000501214760815354,0.000380291119529652,0.00221404714396973,0.00124417963069325
"T+20",0.00017135588432493,-0.000360077592863903,0.000432971933490401,0.00169185517721983,-3.28422008907302e-05,-0.000325763578731741,0.000501226599891545,0.000380291119534204,0.00265001033787342,0.00121723728792826
"T+21",0.00017119117857576,-0.000360077636681928,0.000432971933110281,0.00169227173885215,-3.06963180570215e-05,-0.000326305775582447,0.0005012328114506,0.00038029111955045,0.00224709403244604,0.00123908468715058
