"","CVX","JNJ","PG","WMT","HPQ","KO","MCD","DIS","MRK","T"
"T+1",-0.000804123288239575,0.000366934284459985,0.000889717419657986,-0.000272589143787204,0.000642167690105233,0.000181554318005964,0.00223569341849715,2.33140374396356e-05,0.00141940304706512,0.000791328491220563
"T+2",0.000994133259780604,-8.41043749736254e-05,0.000481846467702019,0.00110755160447772,-0.00230958969130522,0.000756564320488978,0.00108666861434623,-2.59281764974995e-05,0.00047854034129795,0.00066184786069339
"T+3",2.34622568746746e-05,0.000365124196461465,0.00038906745310414,0.000367605575152837,-0.00021851772747724,0.000126923270982291,0.00146879376626037,-9.0181631445894e-05,0.00137767344017098,0.000619511092596974
"T+4",0.000950427979503743,-1.93369151948044e-05,0.000375696731495286,0.000774295016545053,-5.40863582152267e-05,0.000696660492979608,0.00120578713161007,-6.28586875904132e-05,0.000637414475240733,0.000629232540881107
"T+5",0.000144746647110296,0.000312452022052016,0.000372174689748363,0.000549331972522686,0.000137136420023814,0.00018026512354705,0.00143072122114915,-7.97787912638678e-05,0.00124949032377713,0.000620310998755046
"T+6",0.000853887243675714,2.62595695686639e-05,0.000371766237739292,0.000673974074711588,0.000185508290625232,0.000648305267138166,0.00123149325681951,-7.00765741786502e-05,0.000743468304177635,0.000625794485296433
"T+7",0.000230807278953919,0.000273128790794418,0.000371626375848347,0.000604887120973482,0.000209227687320997,0.000224092303966241,0.00140881405680949,-7.57179134519908e-05,0.00116181404680218,0.000622150664622921
"T+8",0.000778402534770467,6.01800946773998e-05,0.0003716159036057,0.000643184762809095,0.000217374760497488,0.000608582054087834,0.00125088703616918,-7.24462253184048e-05,0.000815953329874827,0.00062453071300666
"T+9",0.000297163156599437,0.000243869059370613,0.000371609992470449,0.000621954309397816,0.000220718349632973,0.000260095843658764,0.00139155400820216,-7.4344542438063e-05,0.00110188820093009,0.000622970358899665
"T+10",0.000720089390318326,8.54194601490414e-05,0.000371609868464811,0.000633723574193727,0.000221968741767807,0.000575949878313243,0.00126625919038616,-7.32431874494162e-05,0.000865496074058734,0.000623992503611454
"T+11",0.000348410566139,0.000222097651699295,0.000371609598838561,0.000627199181234842,0.000222459129145911,0.000289672349326717,0.00137786191388656,-7.38821758338737e-05,0.00106092952168523,0.000623322808891025
"T+12",0.000675051832067557,0.000104199416949247,0.000371609609775239,0.000630816035962723,0.000222646777359903,0.000549142910442973,0.00127845500398148,-7.35114462063602e-05,0.00089935801354461,0.000623761566930227
"T+13",0.000387990777241635,0.000205898112253413,0.00037160959644561,0.000628811000465833,0.000222719496397414,0.00031396911833876,0.00136699884704309,-7.37265370227936e-05,0.00103293469941839,0.000623474107329182
"T+14",0.000640267687509263,0.000118173095432798,0.000371609597787031,0.000629922509705499,0.000222747493610757,0.000527121285793685,0.00128813096770129,-7.36017451229436e-05,0.00092250228955629,0.0006236624409209
"T+15",0.000418560011146747,0.000193844455356941,0.00037160959707829,0.00062930633468023,0.00022275830902327,0.000333928642667026,0.00135838026093543,-7.3674147184654e-05,0.00101380053571486,0.000623539051216461
"T+16",0.000613402629551544,0.000128570546952018,0.000371609597185267,0.000629647916782153,0.000222762479808155,0.000509030767144167,0.00129580772517751,-7.36321407841764e-05,0.000938321156409095,0.000623619891908634
"T+17",0.000442169740508057,0.000184875642072885,0.000371609597145367,0.000629458557707836,0.000222764089641339,0.000350325168938201,0.00135154241019656,-7.36565121575952e-05,0.00100072253803573,0.000623566927865512
"T+18",0.000592653769773571,0.000136307020796166,0.000371609597152866,0.000629563530593792,0.000222764710715918,0.000494169608159735,0.00130189834388934,-7.36423723161545e-05,0.000949133183900492,0.000623601628086127
"T+19",0.000460404391803717,0.000178202180863965,0.000371609597150528,0.000629505337941414,0.000222764950383792,0.000363794732107129,0.00134611736690299,-7.36505760030184e-05,0.00099178386551545,0.00062357889369425
"T+20",0.000576628671940144,0.000142063530209127,0.000371609597151025,0.000629537597555504,0.000222765042858444,0.000481961332065536,0.00130673054503829,-7.36458163684466e-05,0.000956523089862942,0.000623593788486409
"T+21",0.000474487675130996,0.000173236631565916,0.000371609597150884,0.000629519714151695,0.000222765078541579,0.000374859827784174,0.00134181322282886,-7.36485778245618e-05,0.000985674377780003,0.000623584029930531
