"","CVX","JNJ","HPQ","WMT","PG","KO","MCD","DIS","MRK","T"
"T+1",0.000749532650025248,0.000642215145606268,-6.45784638359461e-05,0.000398300699083892,-0.00117021743847383,-8.24967443424189e-05,0.0026400468391252,-0.000755645959191567,0.00160386214899301,0.000525434928770176
"T+2",-1.68900488300648e-05,0.000289403893864768,7.38217718694e-05,0.000451358827081675,-0.000242832676298987,0.000778495947432356,0.00259578277594835,-0.000271726362153682,-0.000576602969625683,0.000522823946934697
"T+3",0.0009434039864363,0.000535348308048965,1.72764006053167e-05,0.000449533628122813,-0.00017121132814699,-8.87694840553461e-06,0.00245687799683324,-0.000421093865662458,0.00210895397155803,0.000379781426108278
"T+4",0.000137909144178317,0.00032611364420124,6.83408545950471e-06,0.000452426027517601,-0.00011697045948148,0.000708520909973291,0.00234389925529383,-0.000323759007238595,-2.29935853395506e-05,0.000461850083722715
"T+5",0.000847760392962157,0.000503105776747107,2.86678136578786e-06,0.000454873201732042,-0.000113832851421521,5.48321375138613e-05,0.0022412775116362,-0.000378365877610184,0.00172676347707043,0.000403516830838096
"T+6",0.00022658963676826,0.000353365470812467,1.6336774707998e-06,0.000457322902080993,-0.000110637718457456,0.00065046871755533,0.00214943893646592,-0.000347010872255818,0.000295014356734555,0.000443453797078479
"T+7",0.000770695790261563,0.0004800494771741,1.23248719441213e-06,0.000459736820777682,-0.000110517941660246,0.000107728869073486,0.00206709255067239,-0.000364946615433347,0.0014668684030363,0.000415944557914324
"T+8",0.000294159482897534,0.000372871660300608,1.10339180364569e-06,0.000462118751635593,-0.000110328323912443,0.000602269588767902,0.00199327566711311,-0.000354680673299986,0.000507755795263874,0.000434874392129388
"T+9",0.000711525245105209,0.000463546755992841,1.0617420761199e-06,0.00046446883479447,-0.000110325211580367,0.000151647575067248,0.00192710265353628,-0.000360556039331552,0.00129275030412233,0.000421846128700617
"T+10",0.000345983942723447,0.000386833372391593,1.04831316157858e-06,0.000466787520653687,-0.00011031387231131,0.00056225117381047,0.00186778222247868,-0.00035719341715686,0.000650264474959812,0.000430812454322518
"T+11",0.000666135970626152,0.000451734800712289,1.04398269423308e-06,0.000469075226554395,-0.000110313929843464,0.000188112072357512,0.00181460472206636,-0.000359117926734375,0.0011761128002812,0.000424641612536563
"T+12",0.000385737244780704,0.000396826580003874,1.04258628383067e-06,0.000471332366604242,-0.000110313246488394,0.000529024981217733,0.00176693402413133,-0.000358016483128915,0.000745727493305818,0.000428888531749271
"T+13",0.000631318841022909,0.000443280298810592,1.04213599093358e-06,0.000473559349175072,-0.00011031326469923,0.000218387544563306,0.00172419987068628,-0.000358646866030783,0.00109798023153219,0.000425965701187758
"T+14",0.000416231129170007,0.000403979298648281,1.04199078771916e-06,0.000475756577200086,-0.00011031322319896,0.000501438184604624,0.00168589105735649,-0.000358286082595794,0.00080967579925862,0.000427977262485519
"T+15",0.000604611384469834,0.000437228921142113,1.04194396489806e-06,0.000477924448227402,-0.000110313225190202,0.000243524438950948,0.00165154931753825,-0.000358492567711967,0.00104564116346613,0.000426592858298349
"T+16",0.000439622318937578,0.000409098914490463,1.04192886622184e-06,0.000480063354493661,-0.000110313222650774,0.000478533623835317,0.00162076384048452,-0.000358374391268487,0.000852513181816708,0.000427545638089136
"T+17",0.000584124680408326,0.00043289759895278,1.04192399744153e-06,0.000482173682994844,-0.00011031322282537,0.000264394913081309,0.00159316635700102,-0.000358442026515287,0.00101058052115377,0.000426889912443242
"T+18",0.000457565187491313,0.00041276332066587,1.0419224274349e-06,0.000484255815556314,-0.000110313222668842,0.000459516595095358,0.00156842673405178,-0.000358403317222005,0.000881208880898907,0.00042734119838238
"T+19",0.000568409779125581,0.000429797420293378,1.04192192116421e-06,0.000486310128901892,-0.000110313222682724,0.000281723095461713,0.00154624902556483,-0.000358425471490043,0.000987094267294532,0.000427030612697438
"T+20",0.000471328768358384,0.000415386148829602,1.04192175791011e-06,0.000488336994722019,-0.000110313222673008,0.00044372727759921,0.00152636793219727,-0.00035841279206475,0.000900431417306204,0.000427244365130929
"T+21",0.000556355223078678,0.000427578442507822,1.04192170526653e-06,0.00049033677974101,-0.000110313222674053,0.000296110210135441,0.00150854562770975,-0.000358420048807581,0.000971361408910878,0.000427097255637354
