"","PG","MRK","WMT","CVX","CAT","T","KO","DIS","HD","VZ"
"T+1",0.00323832923593989,0.000849889291266555,0.000859409980420984,0.000671596909111541,0.000918099974669934,0.00250594903487556,0.00151530684320335,0.00147880857509615,0.00171802664360679,0.00374316482696986
"T+2",0.003371565240073,0.000543053363553363,-7.20224326421636e-05,0.000638924702532805,0.00151477807405664,-0.00221212655291472,0.000767805743924639,0.00125187657575818,0.00179419754740816,0.000911261270974192
"T+3",0.00327008171841788,0.000487193372196224,0.000587589762089407,0.000671584434566032,0.00157446937678603,0.0020309004440166,0.00061401779419789,0.0012168650200504,0.00176265146256777,0.000703621874800931
"T+4",0.00316261628346312,0.00047754692315148,0.000198739811382816,0.000659628355662171,0.00155668797404747,-0.00183315649625578,0.000477310041991108,0.00119946490439213,0.00179137863971452,0.00113633244299479
"T+5",0.00306023047643243,0.000476081061881419,0.00041684474660378,0.000662182305777557,0.00152832419468914,0.00168769301909976,0.000379241025648253,0.00118942597471746,0.00176481605906485,0.000844568622015423
"T+6",0.00296319138584396,0.000475938931885874,0.000296410591487591,0.000662075298721892,0.00149909943157141,-0.00152050794736304,0.000307678110850366,0.00118358396378946,0.00178938184808936,0.00101207049410687
"T+7",0.00287124484898123,0.000475962086067457,0.000362571354471514,0.000661898977429692,0.00147041126910435,0.00140281034326224,0.000255534816334586,0.00118018273617779,0.00176666269155321,0.000920235315832755
"T+8",0.00278412485529415,0.000475984833661258,0.000326287990093471,0.000661988483320311,0.00144244574588335,-0.00126092247361445,0.000217536466900074,0.00117820248855636,0.00178767402925111,0.000969832515019654
"T+9",0.00270157810714675,0.000475995848833353,0.000346174828755109,0.000661963359664003,0.00141521294951574,0.00116627560318599,0.000189846262014521,0.00117704955612104,0.00176824213215073,0.000943183752757181
"T+10",0.00262336454130353,0.000476000379681722,0.00033527698520491,0.000661966887748287,0.00138869779608511,-0.00104539159825716,0.000169667801759623,0.0011763783000239,0.00178621331658222,0.000957476890969215
"T+11",0.00254925669324614,0.000476002127888648,0.000341248540168149,0.000661967497952784,0.00136288197312288,0.000969883486504011,0.00015496331596466,0.00117598748375772,0.00176959304177311,0.000949815435643817
"T+12",0.00247903903875236,0.000476002782884838,0.000337976452536477,0.000661966910096572,0.00133774712317775,-0.000866438752488203,0.000144247835134209,0.00117575994414267,0.00178496395601549,0.000953921277635671
"T+13",0.00241250736725165,0.000476003024764736,0.000339769365781644,0.00066196712335065,0.00131327529615697,0.000806821335385622,0.000136439229586392,0.0011756274668614,0.00177074848681536,0.000951721083729968
"T+14",0.00234946818793713,0.000476003113432073,0.000338786956242001,0.000661967078265959,0.00128944900427274,-0.000717856230578003,0.000130748927716652,0.00117555033642393,0.00178389536678576,0.000952900069260611
"T+15",0.00228973816704618,0.000476003145811872,0.000339325257646602,0.000661967079961697,0.00126625121941256,0.000671432677344635,0.000126602280127612,0.00117550542982313,0.00177173674925983,0.000952268309303155
"T+16",0.00223314359467978,0.000476003157612967,0.000339030300898493,0.000661967083162054,0.00124366536240636,-0.000594489844744159,0.000123580527218662,0.00117547928446649,0.00178298139289199,0.000952606837120553
"T+17",0.00217951987961055,0.000476003161909505,0.000339191919416577,0.000661967081559169,0.00122167529138679,0.000559021007313181,0.000121378509698078,0.00117546406221271,0.00177258201893811,0.000952425437591429
"T+18",0.00212871107061012,0.000476003163472932,0.000339103362213687,0.000661967082005321,0.00120026529028326,-0.00049206013122171,0.000119773851307051,0.00117545519956787,0.00178219966287333,0.000952522640169945
"T+19",0.00208056940290377,0.000476003164041671,0.000339151886220689,0.00066196708194385,0.00117942005759426,0.000465686870302715,0.000118604501595787,0.00117545003959125,0.00177330498562883,0.00095247055436754
"T+20",0.0020349548684334,0.000476003164248533,0.000339125297991041,0.000661967081932477,0.00115912469545219,-0.000407013899694575,0.000117752370852646,0.00117544703536856,0.0017815310422199,0.000952498464436695
"T+21",0.00199173480867893,0.000476003164323767,0.000339139866737496,0.000661967081943056,0.00113936469897612,0.000388192592982124,0.000117131404518613,0.00117544528626103,0.00177392334548404,0.000952483508884281
