"","JPM","AIG","HD","PG","MRK","DIS","CAT","BA","AA","AXP"
"T+1",0.00145047463961364,-0.000583743003583772,0.000740535761847274,0.00104579388262101,0.000857108956694832,0.00207258857680486,0.000659893380217488,0.00101761682788804,0.00224096420758594,0.0012194681239244
"T+2",0.000927570578698401,-0.000626551812265506,0.000724341244095358,0.000806189123914912,0.00116382751521347,0.000557013716199264,0.00079238316840096,0.000412576823912062,-0.00154415287210993,0.000900603706263967
"T+3",0.000609095779763065,0.000268609475816108,0.000392031487474732,0.000167649820980801,0.00147475117388689,0.000408635645268819,0.000450536081309483,0.000539394553225702,-0.000881192686009954,0.000680837462905331
"T+4",0.000692700296207754,0.000428230500347165,0.000421610957481962,0.000391168145866376,0.00126805567047421,0.000499544288128278,0.000711548829668342,0.000656247222101173,-2.35036007200817e-05,0.000617214443520456
"T+5",0.000687004231768094,0.000607804264700382,0.00044102435340722,0.000446397597259046,0.00142423797057723,0.000572395423621151,0.00051764493169365,0.000725918285424002,0.0004701807304602,0.000605749573890526
"T+6",0.000685184788901878,0.000667980001762955,0.000437404922140919,0.000389596955577987,0.00130725424505707,0.000605731483545171,0.000661536279259572,0.000765168222798518,0.000701602527749113,0.000604994254839819
"T+7",0.000685759010696962,0.000709249217011097,0.000436433068836052,0.000395337851332368,0.00139492715333695,0.000617255377649843,0.000554762786577208,0.000787066813297072,0.000799933992648774,0.000605341342767533
"T+8",0.000685706767958803,0.000727010783336159,0.000436755532288958,0.000404220636226227,0.00132922352109894,0.000620265963081923,0.000633993110402968,0.000799263600332358,0.000839316248210623,0.000605510515380142
"T+9",0.00068569694758585,0.000737227808928528,0.000436792064173052,0.000400666403496377,0.00137846310606291,0.000620716465259366,0.000575200955225686,0.000806054712964751,0.000854463587341647,0.000605553946148464
"T+10",0.000685700813538513,0.000742104397224504,0.000436767629319911,0.000400022977488586,0.00134156200534419,0.00062063035622653,0.000618827149504862,0.000809835763361816,0.000860116605201477,0.00060556072726847
"T+11",0.000685700375196801,0.000744723141086788,0.000436767312495017,0.000400860270750955,0.00136921640675689,0.000620524353267824,0.000586454721222325,0.000811940897173366,0.000862176493334765,0.000605560857571267
"T+12",0.000685700326748075,0.000746027314597373,0.000436768953748053,0.000400744105369918,0.00134849166136723,0.000620470336293001,0.00061047639283999,0.000813112947279476,0.00086291229901607,0.000605560535615745
"T+13",0.000685700352260823,0.000746708636675086,0.000436768833868889,0.000400622018680958,0.00136402318797938,0.000620450225694128,0.000592651325709697,0.000813765495354112,0.000863170636752554,0.000605560409811057
"T+14",0.0006857003487847,0.000747053874720093,0.000436768735738815,0.000400677753067812,0.00135238356035704,0.000620444475475966,0.00060587825775908,0.000814128806583982,0.000863259943209497,0.000605560380997418
"T+15",0.000685700348583956,0.000747232239973903,0.000436768752076404,0.000400684663880689,0.00136110652330653,0.000620443388218993,0.000596063330827239,0.00081433108294267,0.000863290376086544,0.000605560377238925
"T+16",0.000685700348748856,0.00074732325934323,0.000436768757156852,0.000400672426531946,0.00135456936549643,0.00062044341512459,0.000603346409799575,0.0008144437018816,0.000863300605649906,0.000605560377425425
"T+17",0.00068570034872238,0.000747370073060829,0.000436768755641789,0.000400674584950207,0.0013594684384928,0.000620443561224243,0.000597942066019367,0.000814506403353408,0.000863303998322553,0.000605560377699255
"T+18",0.0006857003487219,0.000747394030323165,0.000436768755436176,0.000400676239988111,0.0013557969780629,0.0006204436466284,0.000601952311110161,0.000814541312886423,0.000863305108405887,0.000605560377790031
"T+19",0.000685700348722942,0.000747406329776111,0.000436768755553895,0.000400675376604672,0.00135854844179865,0.000620443680990543,0.00059897654451531,0.000814560749040952,0.000863305466578557,0.000605560377808557
"T+20",0.000685700348722747,0.000747412631405296,0.000436768755557378,0.000400675313190914,0.00135648644144928,0.000620443691638411,0.000601184685570668,0.000814571570271437,0.00086330558043561,0.000605560377810434
"T+21",0.000685700348722749,0.000747415864221933,0.000436768755549303,0.000400675490509067,0.00135803174454943,0.000620443693995171,0.000599546154199022,0.000814577595075832,0.000863305616042159,0.000605560377810115
