"","PFE","JNJ","HPQ","PG","CVX","HD","AA","BA","MRK","AXP"
"T+1",-0.000500604340805713,-0.000996212315332192,0.00369601396478812,0.00144690122503425,0.00469651496159605,-0.00730439776838036,-0.00675361252858214,0.000505242396201505,-0.00172251645530535,0.00764643865153643
"T+2",8.00366989855952e-05,-0.00104735966736665,0.00396603627329017,0.000763658319971436,-0.000709222990783547,-0.00431525820190774,-0.000344745582845131,0.000751159461643657,-0.0014054829853302,0.000164898064125525
"T+3",-0.000367664021525525,-0.000406648154054015,0.00218447938571169,-0.000271679092843941,0.00171294250457171,-0.0014532871255921,0.00055363629285088,0.00023651304503565,-8.23052806367656e-05,-0.00112621954404105
"T+4",-0.000113069047223714,-0.000177964771802392,0.00150465525394122,0.000626374876635685,0.00129057888989517,-0.00150856600109,0.000669280380471455,0.000717428986991742,7.12734957151669e-05,0.00105919800043173
"T+5",-0.000256727405124543,-5.69810887284472e-05,0.00142341559036335,3.99503498975997e-05,0.00147648389197353,-0.001243879057902,0.000674075155703212,0.000271329597751193,0.000179456612600294,-0.00069069334708081
"T+6",-0.000175685266832459,4.37265736388456e-07,0.00145785176740479,0.000396627362228983,0.00144350045822263,-0.00127894297987726,0.000663495794711218,0.000685092191747405,0.000200980145457317,0.000549605523514714
"T+7",-0.00022140333285198,2.84315384992293e-05,0.00147817942029093,0.000184443627419157,0.00145777181628859,-0.00125106064890676,0.000651098732522564,0.000301322877023936,0.000210715067118565,-0.000301438950817042
"T+8",-0.000195612538505167,4.19865143034267e-05,0.00148238928137503,0.000309744943459836,0.00145519730055344,-0.00125739445162408,0.000638798615888271,0.000657273092025979,0.000213192992707621,0.000276984021825903
"T+9",-0.000210161821245306,4.85613743554136e-05,0.001482013569299,0.000235934345977699,0.00145629308335289,-0.00125415734120536,0.00062685596536068,0.000327125394780172,0.000214122694951601,-0.000115022509074554
"T+10",-0.000201954178418723,5.17491046616706e-05,0.00148147757412536,0.000279376748562728,0.0014560922216599,-0.00125509700724957,0.00061529659696648,0.00063334097606794,0.000214389010623304,0.00015041522378288
"T+11",-0.000206584331119139,5.32948060070977e-05,0.00148131624502423,0.000253815424353035,0.00145617637407853,-0.00125469796810757,0.000604113336368134,0.000349322692718873,0.000214480743170695,-2.92718207095241e-05
"T+12",-0.000203972337093311,5.40442810237129e-05,0.00148130766955666,0.000268854112601475,0.00145616070976637,-0.00125482814766264,0.000593294674313592,0.000612752740717457,0.000214508553007641,9.23567895099566e-05
"T+13",-0.000205445833375701,5.44076868584769e-05,0.00148131977258866,0.000260006585446813,0.00145616717359283,-0.00125477732801132,0.000582828827580767,0.000368418505011768,0.000214517756255268,1.00294626177678e-05
"T+14",-0.000204614594378694,5.45838949423674e-05,0.00148132502830116,0.000265211682628708,0.00145616595250134,-0.00125479485582941,0.000572704304956899,0.000595041167048424,0.000214520622979057,6.57543269218499e-05
"T+15",-0.000205083518717631,5.46693346916537e-05,0.00148132581426557,0.000262149478986339,0.00145616644908425,-0.00125478827589133,0.000562909976881606,0.000384846182296294,0.000214521553919266,2.80359471134503e-05
"T+16",-0.000204818985849901,5.47107626995286e-05,0.00148132560603088,0.00026395099741887,0.00145616635393243,-0.00125479060606151,0.000553435074903219,0.000579804317629651,0.000214521847667632,5.35662951717208e-05
"T+17",-0.000204968215975742,5.47308503039849e-05,0.00148132545524742,0.000262891150475998,0.00145616639208914,-0.0012547897472154,0.000544269181500786,0.000398978525913066,0.000214521942209508,3.62856342203542e-05
"T+18",-0.000204884031236622,5.47405903776786e-05,0.00148132541955765,0.000263514666364227,0.00145616638467729,-0.00125479005518475,0.000535402218866285,0.000566696415161544,0.000214521972225056,4.79823499422143e-05
"T+19",-0.000204931522118646,5.47453131427027e-05,0.00148132542070565,0.0002631478473206,0.0014561663876097,-0.00125478994264943,0.000526824437857731,0.000411136248069601,0.000214521981844527,4.00652247608687e-05
"T+20",-0.000204904731231141,5.47476031160811e-05,0.00148132542450147,0.00026336364969362,0.00145616638703256,-0.00125478998324174,0.000518526407284856,0.000555419995582199,0.000214521984907489,4.54240684097278e-05
"T+21",-0.000204919844693404,5.47487134779237e-05,0.00148132542578699,0.000263236691552493,0.00145616638725796,-0.00125478996846901,0.000510499003540279,0.000421595249919803,0.000214521985887139,4.17968420438101e-05
