"","V","CSCO","PG","MCD","WMT","HD","VZ","BA","MRK","GS"
"T+1",-0.00269749809767943,0.000222746083233659,-0.000550603528459192,-0.00191710468649943,-0.00233073852998946,-0.00111432990434123,-0.000670848770200608,-0.00253925523881717,0.000895033931302299,-0.00361347253511335
"T+2",-0.00646627134519565,-0.00135099663316463,-0.000972612841129455,-0.00178225641271876,-0.00346931446124922,-0.00252457419861003,-0.00117930117320105,-0.00156092916799984,-0.00094237678218055,0.00112121198729624
"T+3",-0.00259180940244757,0.00248771500703409,-0.000305935979960908,-0.000818762775208801,-0.00312169697382335,0.000193106805894724,0.00168064572289417,5.42446985405429e-06,-0.000801762991043556,0.00039259356779604
"T+4",-0.000420679116948798,-0.00103998721709146,-0.000100952862683876,-0.000112080360633659,-0.00277294241508663,0.00114283893002048,-0.0001477042260652,-0.000303163746938911,-0.000623685747739828,0.000479861850736417
"T+5",0.000337399854631094,0.00200736170556915,-6.43833700783619e-05,0.000350083921416828,-0.00248020148791334,0.00113010187671911,0.000702414380844762,-0.000390035259974809,-0.000514020996241485,0.00044558579621717
"T+6",0.000539410551636931,-0.000607828129789356,-6.07176538050155e-05,0.000647362230257825,-0.00223666315740506,0.00102441060886295,0.000369829599975428,-0.00035157105561209,-0.000450781838709768,0.000429712470656007
"T+7",0.00057949034675717,0.00163486881649064,-6.08824391855063e-05,0.000838086870901173,-0.0020341575411912,0.000994729910146745,0.000482990681749186,-0.000349839794334608,-0.000414641901444649,0.000411345892491592
"T+8",0.00058348943850574,-0.000288237497334754,-6.10514120340062e-05,0.000960400070953211,-0.00186577582085043,0.000997356378844354,0.000449936746579453,-0.000353318966005347,-0.000394015300974574,0.000393602571863785
"T+9",0.000582362317583854,0.00136080619183398,-6.10943389889002e-05,0.00103883543083067,-0.00172576804599505,0.00100131402686757,0.000457578050358725,-0.000352961278678058,-0.000382245012835573,0.000376014202101835
"T+10",0.000581508365074015,-5.32302628708126e-05,-6.11010219751948e-05,0.00108913288949637,-0.00160935294268167,0.00100219468925784,0.000456678370290164,-0.0003527209349452,-0.000375528638715529,0.000358647694982578
"T+11",0.000581179802163912,0.00115928999508082,-6.11015102749096e-05,0.0011213865859034,-0.00151255491678523,0.00100202855714002,0.000456312829544158,-0.000352785709725669,-0.000371696149123694,0.000341490095216898
"T+12",0.000581085579765353,0.000119567607798533,-6.11014281425683e-05,0.00114206955270923,-0.00143206829994311,0.00100188521872998,0.000456667814715802,-0.000352796520192972,-0.000369509259588623,0.00032454040687315
"T+13",0.000581064968915065,0.00101111777704261,-6.11013883955795e-05,0.00115533268674977,-0.00136514446104657,0.00100186094506545,0.000456478901853585,-0.000352789519718869,-0.000368261380021244,0.000307795884064185
"T+14",0.000581062172392217,0.000246623606400812,-6.11013797387166e-05,0.00116383778783682,-0.0013094979400674,0.00100186920116681,0.000456559260304321,-0.000352789624363689,-0.000367549316896133,0.000291254077197912
"T+15",0.000581062392469315,0.000902168697521587,-6.11013785793801e-05,0.00116929175853542,-0.00126322839922604,0.00100187423215937,0.000456529844980633,-0.000352790196886938,-0.000367143000528313,0.000274912527065845
"T+16",0.000581062713609606,0.000340046207913837,-6.11013785348693e-05,0.00117278916510025,-0.00122475572614604,0.00100187482381184,0.000456539203384933,-0.000352790105327327,-0.000366911148906038,0.0002587688100939
"T+17",0.000581062852780564,0.00082205987501723,-6.11013785606316e-05,0.00117503190774693,-0.00119276607275841,0.00100187445756103,0.000456536710068979,-0.000352790070504689,-0.000366778850089138,0.000242820531172842
"T+18",0.000581062895798646,0.000408738615736925,-6.11013785694895e-05,0.00117647008614739,-0.00116616698717542,0.00100187428645952,0.000456537183049311,-0.00035279008322528,-0.000366703357941267,0.000227065324319629
"T+19",0.00058106290603886,0.000763156913457957,-6.1101378571171e-05,0.00117739233066557,-0.00114405010628028,0.00100187427551201,0.000456537183610375,-0.000352790084309317,-0.000366660280727701,0.000211500852174627
"T+20",0.000581062907718971,0.000459247238020027,-6.11013785713584e-05,0.00117798372805481,-0.00112566013497832,0.00100187429066307,0.000456537123766842,-0.000352790083084761,-0.000366635700074202,0.000196124805677513
"T+21",0.000581062907750867,0.000719846342012922,-6.11013785713563e-05,0.0011783629668197,-0.00111036905274612,0.00100187429628902,0.000456537163291739,-0.000352790083170808,-0.000366621673899425,0.000180934903721333
