"","V","CSCO","PG","VZ","IBM","MCD","BA","MRK","KO","HD"
"T+1",0.00311250805795404,0.000517105465997683,-0.0039790924977973,0.000405082503736288,-0.00211270614816347,-0.00079470745220699,0.00119342858235049,0.000490380190656751,-0.000150434492391481,0.000211910582544144
"T+2",0.000336996055422557,0.00107238447819108,-0.000870778403053483,0.000252021327043545,-0.000288191958024568,0.000550320381063274,0.000634916164019498,0.00037747752343354,0.00190760878534096,0.000396760926044391
"T+3",0.00235482304305369,0.000789225480942979,-0.00041121873960354,0.000124077894469672,-0.000400343051569534,0.000677234479638832,0.000896990051753642,0.000260718201286158,-0.000290204951120384,0.00102957437267864
"T+4",0.000413290266375916,0.000817260594564315,-9.63765910186174e-05,7.53512391426176e-05,-0.000644582208169017,0.000390996978543673,0.000671574108714013,0.000261980257915273,0.00187889726044504,0.00134901394461557
"T+5",0.00231417770010993,0.000794652744012749,-5.44655085912334e-05,5.43434185827053e-05,-0.000388790857511617,0.000582197646514571,0.000859557629189668,0.000259946651868161,-0.000264402114496263,0.0014486532964908
"T+6",0.000451375501369501,0.000795474483771238,-2.24879240983286e-05,4.55125673302345e-05,-0.000586946102495704,0.000483443239054037,0.000702605020685602,0.000260023909133362,0.00185336233743446,0.00146579423911624
"T+7",0.00227694314962103,0.000793568247268182,-1.87270250004976e-05,4.17819555505972e-05,-0.000446277760902908,0.000528215731464272,0.000833643054081966,0.000259986977046362,-0.000239172010900862,0.0014636398089877
"T+8",0.000487861302104489,0.000793503503663649,-1.54698414382176e-05,4.02074968900576e-05,-0.000542941741437792,0.000509652315902579,0.000724240624125187,0.000259989310429622,0.00182843280483105,0.00146052289620578
"T+9",0.00224118678410075,0.000793333200723399,-1.51396386421951e-05,3.95428872750004e-05,-0.000477384260641752,0.00051679877567478,0.000815579684579611,0.000259988614252108,-0.00021453947791123,0.00145909156147632
"T+10",0.000522903033611586,0.000793315408724425,-1.48068740846314e-05,3.92623533681681e-05,-0.000521601864075397,0.000514238358460727,0.000739321561333815,0.000259988673253398,0.00180409373298658,0.00145867723916509
"T+11",0.00220684539261437,0.000793299336151699,-1.47787615273004e-05,3.91439381876911e-05,-0.00049184692031312,0.000515084447379511,0.00080298875181547,0.000259988659719383,-0.000190490371047352,0.00145861772998039
"T+12",0.000556558082564633,0.000793296641703751,-1.47446596005321e-05,3.90939544470268e-05,-0.000511849856228696,0.000514833448994569,0.000749833612778304,0.000259988661099917,0.00178033113658821,0.00145863302079917
"T+13",0.00217386296901375,0.000793295052308709,-1.47423745858642e-05,3.90728560113635e-05,-0.000498408433217143,0.000514895470320102,0.000794212338848745,0.000259988660830419,-0.000167010871755018,0.00145864804555121
"T+14",0.00058888132381556,0.000793294704592148,-1.4738868603156e-05,3.90639502360929e-05,-0.000507439074310325,0.000514886173274023,0.000757160957490148,0.00025998866086143,0.0017571313617077,0.00145865438492744
"T+15",0.0021421857357813,0.000793294541614098,-1.47386966657162e-05,3.90601910553011e-05,-0.000501372290375826,0.000514884059486905,0.000788094807605656,0.000259988660855967,-0.000144087488772893,0.00145865608063984
"T+16",0.000619925460060225,0.000793294499751068,-1.47383350362723e-05,3.90586042826998e-05,-0.000505447821469863,0.000514886942809377,0.000762268426837084,0.000259988660856648,0.00173448107781264,0.00145865626923074
"T+17",0.00211176204353187,0.000793294482595715,-1.47383239362275e-05,3.90579344965338e-05,-0.000502710008349406,0.000514885136907691,0.000783830629444023,0.000259988660856536,-0.00012170705038268,0.00145865617707017
"T+18",0.000649741108425931,0.000793294477731819,-1.47382865108275e-05,3.9057651775804e-05,-0.000504549173743763,0.000514886043800646,0.000765828549112719,0.00025998866085655,0.00171236727010679,0.00145865610593666
"T+19",0.00208254228676537,0.00079329447589335,-1.47382860586945e-05,3.90575324377e-05,-0.000503313691066044,0.000514885639835608,0.000780858316811425,0.000259988660856548,-9.98566968406767e-05,0.00145865607818082
"T+20",0.000678376883003816,0.000793294475339286,-1.47382821724159e-05,3.90574820643755e-05,-0.000504143641314929,0.00051488580504463,0.000768310104998135,0.000259988660856548,0.00169077723205178,0.00145865607136745
"T+21",0.00205447882298543,0.000793294475139921,-1.47382821983658e-05,3.90574608014952e-05,-0.000503586112580581,0.000514885742234336,0.000778786489122472,0.000259988660856548,-7.85238729886071e-05,0.00145865607087055
