"","WMT","JNJ","PG","CVX","CAT","KO","AXP","DIS","AA","MRK"
"T+1",-0.000666694064504834,0.00218113507698906,0.000200675807278045,0.00218706134183796,0.00115605301927182,0.000538873979228478,0.000664909645739877,0.00181842169028242,0.00182877404775724,-0.000801251428449553
"T+2",4.35794070113139e-05,-0.00293737763449761,0.000443717155351475,0.00224748359979085,0.00406793040664305,0.00163348467004928,0.000834949036943451,0.00090590846502812,0.00182367180693036,-0.000517933927463852
"T+3",0.000147619558159024,-0.000447949803048664,0.000307937664245189,0.00224223305573005,0.00232148699365285,0.00130185284801115,0.000888126004456484,0.00107742747333136,0.00169100395562056,-0.000248462112303439
"T+4",7.50032570961192e-06,0.0006514104109024,0.000360790437115841,0.00224059970648149,0.00352528853108072,0.00106018639451349,0.000916385531432441,0.00127397164385015,0.00167790036302439,-0.000495919627843841
"T+5",8.31546684618957e-05,0.000544404107423233,0.000339589460091409,0.00224004762556284,0.00267335446697428,0.00100868585833771,0.000929669519470953,0.00142951603732375,0.0016745046312338,-0.00029053386764374
"T+6",5.12547396632139e-05,0.000387458762354762,0.000348069274701718,0.0022398612777307,0.00327900597462431,0.00101657823888422,0.000936066056796996,0.00154913262347272,0.00167396295609511,-0.000460018623883275
"T+7",6.29389332890376e-05,0.000371751192017532,0.000344676644598914,0.0022397983770117,0.00284811140907723,0.00102513775380208,0.000939131044369853,0.00164086827261119,0.00167385579181264,-0.000320208280093776
"T+8",5.9105863926891e-05,0.000388420700624332,0.000346033942769669,0.00223977714521633,0.0031547133693405,0.00102738704174535,0.000940601135686608,0.00171120289594404,0.00167383665975541,-0.000435537344611789
"T+9",6.02333629631615e-05,0.000393466136057907,0.000345490923673701,0.00223976997853932,0.00293654680454487,0.00102726250049903,0.000941306108450242,0.00176512774365428,0.00167383307780233,-0.000340402924047969
"T+10",5.9943936574445e-05,0.000392320840641937,0.000345708171198743,0.00223976755946648,0.0030917865889738,0.00102696891610539,0.000941644187389505,0.00180647127713198,0.00167383242199155,-0.000418878868590973
"T+11",6.00029291963787e-05,0.000391479438185571,0.000345621256229162,0.00223976674292161,0.00298132325863538,0.00102687563996271,0.00094180631623739,0.00183816886020313,0.00167383230066285,-0.00035414442435577
"T+12",5.99972593019919e-05,0.000391466532628832,0.000345656028601917,0.00223976646730133,0.00305992520104277,0.00102687403283227,0.000941884066740092,0.00186247101011543,0.00167383227832561,-0.000407543568432898
"T+13",5.99944811620088e-05,0.000391569100590291,0.000345642117098374,0.0022397663742672,0.00300399473581768,0.00102688373908374,0.000941921352754827,0.00188110317167982,0.00167383227420382,-0.000363494861105467
"T+14",5.99968054137156e-05,0.000391589699060356,0.000345647682721755,0.00223976634286404,0.00304379295013012,0.00102688745455827,0.000941939233629452,0.00189538822241546,0.00167383227344405,-0.00039983043634265
"T+15",5.99956626587326e-05,0.000391580718091181,0.000345645456063542,0.00223976633226407,0.00301547389616104,0.00102688773794366,0.000941947808578402,0.00190634039636534,0.00167383227330394,-0.000369857388143919
"T+16",5.99961223598862e-05,0.00039157648595649,0.000345646346890402,0.00223976632868611,0.00303562477055638,0.0010268874312786,0.000941951920779356,0.00191473729438467,0.0016738322732781,-0.000394582017173711
"T+17",5.99959595805568e-05,0.000391576822745607,0.000345645990494216,0.00223976632747839,0.0030212860945771,0.00102688728822365,0.000941953892825694,0.0019211750935531,0.00167383227327334,-0.000374186784876759
"T+18",5.99960113520463e-05,0.000391577413015839,0.000345646133078872,0.00223976632707073,0.00303148900809865,0.00102688726991436,0.000941954838539876,0.00192611087555707,0.00167383227327246,-0.000391010717803939
"T+19",5.99959966528204e-05,0.000391577480282465,0.000345646076034535,0.00223976632693313,0.00302422896229814,0.0010268872790249,0.000941955292066396,0.0019298950793437,0.0016738322732723,-0.000377132733232979
"T+20",5.9996000234242e-05,0.00039157741910491,0.00034564609885646,0.00223976632688668,0.00302939496364807,0.00102688728436614,0.000941955509559491,0.00193279638217418,0.00167383227327227,-0.000388580618610639
"T+21",5.99959995839147e-05,0.00039157739938809,0.000345646089726014,0.002239766326871,0.00302571901301625,0.00102688728530788,0.000941955613860441,0.00193502077562357,0.00167383227327226,-0.000379137310834215
