"","PG","MRK","WMT","CVX","CAT","T","KO","DIS","HD","VZ"
"T+1",0.00161283999447862,-0.000797626904414863,0.00047976216203173,0.000502909454381214,-0.000941881115064734,-3.64902317532651e-05,0.000410643674909722,0.00108704256130498,0.00137909358614096,-0.00116395181262288
"T+2",0.0015960278301819,0.00150730829724874,0.00110687960299694,0.000917663389676105,0.000147220850652822,0.000192444240988696,0.000255945475742689,0.00141799116818532,0.00189679625839335,0.00376208321706246
"T+3",0.00143019378763693,0.00122921981297989,-0.000188341352162239,0.00043827913426928,0.000307508047462289,0.000167204052380432,0.000239797378858648,0.00131622286402814,0.00135426644609518,-0.000924813060676342
"T+4",0.00131621448118134,0.000858733984556366,0.000754274962630822,0.000610938661114442,0.000259968995857263,0.000196253943612375,0.000224393160076506,0.00123897270871483,0.00185125316768982,0.00207161308429158
"T+5",0.0012401623327908,0.000676522123335931,0.000131850405525351,0.000576091968277703,0.000186258005006555,0.00016948446186323,0.000212769023168668,0.00119150951233278,0.001395646964482,0.000294687651031582
"T+6",0.00118946622138604,0.000608637500482468,0.000536225740059967,0.000576835973141788,0.000125759213495766,0.000194314553301343,0.000203922163881661,0.00116281382841808,0.00181331626642989,0.00132884676506482
"T+7",0.00115567345635592,0.000587454654621937,0.000274272167307266,0.000579401647391367,8.24077648450641e-05,0.000171288265925927,0.000197191354009309,0.00114548877940041,0.00143042496883331,0.000729952958756582
"T+8",0.00113314806532481,0.000581869980724834,0.000443876522347827,0.000578232027826766,5.27388966492887e-05,0.000192641936527764,0.000192070391601874,0.0011350300209047,0.00178143411666594,0.00107631739470765
"T+9",0.00111813321755067,0.000580703124177866,0.000334074929560149,0.000578524564890717,3.27879138253966e-05,0.000172839389217564,0.000188174242148344,0.00112871635989583,0.00145965239262134,0.000876072876526997
"T+10",0.00110812470524127,0.000580567060838595,0.000405159093567773,0.000578495133824608,1.946569967417e-05,0.000191203486433787,0.000185209959323824,0.00112490498217171,0.00175464036820107,0.000991829495096809
"T+11",0.00110145328771174,0.000580599138810472,0.000359140246012203,0.000578483607516393,1.05952055106221e-05,0.000174173350805097,0.000182954662713547,0.00112260416193604,0.00148421511022537,0.000924915085997296
"T+12",0.00109700629194681,0.000580629805013624,0.00038893215784717,0.000578491023423979,4.69576010394321e-06,0.000189966423348713,0.00018123877961412,0.00112121522226545,0.0017321229105603,0.000963595435463886
"T+13",0.00109404203866094,0.000580644044864217,0.000369645322816848,0.000578488775810658,7.74136169231748e-07,0.000175320554061116,0.000179933295094932,0.00112037675893073,0.00150485761024421,0.00094123602744236
"T+14",0.00109206614347073,0.000580649190796693,0.000382131329111082,0.000578489132045756,-1.83222705544684e-06,0.000188902552535257,0.000178940051539815,0.00111987060248743,0.00171319924636048,0.000954161010694829
"T+15",0.00109074906243002,0.000580650756800059,0.000374048076860555,0.000578489164416228,-3.5643098943027e-06,0.000176307145671439,0.000178184368308584,0.00111956505025338,0.00152220556065821,0.000946689651496383
"T+16",0.00108987112999899,0.000580651157821137,0.000379281052510805,0.00057848912092383,-4.71534313742584e-06,0.000187987626593827,0.00017760942660066,0.00111938059706905,0.00169729580501905,0.000951008512502296
"T+17",0.00108928592276449,0.00058065123743374,0.000375893302963417,0.000578489137024099,-5.48023687319319e-06,0.000177155611713054,0.000177171997326264,0.00111926924793324,0.00153678477263796,0.000948511970748196
"T+18",0.0010888958386359,0.000580651244858615,0.000378086480949073,0.000578489133674484,-5.98852724735501e-06,0.000187200792828191,0.000176839190769596,0.00111920202963016,0.00168393055800192,0.000949955110665022
"T+19",0.00108863581856368,0.000580651241626245,0.000376666650583969,0.000578489133787136,-6.32629769982348e-06,0.000177885290149644,0.00017658598365557,0.00111916145185437,0.00154903713772306,0.000949120895569451
"T+20",0.00108846249585456,0.000580651239120567,0.000377585827357972,0.000578489134015995,-6.55075359181072e-06,0.000186524117977572,0.000176393337683579,0.00111913695620641,0.00167269840868316,0.000949603118268321
"T+21",0.00108834696338338,0.000580651238013896,0.000376990766171346,0.00057848913390783,-6.6999094082296e-06,0.000178512811576207,0.000176246768063422,0.00111912216888115,0.00155933402142206,0.000949324366741853
