"","JNJ","WMT","HD","VZ","CSCO","PG","PFE","UNH","IBM","NKE"
"T+1",0.000626230482162366,0.00189461677413001,0.00122431805313601,-0.00134546534774228,0.00148621575211974,0.00039947269356867,0.000211075729953867,0.00112489728422341,-5.60731825522873e-05,0.000486583839156207
"T+2",0.00042408206366025,0.00203552943114698,0.0014134295809885,-0.000847260557840659,0.000450081704793671,0.000389629562561144,0.00010945136379096,0.00156179260662269,-0.000458433413828199,0.00118484325936089
"T+3",0.00108728498367248,0.00171542815217555,0.00128812892310891,-6.07796052527134e-05,0.00122148406394005,0.000440535164115318,0.000702541819842104,0.00155656125952738,-0.00011109044178474,0.000713799216353082
"T+4",0.000655045878659367,0.00157831074243834,0.00130119221128501,-5.93063897103576e-05,0.000665439080253967,0.000455871995420975,0.000383576682300152,0.00153601235960168,-0.000232995240425572,0.000796327558327705
"T+5",0.000979822069415872,0.00153657046293889,0.00130377243687035,2.04127642425734e-05,0.00106632819326013,0.000461670765333726,0.00062212676492348,0.00151698111439776,-0.000178109685146227,0.000797267802269096
"T+6",0.000741146184258133,0.00152563641005094,0.00130287030241209,1.55870220095236e-05,0.000777301423105774,0.000463777734726602,0.000459224933073706,0.00149991818802519,-0.000200796698396291,0.000793396931949296
"T+7",0.000917125021694795,0.00152303223776022,0.0013029188543364,2.39779941253112e-05,0.000985679430346999,0.000464548243102827,0.000573048277556445,0.00148464178027355,-0.000191155039519151,0.000794286998768298
"T+8",0.000787437213727606,0.00152245634438872,0.00130294473899822,2.29646064789946e-05,0.000835446308769299,0.00046482971655407,0.000493987501158654,0.00147096570977892,-0.000195215118796217,0.000794243733229405
"T+9",0.000883017792770716,0.00152233730664586,0.00130293876901998,2.38793569041799e-05,0.000943759038686419,0.000464932559070121,0.000548986241020585,0.00145872236205817,-0.000193500250459667,0.000794214839014129
"T+10",0.000812575185817432,0.00152231438134705,0.00130293876139524,2.37194303732599e-05,0.000865669418109432,0.000464970133779577,0.000510741298698741,0.00144776164462107,-0.000194223842740934,0.000794223703565113
"T+11",0.000864491265547746,0.00152231032923658,0.00130293898551686,2.38222390490049e-05,0.000921969253285998,0.000464983862200512,0.000537338695056151,0.0014379491873755,-0.000193918421109689,0.000794222846178287
"T+12",0.000826229213705375,0.00152230969721772,0.0013029389498063,2.37995936553908e-05,0.000881379077312693,0.00046498887805827,0.00051884205021716,0.00142916469696925,-0.000194047322801864,0.000794222661049833
"T+13",0.000854428274033202,0.00152230961991974,0.00130293894717374,2.3811439840818e-05,0.000910643148519595,0.000464990710667592,0.000531705270093886,0.00142130048214871,-0.000193992918536775,0.000794222743467671
"T+14",0.000833645619659504,0.00152230961656024,0.00130293894892985,2.38084024988291e-05,0.000889544795455892,0.000464991380235395,0.0005227597482228,0.00141426013354755,-0.000194015880137881,0.000794222731808016
"T+15",0.000848962396819598,0.00152230961864005,0.0013029389487461,2.38097941941766e-05,0.000904755956570607,0.000464991624870757,0.00052898077202075,0.00140795734178041,-0.00019400618903795,0.000794222730974401
"T+16",0.000837673960880413,0.00152230961964012,0.00130293894871004,2.3809399113355e-05,0.000893789251171413,0.000464991714251489,0.000524654458448037,0.0014023148393547,-0.000194010279227368,0.000794222731689934
"T+17",0.000845993516921704,0.00152230961995594,0.00130293894872269,2.38095649976914e-05,0.000901695855171311,0.000464991746907909,0.0005276631255559,0.00139726345342915,-0.000194008552936581,0.000794222731554543
"T+18",0.000839862019777468,0.00152230962004034,0.00130293894872201,2.38095145526083e-05,0.000895995475290969,0.00046499175883936,0.000525570795088977,0.00139274125780678,-0.000194009281528625,0.000794222731555528
"T+19",0.000844380921632711,0.00152230962006073,0.00130293894872164,2.38095345346005e-05,0.000900105246158541,0.000464991763198671,0.000527025873578675,0.00138869281376619,-0.000194008974021689,0.00079422273156127
"T+20",0.000841050499470399,0.00152230962006529,0.00130293894872173,2.38095281684284e-05,0.000897142247737648,0.000464991764791403,0.000526013962007537,0.00138506849042451,-0.000194009103806958,0.000794222731559844
"T+21",0.000843505014335853,0.00152230962006624,0.00130293894872173,2.38095305934862e-05,0.00089927846406822,0.000464991765373328,0.000526717680078544,0.00138182385630005,-0.000194009049030255,0.000794222731559934
