"","V","MRK","GS","WMT","CVX","DIS","HD","CAT","T","KO"
"T+1",0.00382117568126142,-2.78550104789244e-05,0.0032179376055247,0.000264448191662291,0.00105432801572802,0.000789845065056063,-0.000242844026264044,-0.000394226691041217,0.000127290444379844,0.00258722350204756
"T+2",0.00329442999539083,0.000503349328071943,0.0033526776513872,0.000205200052389885,0.000602933105755758,0.000708061822924402,0.00257627567753043,0.000166168818414823,0.000203760425052922,0.00100815794932788
"T+3",0.0032012284340396,0.00043432189304233,0.00330505901857381,-2.59458583874624e-06,8.70338581316798e-05,0.000847493011604104,2.9971880891671e-06,-6.8920156132701e-05,7.29549129523162e-05,0.000651847467182879
"T+4",0.00310177471339561,0.000348784067198816,0.00325630592923122,0.000131481069361782,0.000359056519372973,0.000892517467719969,0.0024988715581688,-2.14779661784111e-05,-1.97402605320574e-05,0.000414111608070925
"T+5",0.00300861915779085,0.000310313244321642,0.00320886670765973,5.56371736110327e-05,0.000268308633997077,0.000909440286317056,8.41118016242197e-05,-2.84528808540273e-05,-7.84323362627206e-05,0.000276429244760504
"T+6",0.00292102671541149,0.000298070374191345,0.00316273819692032,9.78238873135941e-05,0.000291600254735781,0.00091569476386281,0.00242062659485055,-2.77018334470071e-05,-0.000115221202092901,0.000195749474309758
"T+7",0.00283867509382797,0.00029521870658541,0.00311788462515617,7.44132597946603e-05,0.00028708474609434,0.0009180104039625,0.000159830458218434,-2.77429410387505e-05,-0.000138258584185356,0.000148521221415742
"T+8",0.00276125043278475,0.000294859211844037,0.00307427076058571,8.74002132460639e-05,0.000287561946268584,0.000918867582203249,0.00234736207821235,-2.77485586670619e-05,-0.000152683369025369,0.000120872284202489
"T+9",0.00268845796902127,0.000294935361312843,0.00303186233904372,8.01960863825313e-05,0.000287655053889474,0.000919184889164512,0.000230720741025097,-2.7746263907688e-05,-0.00016171532173816,0.000104685836152828
"T+10",0.00262002056511225,0.000295008693214057,0.00299062604330734,8.41923357439688e-05,0.000287578306008649,0.000919302348403397,0.00227876910315776,-2.77467238602436e-05,-0.000167370594930446,9.52098378301492e-05
"T+11",0.00255567766460978,0.000295040098599922,0.00295052947700685,8.19755515942824e-05,0.000287607574463287,0.000919345828936176,0.000297090856636767,-2.77466565700695e-05,-0.000170911591348275,8.96623243506785e-05
"T+12",0.00249518429974471,0.000295049767673495,0.00291154113917536,8.32052374531678e-05,0.000287599294610021,0.000919361924363889,0.00221454981187689,-2.77466637676977e-05,-0.000173128753119863,8.64146553535711e-05
"T+13",0.00243831015878866,0.000295051924930706,0.00287363039950078,8.25231109213182e-05,0.000287601108837814,0.000919367882496812,0.000359229024314553,-2.77466633832555e-05,-0.000174517008214618,8.45133794127607e-05
"T+14",0.00238483870920567,0.000295052159052629,0.0028367674742618,8.29014974831315e-05,0.000287600841765234,0.000919370088051616,0.00215442532583323,-2.7746663327017e-05,-0.00017538625115064,8.34003194899447e-05
"T+15",0.00233456637326453,0.000295052081596646,0.00280092340292902,8.26916003695847e-05,0.000287600839477452,0.000919370904493958,0.00041740508513372,-2.77466633494129e-05,-0.000175930519480482,8.27487031910256e-05
"T+16",0.00228730175297298,0.00029505201921972,0.00276607002541271,8.28080336754133e-05,0.000287600859207118,0.000919371206720906,0.00209813454856192,-2.7746663344954e-05,-0.000176271308001842,8.23672288496056e-05
"T+17",0.00224286490138287,0.000295051993683473,0.00273217995993951,8.27434462474254e-05,0.000287600850170298,0.000919371318597916,0.000471871674331931,-2.77466633456032e-05,-0.000176484689545325,8.21439031387491e-05
"T+18",0.00220108663749201,0.000295051986076671,0.0026992265815405,8.27792739328492e-05,0.000287600853003953,0.000919371360012043,0.00204543303185363,-2.77466633455342e-05,-0.00017661829640191,8.20131620437022e-05
"T+19",0.00216180790213439,0.000295051984456511,0.00266718400113396,8.27593997393286e-05,0.000287600852314587,0.000919371375342538,0.000522865318403295,-2.77466633455378e-05,-0.000176701953084842,8.19366225630105e-05
"T+20",0.00212487915240642,0.000295051984312717,0.00263602704518615,8.27704242742217e-05,0.000287600852437907,0.000919371381017512,0.00199609191421426,-2.77466633455383e-05,-0.000176754333933983,8.18918142179185e-05
"T+21",0.00209015979232382,0.000295051984387698,0.00260573123593429,8.27643087873476e-05,0.000287600852428596,0.000919371383118248,0.000570607462237821,-2.77466633455381e-05,-0.000176787131712483,8.18655821639284e-05
