"","INTC","CVX","CSCO","WMT","HD","GS","MCD","VZ","BA","NKE"
"T+1",-0.000903690137038756,0.00220227568681275,0.00397173125082716,0.00332781028897664,0.000617669500257131,0.00555432247831536,-0.00046056959463346,0.00175971831667625,9.16141627387943e-05,-0.0010203059721483
"T+2",-0.000461214029728427,0.00164434873909577,0.00365249765306796,0.00263709798822572,-8.00156608451958e-05,0.00562381892499619,0.000101829132516245,-0.000235545326587455,0.000114534097538654,-0.000904927797875207
"T+3",-0.000429372922052291,0.00159892202048484,0.00349914481521536,0.00197798879320869,-1.79141916888079e-05,0.00568810683095263,0.000148984968332486,0.000702424526134486,0.00012107503985894,-0.000890110690789709
"T+4",-0.000415799740241008,0.00154806012263927,0.00335247368839666,0.00152563977876404,-2.09604499309309e-05,0.00575267635525596,0.000161050011671702,0.000588621540250031,0.000125566273324913,-0.000879204192858512
"T+5",-0.000403266760415683,0.00152442099901392,0.0032140339019801,0.00122082937051294,-1.86400810444655e-05,0.00581771699091943,0.000170043797968539,0.000716722437430122,0.00012976918549849,-0.00086928274499267
"T+6",-0.000391013105845854,0.00151172360689734,0.00308334019242455,0.00101568652291831,-1.69610979295593e-05,0.00588323857597933,0.000178157863301546,0.000727244380158258,0.000133900605108157,-0.000860187908167723
"T+7",-0.000379000803913954,0.00150511503727147,0.00295995944513666,0.000877633039737203,-1.539386802818e-05,0.00594924488385462,0.00018559373198172,0.000750683340908374,0.000137987535864489,-0.000851848750325896
"T+8",-0.000367223703434456,0.00150165284025952,0.0028434824597123,0.00078472870817334,-1.39688726542145e-05,0.00601573950783678,0.000192415905177313,0.000757756675503923,0.000142033649057756,-0.000844202422251061
"T+9",-0.000355677137804476,0.00149984151547349,0.00273352293664495,0.000722207926930766,-1.26700397864042e-05,0.00608272606074834,0.000198675553026803,0.000763219377327332,0.000146039745013862,-0.000837191360815115
"T+10",-0.000344356591648533,0.00149889360619023,0.00262971619173975,0.000680134022260824,-1.14864705176574e-05,0.00615020818190059,0.00020441909346824,0.000765626866634414,0.00015000626777789,-0.000830762787206893
"T+11",-0.000333257640606248,0.00149839757294432,0.0025317179466836,0.000651820021443472,-1.04079127491494e-05,0.00621818953752037,0.000209689081817983,0.00076707308986152,0.000153933614194924,-0.000824868307601376
"T+12",-0.000322375947037681,0.00149813799944869,0.00243920318723462,0.000632765867842006,-9.42505137430209e-06,0.00628667382095714,0.000214524562367168,0.000767798306663801,0.00015782217192884,-0.000819463548795206
"T+13",-0.000311707258215506,0.00149800216537037,0.00235186508530231,0.000619943209122473,-8.52939544126186e-06,0.00635566475288382,0.000218961360068347,0.000768201220143864,0.000161672324168086,-0.000814507824166768
"T+14",-0.00030124740465803,0.00149793108374013,0.00226941398134255,0.000611314089190067,-7.71320756703935e-06,0.00642516608149896,0.000223032346114975,0.000768412214116439,0.000165484450237064,-0.000809963827390286
"T+15",-0.00029099229849949,0.0014978938869069,0.00219157642369273,0.000605507047730373,-6.96943685938347e-06,0.00649518158273038,0.000226767681487069,0.000768526505803538,0.000169258925703995,-0.000805797351596575
"T+16",-0.00028093793189244,0.0014978744218998,0.00211809426166072,0.00060159914857278,-6.29165802567096e-06,0.00656571506044034,0.000230195040407542,0.000768587223664327,0.00017299612242659,-0.000801977031866283
"T+17",-0.000271080375441424,0.00149786423591174,0.00204872378936005,0.000598969293778061,-5.67401586430751e-06,0.00663677034663212,0.000233339815374069,0.000768619841637505,0.000176696408589745,-0.000798474109117112
"T+18",-0.000261415776667311,0.00149785890561042,0.00198323493745171,0.000597199510075258,-5.1111746829097e-06,0.00670835130165831,0.000236225305286148,0.000768637252465968,0.000180360148741945,-0.000795262213607592
"T+19",-0.000251940358501693,0.00149785611627748,0.00192141051011205,0.000596008518709119,-4.59827220426735e-06,0.00678046181443045,0.000238872888061172,0.000768646580180635,0.000183987703831198,-0.000792317166427628
"T+20",-0.000242650417810743,0.00149785465662673,0.00186304546469595,0.000595207030690006,-4.13087756206271e-06,0.00685310580263036,0.000241302179018408,0.000768651566919985,0.000187579431240595,-0.000789616797481469
"T+21",-0.000233542323947981,0.00149785389279526,0.00180794623170657,0.000594667662342725,-3.70495302346455e-06,0.00692628721292298,0.000243531176204286,0.000768654236129537,0.000191135684823521,-0.00078714077859288
