"","JNJ","CVX","WMT","PG","KO","HPQ","MCD","DIS","MRK","T"
"T+1",-0.000890252331785973,-0.00339207364309977,0.000732617019431641,-0.00107115703627791,0.000274862225225003,-8.29430867202139e-05,0.000855392632640143,3.79219120704155e-05,-0.00117699568665269,0.000128826392757268
"T+2",0.000417059192563985,0.00336099196112962,0.00102349290227685,0.000293476547829798,0.000243563119509044,-0.000630104310239189,0.000254586524828623,0.00303360420075064,0.00150527858999146,0.00217754822217926
"T+3",-0.000674291906899117,-0.00241374010871102,0.000916078884991054,-0.000927308132952573,0.000255944409973448,-0.000732392241819614,0.000441210301348103,0.000629545833513653,-0.000871860019840895,0.000308411065097621
"T+4",0.000325768381299976,0.00233722902309276,0.000879481349894754,0.000173325655193543,0.000267484781682289,-0.000808549238447303,0.000391546387240945,0.00217497638142387,0.00124553477853984,0.00148060501208429
"T+5",-0.00059461856396523,-0.00159113869294389,0.000857022866816889,-0.000818885371821525,0.000278616572950642,-0.000848283499738418,0.000402341620190063,0.00115079546164306,-0.00064054694791215,0.000698906597816631
"T+6",0.000252604737148444,0.00165490834317593,0.00084465906684955,7.55846533422876e-05,0.000289350614303328,-0.000870281897244258,0.000400818972397376,0.00182646834051649,0.00103949154048513,0.00121427538598899
"T+7",-0.000527277446865739,-0.00102756410282287,0.000837740796890266,-0.000730772655535286,0.000299701151766299,-0.000882325952695241,0.000400690527681425,0.00138041602759316,-0.000457012712146435,0.000873788280788599
"T+8",0.000190616461874974,0.00118915548552553,0.000833879440467752,-3.84822943512219e-06,0.000309681886778578,-0.000888933606594871,0.000400900031134516,0.00167485306112505,0.000876007330917447,0.00109865127140423
"T+9",-0.000470216268017835,-0.000642681833800264,0.000831723417860841,-0.000659164570518848,0.000319306031589663,-0.00089255734347985,0.000400794835629157,0.00148049374632974,-0.000311388182383205,0.000950137922844059
"T+10",0.000138090742107334,0.000871098852358462,0.000830519657083317,-6.84023241664301e-05,0.000328586326400668,-0.000894544795079535,0.000400834525409219,0.00160879099955688,0.000746291416916677,0.00104822402582836
"T+11",-0.000421865509816248,-0.000379848489614557,0.000829847561278218,-0.000600969589524406,0.000337535056232744,-0.000895634805926992,0.000400821918636762,0.00152410151411485,-0.000195842962272193,0.000983442603607653
"T+12",9.35831022328352e-05,0.000653900494851425,0.000829472310551445,-0.000120864616869001,0.00034616406718965,-0.000896232619983655,0.000400825354635772,0.00158000535018084,0.000643368826474744,0.0010262277765978
"T+13",-0.000380895521321495,-0.00020036165313103,0.00082926279705795,-0.000553675267770557,0.00035448478213933,-0.000896560489645103,0.000400824580167412,0.00154310302527098,-0.000104164054108788,0.000997970120204908
"T+14",5.5869577948138e-05,0.000505577436917258,0.00082914581952994,-0.000163500055675262,0.000362508215835218,-0.000896740308976101,0.000400824700902509,0.00156746238373746,0.000561705295019267,0.00101663301385936
"T+15",-0.000346179623996929,-7.77914973602021e-05,0.000829080507544988,-0.000515239773301192,0.000370244989497293,-0.000896838930456255,0.000400824703705804,0.00155138268289379,-3.14217788856439e-05,0.00100430702349354
"T+16",2.39130437894137e-05,0.000404288781628727,0.000829044041948156,-0.000198149335158874,0.000377705344872181,-0.000896893019170305,0.00040082469120983,0.00156199695172078,0.000496909681722473,0.00101244777815032
"T+17",-0.000316763127402009,5.91070262128134e-06,0.000829023682135888,-0.000484003735224712,0.000384899157790923,-0.00089692268399567,0.000400824697924175,0.00155499043438396,2.62952981459505e-05,0.00100707118086112
"T+18",-3.16530793737204e-06,0.000335119551750131,0.000829012314655535,-0.000226308364415942,0.000391835951242353,-0.000896938953597924,0.000400824695311555,0.0015596154618815,0.00044549785287208,0.00101062217823526
"T+19",-0.000291837075114527,6.3070279825417e-05,0.000829005967857839,-0.000458618603897911,0.000398524907979388,-0.000896947876622222,0.000400824696160447,0.00155656246446143,7.20906897645383e-05,0.00100827690637037
"T+20",-2.61101344507112e-05,0.000287884426075173,0.00082900242425453,-0.000249192849765066,0.000404974882674933,-0.000896952770433476,0.000400824695923652,0.00155857775912766,0.000404705336044821,0.00100982585150908
"T+21",-0.00027071599835294,0.000102104107692284,0.000829000445756867,-0.000437988430157531,0.000411194413643464,-0.00089695545443251,0.000400824695978829,0.00155724745581164,0.000108426866185111,0.00100880284386607
