"","JNJ","PFE","HD","WMT","CSCO","BA","VZ","CVX","UNH","MRK"
"1",0.000943856290448662,0.00104879806648389,0.00123606632676907,0.000339442319510795,0.00113048564748671,0.00212780064661217,-0.000992876771083543,0.000382082247311628,0.000732156539792292,-0.000789208541877016
"2",0.000466458788326153,-0.00133450446554112,0.00132011713628293,0.00107746830168648,0.00105881683944504,0.00261697139977446,-0.000231717490427753,0.000406108907875512,0.00226023670191,-5.21243104589249e-05
"3",0.000638354483135722,0.00126090714888966,0.00131097285629141,0.000596019888475996,0.00102043555393766,0.00251255199248501,-0.000236498056673548,0.000401900509606312,0.00114516980539992,0.000337694019925073
"4",0.000484491243280123,-0.000571124700731681,0.00129779179654014,0.000378197529281669,0.00103281203533464,0.00254878221383614,-0.000154038301321307,0.0003982275696179,0.00205613686544961,0.00011030822957547
"5",0.000615849524618706,0.000666815352645203,0.00128469581918726,0.000368609682538999,0.00102814458429933,0.00253676167482482,-0.00017961355880245,0.000395433380082384,0.00131048671838791,0.00019438375662992
"6",0.00050352733542263,-0.000164950389187631,0.00127186995714038,0.000389641648940675,0.00102988170438643,0.00254076323392669,-0.00016306328090268,0.000393315402983841,0.00192083932836467,0.000168228588184002
"7",0.00059956692188796,0.00039348493916843,0.00125931710245799,0.000396685581032287,0.00102923451409451,0.00253943148020654,-0.000170816160482284,0.000391710155873364,0.00142123439773899,0.000175575132531992
"8",0.000517449406579209,1.85978156677858e-05,0.00124703183554473,0.000396399585181891,0.00102947561469594,0.0025398747080284,-0.000166698038695541,0.000390493518199116,0.00183018667313714,0.000173662063493558
"9",0.000587663014811192,0.000270262471163579,0.00123500847039004,0.000395549475551392,0.00102938579585729,0.00253972719530913,-0.000168774985597752,0.000389571412750493,0.0014954382482875,0.000174128504256559
"10",0.000527627701115639,0.000101318331326924,0.00122324142451686,0.000395338248846747,0.00102941925665973,0.00253977628971095,-0.000167705354020144,0.000388872537091486,0.00176944701332112,0.000174021995655033
"11",0.000578960184675711,0.000214731616550627,0.0012117252336391,0.000395370765866767,0.00102940679128651,0.00253975995037234,-0.000168251544917673,0.000388342850180462,0.00154515677700716,0.000174044562475464
"12",0.000535068952894793,0.000138596552899911,0.00120045454992281,0.000395403085506746,0.00102941143509412,0.00253976538834442,-0.000167971675602351,0.000387941393612196,0.00172874984600844,0.000174040236018014
"13",0.000572597630520369,0.000189706507786866,0.0011894241395397,0.000395408754432706,0.00102940970510587,0.00253976357850737,-0.000168114880008573,0.000387637124481036,0.00157846949703183,0.000174040938277996
"14",0.0005405091794294,0.000155396068394922,0.00117862888023846,0.000395406844740457,0.00102941034958979,0.00253976418084775,-0.00016804156294251,0.000387406514966845,0.00170148167505895,0.000174040863591241
"15",0.000567946029288341,0.0001784288856568,0.00116806375896614,0.000395405681615345,0.00102941010949595,0.00253976398038002,-0.000168079090750923,0.000387231733030101,0.00160078989435693,0.000174040857190899
"16",0.000544486475941625,0.000162966808212874,0.00115772386954022,0.000395405558282524,0.00102941019893969,0.00253976404709863,-0.000168059880095851,0.000387099263537162,0.00168321128436524,0.000174040864631685
"17",0.000564545289036309,0.000173346599628027,0.00114760441037034,0.000395405650017342,0.00102941016561863,0.00253976402489369,-0.000168069713741527,0.000386998863193244,0.00161574514677646,0.000174040861503965
"18",0.000547394238595539,0.000166378579307809,0.0011377006822285,0.00039540568963456,0.00102941017803194,0.00253976403228382,-0.000168064679967966,0.000386922768472602,0.00167096964275607,0.000174040862537292
"19",0.000562059041035909,0.000171056255885402,0.0011280080860669,0.000395405690923439,0.00102941017340753,0.00253976402982428,-0.000168067256704756,0.000386865095298552,0.0016257655586748,0.000174040862235562
"20",0.000549520075486378,0.000167916101701139,0.00111852212088225,0.000395405686968436,0.00102941017513029,0.00253976403064285,-0.000168065937696382,0.000386821384053185,0.00166276742136959,0.000174040862316556
"21",0.000560241369393448,0.000170024107275569,0.00110923838162557,0.000395405685699935,0.0010294101744885,0.00253976403037042,-0.000168066612884196,0.000386788254734346,0.00163247949781775,0.000174040862296257
