"","JNJ","HPQ","CVX","WMT","PG","KO","MCD","DIS","MRK","AA"
"T+1",-0.00209237688183045,-0.00643182210374566,0.00314389122956317,0.000741825999459086,-0.00203962724798663,0.000509617766500058,0.000566481087777078,-0.0017865244836768,0.00172225985626993,-0.000691047300801308
"T+2",0.000560968870080636,-0.00262125055669385,-0.00361818709337635,6.61033576922324e-06,-0.000556163069256985,-0.000155041494759398,0.00161277341219284,-0.00110539208479959,-0.00367923601324838,-0.00571705010979881
"T+3",0.000693345507402708,0.00197504470826331,0.0062380649541891,0.00012254916522744,0.000120891073310074,0.000983765170750755,0.000129512772811164,0.000288278002984989,0.00285519973029139,0.00470880599782979
"T+4",0.0004954077661246,-0.00109278729126466,-0.00244999848679023,0.000146496520981714,-2.77154787803713e-05,-2.67012408880083e-05,0.00147457250069213,-0.00074226684870944,-0.00263643938474333,-0.00389856217001228
"T+5",0.000332856912348821,0.00225586638087746,0.00557605356194622,0.000171190058214775,0.000166848182265187,0.000903345084209501,0.000302190451471883,0.000121738912189167,0.0022480123721412,0.00377460100462044
"T+6",0.00023366176014045,-0.00104412886861207,-0.00179905356925813,0.000189603297716843,3.12865413470067e-05,4.96160606155837e-05,0.00131943637835905,-0.000595229268828027,-0.00205316363020289,-0.00300368692682278
"T+7",0.000177799361011666,0.0022672098404904,0.00498192640994943,0.000203837635634884,0.000140440335018139,0.000833442303380483,0.000437268404320442,1.99497257692964e-07,0.00174094580126381,0.0029903801943403
"T+8",0.000147196052547903,-0.0010445472007763,-0.00125237506145598,0.000214791624403128,5.59581142891114e-05,0.00011380534443577,0.00120224711886698,-0.00049426226798091,-0.00160487039972909,-0.00230955392919468
"T+9",0.000130600515807793,0.00226961928127827,0.00447936322532928,0.000223225986416849,0.000122028805346839,0.000774510293719402,0.000538894874738353,-8.36445131863491e-05,0.00134577439926582,0.00237669585563022
"T+10",0.000121635804719954,-0.00104659562691355,-0.000790320439947766,0.000229719828319496,7.04998130218329e-05,0.000167911379401313,0.00111412109726973,-0.000424635240225947,-0.0012563488224083,-0.00176692195751514
"T+11",0.000116800331729865,0.00227173502956244,0.00405455682177544,0.000234719655294153,0.000110717096764,0.000724835079157627,0.000615313448637582,-0.000141465119122961,0.0010384227754754,0.00189689721274218
"T+12",0.000114193609090172,-0.00104870069564019,-0.00039975902147595,0.00023856918582037,7.93344630681376e-05,0.000213518622912265,0.0010478546951552,-0.000376619071834639,-0.000985299702238088,-0.00134268018725553
"T+13",0.000112788675735835,0.00227384362431443,0.0036954798426818,0.000241533065840347,0.000103824443250008,0.000682962675210549,0.000672776385539613,-0.000181339353513973,0.000799388963049352,0.0015217793477657
"T+14",0.00011203152898435,-0.00105081023049941,-6.9628412441402e-05,0.000243815054401141,8.47135256435199e-05,0.000251962038430649,0.00099802568708737,-0.000343506172090156,-0.000774499572058418,-0.00101099805258506
"T+15",0.00011162350064669,0.00227595457119672,0.00339196214264725,0.000245572032337959,9.96269103781726e-05,0.000647667443569478,0.000715985629202843,-0.000208837414508452,0.000613487684567987,0.00122850342457384
"T+16",0.000111403615867688,-0.00105292250447129,0.000209421732353621,0.000246924787352905,8.79891211918637e-05,0.000284366895278071,0.000960556774698882,-0.000320670861250692,-0.000610556192179787,-0.000751681200211171
"T+17",0.000111285121441812,0.00227806818873098,0.0031354071433851,0.00024796631786514,9.7070773286037e-05,0.000617916264770588,0.000748476811101237,-0.000227800621450182,0.000468908626473885,0.000999213446757839
"T+18",0.000111221265712311,-0.00105503746357466,0.000445294993393896,0.000248768226411718,8.99838259408878e-05,0.000311681709353357,0.000932382033724098,-0.000304923179073604,-0.000483054221294573,-0.000548941218425165
"T+19",0.000111186854378167,0.00228018449077359,0.0029185483979552,0.000249385642137443,9.55141879338089e-05,0.000592838298179387,0.00077290854865632,-0.000240878024165483,0.000356466667086829,0.000819949177965621
"T+20",0.000111168310394695,-0.00105715510931481,0.000644672045553282,0.00024986101078141,9.11985210976425e-05,0.000334706006960362,0.000911196043034967,-0.000294063265858758,-0.000383893446420421,-0.000390434357654457
"T+21",0.000111158317196373,0.00228230348108162,0.00273524378255237,0.000250227012712122,9.45662898419215e-05,0.000571699491794584,0.000791279988692788,-0.000249896459829011,0.000269018357512524,0.000679796178817164
