"","PG","HPQ","JNJ","PFE","AXP","MRK","BA","AA","KO","HD"
"1",-0.00116164852326488,0.00515434505941858,0.00621544869558617,0.00322274292968271,-0.00382162712813064,0.00221414175937868,0.00197224090365279,0.00793262766610772,0.00241156943839184,0.00366169652492638
"2",-0.00332321459118411,0.000228327876698209,-0.00311140430033711,-0.00673921987845083,0.0023391475896613,-0.00130133786455185,0.000290468329124177,-0.000307780491694181,-0.0056612291132364,-0.00407431294445454
"3",-7.44761169780586e-05,-0.000241114968027268,-0.000381512635073595,-0.00233937638517755,0.000747010097066089,-0.00166493801935695,0.000101575694022844,-0.00169219082802128,0.00365252058052732,-0.00184552322106289
"4",5.82269541720828e-05,-0.000142885440600665,0.000796527080184753,-0.00072474060420742,7.53201649079452e-05,-0.00172889144170394,-7.25695774499808e-06,-0.0018952118064431,-0.0027595513448554,-0.00114925198056747
"5",-0.000180010606781033,-4.86797662502778e-05,0.000552073649192833,-0.0011603131901569,-0.000479288142606498,-0.00176029384023952,-0.000107102015163845,-0.00191193748465213,0.0013038940770851,-0.00130019166240434
"6",-0.00018785750768243,-2.87046156945825e-07,0.000408373267862287,-0.00140036120544821,-0.000895616405450813,-0.00178477827268592,-0.000201770695889257,-0.00190671912350024,-0.00122355077045419,-0.00136101621135376
"7",-0.000170401567782913,2.12255041086055e-05,0.000428323881229346,-0.00136349744818897,-0.00121140288406418,-0.0018053294151304,-0.000291690633698778,-0.00190241082427944,0.000341485184764404,-0.00135130142423782
"8",-0.000169963624724711,3.02903841661458e-05,0.000445351940749109,-0.00132998544111149,-0.00145064692913541,-0.00182272734053802,-0.000377108031144103,-0.00190026459572777,-0.000626556056219136,-0.00134611672677742
"9",-0.000171241581839893,3.40243575095351e-05,0.000443992730282078,-0.00133207588956851,-0.00163192539220539,-0.00183746982560558,-0.000458248743764876,-0.0018993221156497,-2.79406272273421e-05,-0.00134669487163059
"10",-0.000171263674767148,3.55468750703272e-05,0.000442025961117458,-0.00133651595157677,-0.00176928049747431,-0.00184996347500679,-0.000535326917037488,-0.00189892709671117,-0.000398087201485149,-0.00134712754232022
"11",-0.000171170192062799,3.6164786469988e-05,0.000442077618567387,-0.00133659553075085,-0.00187335494926387,-0.00186055145062401,-0.000608545954495507,-0.0018987647170664,-0.000169215200743622,-0.00134709774121672
"12",-0.000171169301939692,3.64150224773236e-05,0.000442299437282833,-0.0013360350740051,-0.00195221251659791,-0.00186952443891974,-0.000678099074692167,-0.00189869853114284,-0.000310732624073532,-0.00134706231862726
"13",-0.000171176134594935,3.65162584958031e-05,0.000442304938845433,-0.00133598119590497,-0.00201196316578961,-0.0018771287754912,-0.000744169822099218,-0.00189867165534163,-0.000223228857572311,-0.00134706336794691
"14",-0.00017117614674274,3.65571954468795e-05,0.00044228049635391,-0.00133604852135167,-0.00205723643747333,-0.00188357322116262,-0.000806932551515127,-0.00189866076048984,-0.000277334614990074,-0.00134706621638842
"15",-0.00017117564775288,3.65737455279508e-05,0.000442278642582745,-0.00133606064969042,-0.00209154015060836,-0.0018890346943223,-0.000866552888174352,-0.00189865634733288,-0.000243879679997416,-0.00134706623885169
"16",-0.000171175650725227,3.65804357405656e-05,0.000442281272611134,-0.00133605300339524,-0.00211753219163062,-0.00189366312795342,-0.000923188164817665,-0.00189865456032077,-0.00026456569777599,-0.00134706601376387
"17",-0.000171175687136682,3.65831400645836e-05,0.000442281612705897,-0.00133605085901596,-0.0021372264502039,-0.00189758558573207,-0.0009769878368792,-0.00189865383682194,-0.000251775018906595,-0.00134706600363053
"18",-0.000171175686638035,3.65842331842417e-05,0.000442281336850894,-0.00133605166759252,-0.0021521488574292,-0.00190090975028785,-0.00102809387688599,-0.00189865354392319,-0.000259683813511526,-0.00134706602110715
"19",-0.000171175683983258,3.65846750314171e-05,0.000442281284945776,-0.00133605200434767,-0.00216345561653208,-0.00190372687939859,-0.00107664114911077,-0.00189865342535087,-0.000254793609267559,-0.00134706602255932
"20",-0.0001711756840402,3.65848536284781e-05,0.000442281313055328,-0.00133605192742334,-0.00217202278665955,-0.00190611431127612,-0.00112275776546677,-0.00189865337735069,-0.000257817344076859,-0.00134706602122706
"21",-0.000171175684233602,3.65849258182258e-05,0.000442281320266911,-0.00133605187844388,-0.0021785141608301,-0.00190813758772024,-0.00116656542358356,-0.0018986533579195,-0.000255947693702206,-0.00134706602106245
