"","CVX","IBM","DIS","PG","BA","KO","HD","MRK","T","GS"
"1",-0.00274539846426322,-0.000825040187892494,0.000736167113690962,0.00366517047685307,-0.00289642888416576,-0.00205138509753947,-0.00255994985681228,0.0055107003920484,-0.000208708747496886,0.000172184363569113
"2",-0.00140297103194833,-0.000297489864913482,-0.000197177616200764,-0.00099031132024665,-0.00200911114181005,0.00135899262391731,0.000100405643397956,-0.000315123575387664,0.000332962473583142,-0.000114477626890086
"3",-0.000695111971580781,-0.000382192972320687,0.000665442667408633,0.00142009584532027,-0.00186831290772443,0.00015117871357371,0.000388979245908425,0.0024684294290047,0.000424799715294533,0.000830606675108966
"4",-0.000267579182690707,-0.000386569208371119,0.000900857197156056,0.000544038360843738,-0.00177477077446111,0.000719238372003154,0.000450805306866841,5.25073107173594e-05,0.000413836284661565,0.000795522800017728
"5",-2.41243913336797e-05,-0.000386036350020476,0.00101654531271033,0.000909730219328301,-0.00168731265573948,0.00045731425688822,0.00048959885551973,0.0023749126269628,0.000403958337262998,0.000839136296562122
"6",0.000118015892432713,-0.000386001651096371,0.00106471874037815,0.000765645288290307,-0.00160339372014175,0.000578231393394976,0.00052476610428356,0.000116612958627158,0.000401756661240417,0.00083652766851818
"7",0.000200120565764443,-0.000386004935544886,0.0010855915783323,0.00082376646400114,-0.0015227410820879,0.000522414299946142,0.000558212397700089,0.00231523912625719,0.000401797341508344,0.000838563477247486
"8",0.000247763854579279,-0.00038600520178698,0.00109454557782621,0.000800547150799862,-0.00144521998773881,0.000548180396666583,0.000590178822893718,0.000174437897089372,0.000401967012282081,0.000838397745669063
"9",0.000275356159283804,-0.000386005182036781,0.00109839620338872,0.000809860058379404,-0.00137070839953419,0.000536286342276619,0.000620745832843552,0.0022589627121403,0.000402015382882532,0.000838493802254313
"10",0.000291349390795607,-0.000386005180045413,0.00110005112172626,0.000806130864044193,-0.0012990894568587,0.000541776833674925,0.000649976113108315,0.000229232119018015,0.000402017873495554,0.000838484051406471
"11",0.000300616191331719,-0.000386005180160488,0.00110076248076953,0.000807625152127086,-0.00123025086156943,0.000539242332421413,0.000677928255430012,0.00220560910946371,0.00040201516867597,0.000838488628856667
"12",0.000305986379080693,-0.000386005180175075,0.00110106824342861,0.000807026554678537,-0.00116408467660703,0.000540412299941349,0.000704658161133093,0.00028118323682514,0.000402014173187365,0.000838488080284158
"13",0.000309098245186846,-0.000386005180174432,0.00110119967030841,0.000807266373966976,-0.0011004871552682,0.00053987222366567,0.000730219275007579,0.00215502358362717,0.000402014065668731,0.000838488300379011
"14",0.000310901530272822,-0.000386005180174327,0.00110125616178303,0.000807170298307196,-0.00103935857844666,0.00054012153176917,0.000754662703759301,0.000330439069454568,0.000402014104331842,0.000838488270392267
"15",0.00031194649764281,-0.000386005180174331,0.00110128044363928,0.000807208788566532,-0.000980603098271245,0.000540006447042679,0.000778037319292676,0.00210706249156106,0.000402014123702183,0.000838488281059392
"16",0.000312552038244371,-0.000386005180174331,0.00110129088076205,0.000807193368546524,-0.000924128587818931,0.000540059572047785,0.000800389856529093,0.000377139454581595,0.000402014126792701,0.000838488279452121
"17",0.000312902937839139,-0.000386005180174331,0.00110129536697325,0.00080719954615551,-0.000869846496662382,0.0005400350486705,0.000821765006858061,0.00206158967438369,0.000402014126342131,0.000838488279972715
"18",0.000313106277861445,-0.000386005180174331,0.00110129729529116,0.000807197071268768,-0.000817671712025412,0.000540046369065336,0.000842205507493568,0.000421416971703471,0.000402014125985048,0.000838488279887762
"19",0.000313224109711241,-0.000386005180174331,0.00110129812414425,0.000807198062763645,-0.000767522425328562,0.000540041143384641,0.000861752226922435,0.00201847603761841,0.000402014125909336,0.000838488279913322
"20",0.000313292391139614,-0.000386005180174331,0.00110129848041197,0.00080719766554875,-0.000719320003915581,0.000540043555644913,0.000880444246616276,0.000463397321911741,0.000402014125911978,0.000838488279908877
"21",0.000313331958991029,-0.000386005180174331,0.0011012986335473,0.000807197824681884,-0.000672988867759649,0.000540042442105844,0.000898318939170512,0.00197759918435726,0.000402014125918189,0.000838488279910138
