"","JNJ","IBM","HPQ","PFE","AXP","MCD","KO","HD","CAT","DIS"
"T+1",5.48752889403495e-05,0.00132585063189714,-0.00185612162620002,0.0023163823064809,-6.0211298639575e-05,-0.00125594813432243,0.000898702488435871,0.000560552757975802,-0.003299959469769,6.59662282146664e-05
"T+2",0.00142566438066369,0.0014527044752908,0.00388639159029694,0.00206522213798571,-0.000463198171252383,-0.000750195761798706,0.00131614373378319,0.0044754217869588,0.00300532479228699,0.00263512288966959
"T+3",0.000318930232820543,0.00099795067080035,0.00146444412549174,-0.000692810035370432,-0.0024176402804063,0.000226792706969581,0.000675964933201491,0.00162469119491721,-0.00413810312551837,3.29248512855044e-05
"T+4",0.000551714597598161,0.000733155494815326,0.00117401053053897,-0.000226318673600987,-0.00255937347271113,0.000201969320669242,0.000529892339751882,0.00156212835379981,-0.00223133826055808,-0.00026509482059333
"T+5",0.000649449086608441,0.000597884344095464,0.00161672258244932,9.64913721232424e-05,-0.0024194309312193,4.06694395457632e-05,0.000569623565174611,0.00209832997157051,-0.00217171697255797,0.000204685119807172
"T+6",0.000565468081211533,0.000529943083913979,0.00155325016934463,-2.08063210073394e-05,-0.0023959718794472,3.51688027031256e-05,0.000590627050089649,0.00198675442897394,-0.00239166136097538,0.000229642745308319
"T+7",0.000584258476048564,0.000495900328605984,0.00150077713480239,-4.88035037900207e-05,-0.00240481267046097,6.12302532176821e-05,0.000590111799848976,0.00191419913817286,-0.00231894539678158,0.000146483537004248
"T+8",0.000591187797768374,0.000478848611264937,0.00152332949569785,-2.76083482752884e-05,-0.00240742648891464,6.36749944039539e-05,0.000587941014760181,0.00195127121265081,-0.00232213595960724,0.000146901630368007
"T+9",0.000584823813241545,0.000470307969853876,0.00152588049881672,-2.69004367960173e-05,-0.00240696826298356,5.95564455057979e-05,0.000587637507715913,0.00195604702932582,-0.00232856292655071,0.000161345434688357
"T+10",0.000586333208001063,0.000466030274546428,0.00152179556002357,-3.00512068445399e-05,-0.00240672371002585,5.89123629821787e-05,0.000587803573419666,0.00194816493510816,-0.00232592445907882,0.000160445916092584
"T+11",0.0005868213469768,0.000463887735337407,0.00152240100626293,-2.96609897098249e-05,-0.00240673779532868,5.95479483638478e-05,0.000587860859645013,0.00194909918462488,-0.0023262020046547,0.000157984525068281
"T+12",0.000586339747797687,0.000462814616920498,0.00152288035070558,-2.92699398200983e-05,-0.00240675812535189,5.96909920630935e-05,0.000587853722073613,0.00195032770154382,-0.00232637715260202,0.000158281912938349
"T+13",0.000586460468689871,0.000462277131721277,0.00152267039998714,-2.9386947208575e-05,-0.00240675882768884,5.95954941686721e-05,0.000587846864719559,0.00194987480481205,-0.00232628540233891,0.000158693113963487
"T+14",0.000586494600288581,0.000462007925328018,0.00152264805652928,-2.94247781805111e-05,-0.00240675730361088,5.95664322888205e-05,0.000587846453348153,0.00194975383019496,-0.00232630008774199,0.00015861783787687
"T+15",0.000586458204795613,0.000461873089834415,0.00152268574222457,-2.94020898422698e-05,-0.00240675711376485,5.95803323321156e-05,0.000587847067377648,0.00194986449310814,-0.00232630437195735,0.000158550607509877
"T+16",0.000586467822318243,0.000461805555738682,0.00152267997384103,-2.9400204400502e-05,-0.00240675721586383,5.95859106194565e-05,0.000587847208574574,0.00194986124747441,-0.00232630130544006,0.000158567552114273
"T+17",0.000586470187971802,0.000461771730415953,0.00152267559626335,-2.94037531410592e-05,-0.00240675723972381,5.95839673416485e-05,0.0005878471706445,0.00194984173451397,-0.00232630195970911,0.000158578278679942
"T+18",0.000586467441281292,0.000461754788566872,0.00152267755034365,-2.94034697176671e-05,-0.00240675723387141,5.95829395793236e-05,0.000587847150419688,0.00194984680577821,-0.00232630204424708,0.000158574716718175
"T+19",0.00058646820477032,0.000461746303023288,0.00152267774543054,-2.94030049139692e-05,-0.00240675723149109,5.9583196561909e-05,0.000587847150883233,0.00194984921419747,-0.00232630194578313,0.000158573054440163
"T+20",0.000586468367012471,0.000461742052929359,0.00152267739781904,-2.94031181138648e-05,-0.00240675723173683,5.95833799300136e-05,0.000587847152968212,0.00194984773326886,-0.0023263019723128,0.000158573769288046
"T+21",0.000586468160014832,0.000461739924215008,0.00152267745271642,-2.94031671185124e-05,-0.00240675723194434,5.9583348759214e-05,0.000587847153262836,0.00194984763218006,-0.00232630197304594,0.000158574017566398
