"","JNJ","CAT","CVX","PG","WMT","KO","AA","MCD","DIS","MRK"
"T+1",-0.000459416670235315,0.00212804786673806,0.00197546904591117,-0.00136120715315025,0.000746673459308632,0.000893047904954888,0.000408280570714015,0.000913893196124519,0.00116168575333866,-0.000716210250556324
"T+2",0.00133472779412484,0.00222086111557437,0.00248400634510195,-0.000582060613478713,0.000729841737215665,0.00156406519654653,0.000620026048782089,0.00130074860526241,9.84752156791318e-05,-0.00046747245984465
"T+3",-3.59941946709403e-05,0.00142218837591613,0.00235396384348014,-0.000359352063268622,0.000573459755610742,0.00146262349469873,0.000744343244950131,0.000624251953889565,0.000654961497424001,0.000169180877347903
"T+4",0.000969181915539279,0.00183284860800139,0.00220904526202742,-0.000242258977774712,0.000468644614877865,0.00134036027347229,0.000809968648827824,0.00119891456858895,0.000429424203204977,7.04633853152523e-06
"T+5",0.000232544171870425,0.00167437041179431,0.00208317485978019,-0.00016856637806579,0.000401873867377099,0.00124165921259632,0.000844634509202418,0.00073707685660607,0.000521656343667985,7.02545439293122e-05
"T+6",0.000772379430792839,0.00172834306324821,0.00197548355076005,-0.000120691206300334,0.00035946331376422,0.00116413766848799,0.000862946268438822,0.00110589660103521,0.000483951914411482,4.83076143953959e-05
"T+7",0.000376768344799163,0.0017112677872703,0.00188344201047932,-8.94343035573249e-05,0.000332530238409946,0.0011033938034974,0.000872619201186651,0.000811580924199086,0.000499365671049348,5.61443869981041e-05
"T+8",0.000666686664045203,0.00171640087100037,0.00180478175559753,-6.90117830728256e-05,0.000315426405419908,0.00105580621870436,0.000877728793701395,0.00104642194702589,0.000493064454760156,5.33655633754842e-05
"T+9",0.0004542238822714,0.00171491743150166,0.00173755771727284,-5.56666602782851e-05,0.000304564633468047,0.00101852610959833,0.000880427865053113,0.000859039055506734,0.000495640421703766,5.43526116930079e-05
"T+10",0.00060992440425436,0.00171533222265974,0.00168010723333652,-4.69461202333047e-05,0.000297666876358744,0.00098932092118677,0.000881853612045784,0.00100855426144172,0.000494587354266555,5.40021596491617e-05
"T+11",0.00049582134891747,0.00171521961881476,0.00163100934954405,-4.12475574460879e-05,0.000293286462808737,0.000966441618110582,0.000882606743112813,0.000889254184019405,0.00049501785320215,5.41266011607548e-05
"T+12",0.000579440254438148,0.00171524934017167,0.00158904969971171,-3.75237478260626e-05,0.000290504685694446,0.000948518004822534,0.000883004574149484,0.00098444522583532,0.000494841863206638,5.4082414578461e-05
"T+13",0.000518161252400632,0.0017152417142716,0.00155319047161794,-3.50903695424411e-05,0.000288738121002508,0.000934476671836976,0.000883214722874809,0.000908491088850112,0.000494913808746939,5.40981044147681e-05
"T+14",0.000563068753489429,0.00171524361274053,0.00152254473828585,-3.35002426212416e-05,0.000287616265913986,0.000923476711682447,0.000883325731023207,0.000969095855996979,0.000494884397070701,5.40925332538658e-05
"T+15",0.000530158888984689,0.00171524315602247,0.00149635452111202,-3.2461150735647e-05,0.000286903832995233,0.000914859358648747,0.00088338436953739,0.000920738545301291,0.00049489642070268,5.4094511467394e-05
"T+16",0.000554276445193813,0.00171524326141429,0.00147397204234479,-3.1782140819806e-05,0.000286451403203796,0.000908108536621742,0.000883415344518914,0.000959323455495635,0.000494891505385212,5.40938090413762e-05
"T+17",0.000536602215103426,0.0017152432384009,0.00145484370322332,-3.13384317771147e-05,0.000286164088130627,0.000902819952312609,0.000883431706623134,0.000928536067336812,0.000494893514790178,5.40940584595082e-05
"T+18",0.000549554539401099,0.00171524324302891,0.00143849639150013,-3.10484835599033e-05,0.000285981628989269,0.000898676882937808,0.000883440349677669,0.00095310171398126,0.00049489269333595,5.40939698958693e-05
"T+19",0.000540062600920376,0.0017152432422258,0.00142452577968285,-3.08590126215735e-05,0.000285865758499434,0.000895431208322247,0.000883444915251307,0.000933500473630934,0.000494893029150313,5.40940013431345e-05
"T+20",0.000547018641708979,0.00171524324232066,0.00141258632456913,-3.07352000428418e-05,0.000285792175064181,0.000892888551476052,0.000883447326952235,0.000949140551371695,0.000494892891867818,5.40939901768082e-05
"T+21",0.000541920999794108,0.00171524324232745,0.00140238272072722,-3.06542928874369e-05,0.000285745445979394,0.000890896637743694,0.000883448600899789,0.00093666113540795,0.000494892947989549,5.40939941417585e-05
