"","HD","JNJ","WMT","PG","CSCO","VZ","GS","MRK","NKE","KO"
"T+1",0.000765540975740522,0.00309147744148617,-0.00206850567285318,0.0033023447591219,-0.00164313879770061,0.000902725307642384,-0.00815204525833321,0.00606499576859468,-0.000419586079640448,0.00297347257456836
"T+2",-0.000100169881926584,-0.00154774754820786,0.00207052746382032,9.3470260963817e-05,0.0032240690157727,0.00566518660289726,0.0042757196409578,-0.000441971319819434,-0.000383647921792863,0.000494192490855838
"T+3",2.42147695516656e-05,0.000677995275802064,-0.00110146167823407,0.00181908865621534,0.00108275456654379,0.00562381649501326,-0.00215718252787515,0.00181093247934079,-0.000331894208707147,0.0011450919417981
"T+4",7.91093627283111e-05,0.00014955837259313,0.00144730213417099,0.000227689664571226,0.000108333303194796,0.00506785457217535,0.00015868481943815,0.000432000337390015,-0.000292017600888376,0.000699643569585481
"T+5",0.000111386745119223,0.00040258170371544,-0.0005997070355861,0.00179682430672213,0.000110865967704311,0.00450701175187196,-0.000608046251944406,0.00106180953217912,-0.00026126061722151,0.00106631691443173
"T+6",0.000130075483236865,0.000342389885646438,0.00104433165287855,0.000240584550133148,0.000211182633331738,0.00399673335257005,-0.000360562569302088,0.00073082040175651,-0.000237537689793699,0.0007591467231986
"T+7",0.00014090417998526,0.000371153789577487,-0.000276064524731759,0.00178479132264524,0.000233230364072714,0.00353839596994111,-0.000439787467664751,0.000893020425770759,-0.000219240144926913,0.00101685341976413
"T+8",0.000147178367672583,0.000364297669285403,0.000784400827380806,0.000252461774863525,0.00022786340619014,0.00312741647572316,-0.000414495499910951,0.00081076699662161,-0.000205127209279866,0.000800618061086889
"T+9",0.000150813661558562,0.000367567586494601,-6.73032157658783e-05,0.00177301065249063,0.00022441290675981,0.0027589861630489,-0.000422562335412006,0.00085177923382753,-0.000194241871709838,0.000982057746345995
"T+10",0.000152919967789662,0.000366786649372443,0.000616735895617972,0.000264151442986202,0.000224195059777527,0.00242871004260764,-0.00041999022718552,0.000831159420964453,-0.000185845987467408,0.000829814428466363
"T+11",0.00015414037144738,0.000367158379143813,6.7355497969417e-05,0.00176141088790718,0.000224499852686719,0.00213263813788007,-0.000420810257717799,0.000841484079828972,-0.000179370223922292,0.000957559521960887
"T+12",0.000154847479020592,0.000367069428232084,0.000508585854973255,0.00027566202826602,0.000224589929672459,0.0018672283227412,-0.000420548827621825,0.000836303918792417,-0.000174375453594191,0.000850370521873573
"T+13",0.000155257180447605,0.000367111687268105,0.000154215315407196,0.0017499887935981,0.000224578757451386,0.00162930515748144,-0.000420632171944052,0.000838900362958218,-0.000170522976514589,0.000940311211033703
"T+14",0.000155494563365926,0.000367101555588141,0.000438825105551911,0.00028699631212997,0.000224567051766175,0.00141602204294936,-0.000420605601749628,0.000837598313771891,-0.000167551552670463,0.00086484332197452
"T+15",0.000155632104136339,0.000367106359704025,0.00021024308870195,0.00173874164509398,0.000224565592544055,0.00122482718038246,-0.000420614072324108,0.000838251100078206,-0.000165259687078791,0.000928167300612599
"T+16",0.000155711795900428,0.000367105205694826,0.000393826859311627,0.000298156995152361,0.00022456646639764,0.00105343304285043,-0.000420611371907294,0.000837923784799856,-0.000163491966226489,0.000875033095846219
"T+17",0.000155757969680353,0.000367105751841137,0.000246383060819864,0.00172766676282653,0.000224566810096409,0.000899789006680993,-0.000420612232799301,0.000838087895200405,-0.000162128519337187,0.000919617213535532
"T+18",0.000155784722983871,0.00036710562039923,0.000364801337345522,0.000309146736281289,0.000224566797065123,0.00076205681706077,-0.000420611958347222,0.000838005610621488,-0.000161076889823666,0.000882207346221733
"T+19",0.00015580022397275,0.000367105682487016,0.000269694670542641,0.0017167615082907,0.000224566758982267,0.000638588594469603,-0.00042061204584245,0.000838046867335153,-0.000160265765721667,0.000913597407188926
"T+20",0.000155809205318028,0.000367105667515863,0.000346078809340628,0.000319968153737434,0.000224566751847978,0.000527907118833041,-0.000420612017949001,0.000838026181462452,-0.000159640143960026,0.000887258475824669
"T+21",0.000155814409151385,0.000367105674574242,0.000284731515233446,0.00170602328339412,0.000224566754160175,0.000428688155507954,-0.000420612026841423,0.000838036553201197,-0.00015915760055184,0.000909359079774948
