"","JNJ","HD","CSCO","GS","VZ","UNH","PG","IBM","PFE","CAT"
"T+1",-3.1794041764067e-05,0.00150392467952312,0.00504330986132232,-0.00244206249363971,0.00037969399618019,0.0111148056049907,-0.00122949955289738,-0.00126773802507787,0.00216370801880041,0.00473628102347
"T+2",0.000201850135218028,-0.00119920153128311,-0.00121872716984307,0.000506745286041618,0.000448231076939212,0.0137217179983036,0.0012096612889098,-0.000635380762729191,0.00149920405800361,0.000181815011071674
"T+3",0.000520034390794328,0.0020557884607263,0.000817126766535387,0.000647877672147636,0.000363128645622208,0.0128687357885651,-0.0009683781468096,-0.000268254529139443,0.00133795157553716,0.00225023151806542
"T+4",0.000369540205513381,0.00150061831685495,0.00179424559922729,0.000265758697708859,0.000293464841678561,0.0117164583389823,0.000837786957818458,-0.00043662042261912,0.00127740848896727,0.00247611863638821
"T+5",0.000408369720452718,0.00121374799112982,0.00167646741327477,0.000408103890487023,0.00024119566138074,0.0106395913927864,-0.000665934946267831,-0.000411399392079088,0.00123796089481979,0.00217917877076074
"T+6",0.000403512811592574,0.00137102900336578,0.00154837843196092,0.000391266820092309,0.00020217352455029,0.00967214225709744,0.00058571428735842,-0.000406207510985973,0.00120382370824878,0.0022003914523745
"T+7",0.000402610647734732,0.00136554248096415,0.00154646452660635,0.00038259026499866,0.000173049903722986,0.00880756277109147,-0.000456130417406783,-0.000409876479350727,0.00117182964682629,0.00223407314320554
"T+8",0.000403353881755002,0.00134562114973854,0.00156113909210571,0.000388023275405284,0.000151314297110892,0.00803547249132534,0.000411077133423926,-0.00040910466948216,0.0011413073001196,0.00222579651159581
"T+9",0.000403111614692445,0.00135202753376588,0.00156315156984235,0.000386731846973047,0.000135092547888702,0.00734604574069722,-0.000310766496816953,-0.000409063150926005,0.00111208045090226,0.00222295515431845
"T+10",0.000403156689278422,0.00135292888857406,0.00156168907384396,0.00038666868145218,0.000122985909460647,0.00673044058695847,0.000290079546283672,-0.000409137599395188,0.00108407256322076,0.00222446649104531
"T+11",0.000403156150211959,0.00135179802985696,0.00156127647883992,0.000386836590617995,0.000113950466277024,0.00618075348333986,-0.000210050886992526,-0.000409116887878993,0.00105722853455917,0.00222457056453093
"T+12",0.00040315297379175,0.00135199606741794,0.00156139637500255,0.00038677416812576,0.000107207121789641,0.00568992615349212,0.00020624618803973,-0.00040911767327899,0.00103149915829136,0.00222436376866853
"T+13",0.000403154340832029,0.00135209426788831,0.00156145901864159,0.000386781514450683,0.000102174419580051,0.00525165598564168,-0.000140269926856969,-0.000409119058833824,0.00100683798379075,0.00222438521495709
"T+14",0.000403154009710479,0.00135203933632773,0.00156145270427024,0.000386785334745499,9.84184062875698e-05,0.00486031522809089,0.000148162121035263,-0.000409118550095649,0.000983200629794577,0.00222440755864265
"T+15",0.000403154044812531,0.00135204152445705,0.00156144464321252,0.000386782949949504,9.56152132382352e-05,0.00451087873970597,-9.19220847919549e-05,-0.00040911860444797,0.000960544585394804,0.00222440114378636
"T+16",0.000403154055142968,0.00135204840491185,0.0015614443949944,0.000386783515525006,9.35231303141497e-05,0.00419885946482211,0.000107918488781278,-0.000409118627180613,0.000938829110036073,0.00222439941306008
"T+17",0.000403154048180398,0.00135204615222714,0.0015614453029298,0.000386783543784645,9.19617640849173e-05,0.00392025081594349,-5.84242104749147e-05,-0.00040911861555296,0.000918015155601006,0.00222440050579254
"T+18",0.000403154050308142,0.00135204585228622,0.00156144544255192,0.000386783470003123,9.07964830753927e-05,0.00367147522584981,8.00356282909926e-05,-0.000409118617502205,0.000898065295275149,0.00222440054047336
"T+19",0.000403154049945096,0.00135204624510291,0.00156144535390781,0.000386783497377065,8.99268089363368e-05,0.00344933820865547,-3.52151584090271e-05,-0.000409118617793905,0.000878943656065764,0.00222440039772113
"T+20",0.000403154049936123,0.00135204617451577,0.00156144532684639,0.000386783494171848,8.92777525268007e-05,0.00325098733994919,6.07169469101944e-05,-0.000409118617545657,0.000860615854260599,0.00222440041718361
"T+21",0.000403154049967267,0.00135204614091488,0.00156144533386305,0.000386783492489794,8.87933478471155e-05,0.00307387562928768,-1.91347321497684e-05,-0.000409118617602594,0.000843048933593465,0.00222440043183067
