"","HD","JNJ","WMT","PG","CSCO","VZ","KO","MRK","NKE","GS"
"T+1",-0.00235173725804955,0.000233255234908843,-0.00188848614471734,0.000383024236093438,-0.00118424331761063,-0.000813084728232025,0.000183324108413811,0.000922158703040765,-0.00661911313779198,-0.00273578230187298
"T+2",-0.000277275493965779,-7.43049103900885e-05,-0.00150765997404921,-0.000461723509194307,-0.000193212945053199,-0.00189327585752163,0.00155882859167013,0.00110827890157294,-0.00362007238335736,-0.00417480809396444
"T+3",-0.000726526227452835,-4.59491454185301e-05,-0.00106170807735319,0.000130574986597023,0.000222475549677437,-0.000593372699020751,0.00165601874511431,0.000666644701989765,-0.00252105922794964,-0.00428419315710897
"T+4",-0.000791201551564558,-3.78082357673508e-05,-0.000733608844788218,-0.000248748846328684,0.000430975883003033,-0.00150694203385197,0.00163636548988944,0.001007277395352,-0.00222370262518808,-0.00420285004787552
"T+5",-0.000764887403110173,-2.88559614079435e-05,-0.000521146534000097,-5.01095150911368e-06,0.000541776218136374,-0.000818363343628775,0.0016067457685883,0.000717270786790449,-0.00217671325827758,-0.00409685839080162
"T+6",-0.000763806309102266,-2.03180041605559e-05,-0.000390427694082254,-0.000161606990044433,0.00060160527009817,-0.00133166582759173,0.00157697461383831,0.000960939465952714,-0.00218368155487529,-0.00399034804137892
"T+7",-0.000765141900062958,-1.21078156397247e-05,-0.000311851449269707,-6.09971182850118e-05,0.000634047624894002,-0.00094837324337189,0.00154793428951395,0.000755856915510616,-0.00219324809463568,-0.00388673931163969
"T+8",-0.000765091904239792,-4.2168187748879e-06,-0.000265143157009534,-0.000125636968138096,0.000651658821317766,-0.00123450996414889,0.00151968548776914,0.000928425759129391,-0.00219806354620847,-0.00378643392171609
"T+9",-0.000765032084419506,3.36763203086728e-06,-0.000237530518736319,-8.41071446172916e-05,0.000661221706268247,-0.00102089368223937,0.00149221384988473,0.000783211793517477,-0.00219978237534345,-0.00368939631048901
"T+10",-0.000765039011640192,1.06574314103978e-05,-0.000221251411275022,-0.00011078923384124,0.000666414738759598,-0.00118036860272359,0.00146549865886192,0.000905406611979106,-0.00220023288396287,-0.00359553018969881
"T+11",-0.000765041334671562,1.76640272195109e-05,-0.000211667218020742,-9.36465198827888e-05,0.000669234818921131,-0.00106131272100236,0.00143951914661335,0.000802581923812246,-0.0022002978170525,-0.00350473338904023
"T+12",-0.00076504082817464,2.43984216688975e-05,-0.000206028508866752,-0.000104660374135154,0.000670766273143028,-0.00115019378655778,0.00141425505975477,0.000889106998954723,-0.00220028357930246,-0.00341690576159625
"T+13",-0.000765040756009213,3.08711895943707e-05,-0.000202712221380034,-9.75841908781535e-05,0.00067159793568883,-0.00108383970239471,0.00138968669737579,0.00081629774641913,-0.00220026764922049,-0.00333195024314271
"T+14",-0.000765040785619382,3.70924950036068e-05,-0.000200762160628638,-0.000102130498495753,0.000672049573622553,-0.00113337628751534,0.00136579490060671,0.00087756538751211,-0.00220025993714314,-0.00324977291556517
"T+15",-0.00076504078680679,4.30721070398631e-05,-0.000199615577632445,-9.9209585878998e-05,0.000672294837572226,-0.00109639479198709,0.0013425610381318,0.000826009799247292,-0.002200257255263,-0.00317028292793908
"T+16",-0.000765040785306119,4.88194153219891e-05,-0.000198941448088976,-0.000101086214394343,0.000672428029232764,-0.00112400329604646,0.00131996699170192,0.000869392874454191,-0.00220025657544293,-0.00309339239972415
"T+17",-0.000765040785363595,5.43434446886962e-05,-0.000198545104914711,-9.98805177348795e-05,0.000672500359546956,-0.00110339219080265,0.00129799514200945,0.000832886818025466,-0.0022002564877176,-0.00301901632413784
"T+18",-0.00076504078543071,5.96528693700106e-05,-0.000198312084249358,-0.000100655153962963,0.000672539638840703,-0.00111877939390706,0.00127662835494867,0.000863605990182376,-0.00220025651523612,-0.00294707247425301
"T+19",-0.000765040785422872,6.4756026608176e-05,-0.000198175086010476,-0.000100157465526033,0.000672560969633125,-0.00110729209050553,0.0012558499682543,0.000837756374246775,-0.00220025654162942,-0.00287748131210274
"T+20",-0.000765040785420271,6.96609297493943e-05,-0.000198094541811975,-0.000100477220491363,0.000672572553413331,-0.00111586792709801,0.00123564377850792,0.000859508348570984,-0.00220025655394971,-0.00281016590074826
"T+21",-0.000765040785420842,7.437528082696e-05,-0.000198047188222516,-0.000100271784258037,0.000672578844035883,-0.00110946564357766,0.00121599402850218,0.000841204463972474,-0.00220025655812418,-0.0027450518192211
