"","PG","CAT","WMT","CVX","MCD","T","KO","HD","MRK","DIS"
"T+1",0.00113158041821031,-0.00114498970583118,0.00159445456218768,0.000110584835015929,-0.000253135326194786,0.000707753829608808,0.0021460304954462,0.000332743911321034,0.0013771862781094,0.00151191433445396
"T+2",0.000161247322152235,-0.0006254855047154,0.00121736172557069,0.000266577292985144,-0.000267888953227628,0.00169402503095309,0.000505790488983219,0.00440788294268668,0.00138133641289353,0.00123326121879228
"T+3",0.000544672070495436,-0.000322138578027335,0.000953517667295299,0.000265862130565996,-0.000225168798733022,0.000373595275317611,0.0008475829514126,0.000275134424165711,0.000915389250602099,0.00142123094421929
"T+4",0.000473756776950408,-0.000522830390817585,0.000936462501129642,0.000272168643149617,-0.000252295631806431,0.00165469062093437,0.000649255121056597,0.00406285890326537,0.00109095697159097,0.00130666590572564
"T+5",0.000480009379248471,-0.000347090487456585,0.000931412841581166,0.000270437701363574,-0.000235238997248751,0.000381945488079317,0.000679920516321337,0.000572705606489501,0.0010451678805995,0.00137663434899842
"T+6",0.000480706816218368,-0.000496668716749082,0.000930924263797369,0.000271152252956546,-0.00024596241516417,0.00164387496083127,0.000655045548933269,0.0037877117161414,0.00105473989168714,0.00133390427710955
"T+7",0.000480308026811386,-0.000369030610962263,0.000930820957254466,0.000270891470123948,-0.000239220668584195,0.000392461236480551,0.000657202836744289,0.000826112968243448,0.00105313741054989,0.00135999976551884
"T+8",0.000480392275383546,-0.000477921260837652,0.000930808659814602,0.000270989891472286,-0.000243459162912815,0.0016334296373008,0.00065394126268277,0.00355427549920514,0.00105332209045967,0.0013440631084483
"T+9",0.000480382938335099,-0.000385022459941551,0.000930806451781691,0.000270953095101131,-0.000240794447774693,0.00040281795212922,0.000653966224365157,0.00104114938016359,0.00105332270424613,0.00135379571182797
"T+10",0.000480382625371188,-0.000464277845005833,0.000930806158368593,0.000270966888199413,-0.00024246973768115,0.00162315923775834,0.000653516937377252,0.00335618845906297,0.00105331437405253,0.00134785195786966
"T+11",0.0004803830241032,-0.000396662147945292,0.000930806109918969,0.000270961721658733,-0.000241416493290962,0.000413002627571338,0.000653482704034891,0.00122362300719742,0.00105331748918616,0.00135148184082479
"T+12",0.000480382926932402,-0.000454347596209868,0.000930806103092142,0.000270963657308975,-0.000242078661517003,0.00161305956036819,0.000653417653984926,0.0031880975803931,0.00105331667949493,0.00134926505150943
"T+13",0.000480382939761827,-0.000405134009852393,0.000930806102013073,0.000270962932156951,-0.000241662360453676,0.000423018015405043,0.000653407459668267,0.00137846479966968,0.00105331684829433,0.00135061885683303
"T+14",0.000480382939566299,-0.000447119937927862,0.000930806101856214,0.00027096320382476,-0.000241924086354303,0.00160312775855788,0.000653397602022299,0.00304546056828455,0.00105331682013221,0.00134979208053926
"T+15",0.000480382939187396,-0.000411300192063874,0.000930806101831983,0.000270963102048764,-0.00024175954090128,0.000432866928774899,0.000653395364298119,0.00150985902404805,0.00105331682335235,0.00135029699733049
"T+16",0.000480382939296322,-0.00044185934015399,0.000930806101828402,0.00027096314017756,-0.000241862989608671,0.0015933610418609,0.000653393812354632,0.00292442296419583,0.00105331682337273,0.00134998864189265
"T+17",0.00048038293927965,-0.000415788202308967,0.000930806101827856,0.000270963125893204,-0.000241797952046926,0.000442552134792701,0.000653393372485157,0.00162135632670993,0.00105331682322383,0.00135017695624008
"T+18",0.000480382939280488,-0.000438030452862871,0.000930806101827774,0.000270963131244615,-0.000241838840759259,0.00158375666625365,0.000653393120808261,0.00282171398714302,0.0010533168232791,0.00135006195164118
"T+19",0.000480382939280823,-0.000419054767465347,0.000930806101827762,0.000270963129239792,-0.000241813134279013,0.000452076354580649,0.000653393038821553,0.00171596968250764,0.00105331682326478,0.00135013218557687
"T+20",0.000480382939280704,-0.000435243625487297,0.00093080610182776,0.000270963129990868,-0.00024182929578396,0.00157431193332373,0.000653392997113737,0.00273455814787591,0.00105331682326776,0.00135008929332934
"T+21",0.000480382939280725,-0.000421432312822456,0.00093080610182776,0.000270963129709489,-0.000241819135145878,0.000461442264030833,0.000653392982268695,0.00179625581393497,0.00105331682326726,0.00135011548785881
