"","XOM","CSCO","JNJ","GS","UNH","VZ","PG","IBM","PFE","CAT"
"T+1",0.00628090883901019,0.000532897877445265,0.000516779113103343,0.000963011946027176,0.00389308345780576,0.000203103077767129,0.000528027880335368,0.000173672004109583,-0.000895229097653052,0.00388908383888185
"T+2",-0.00368510682151269,0.00260365055500276,0.00180135770601177,0.000698899602270729,0.00508497106881712,-0.000184421518446356,-0.000771950520138987,0.000675978426005785,0.00161864262933935,0.00237029986749097
"T+3",0.00214372493398202,0.00181684919579902,-0.000104831936017917,5.40476824060967e-05,0.00475669860792796,-8.90082409331637e-06,0.000402981739405155,-0.000583208186973619,0.00117762017543401,0.00203709031798344
"T+4",-0.000307581937852431,0.00148591571076195,0.000456756522164553,0.000337305617500355,0.00435221319777627,0.000115769273577578,-0.000536005209611694,-0.000129863531824154,0.000752300001143338,0.00229687605109493
"T+5",0.000461524103325607,0.00152493215724338,0.000443290174896613,0.00029306157062334,0.00398788356591662,0.000209008256794417,0.000217741752191726,-0.000185461174555378,0.000683791867190583,0.00226740655872232
"T+6",0.000319723771192842,0.00156587912833013,0.000392291395280559,0.00028073695302963,0.00366784083364756,0.000278671735465229,-0.000387207073543772,-0.000208475319359168,0.000715001623365735,0.00224542883317399
"T+7",0.000295167719389748,0.00156732260795347,0.000412075047667224,0.000290281165014683,0.00338737400893654,0.000330721737042131,9.83211373105622e-05,-0.000193724581010998,0.000732056456212361,0.00225449871347888
"T+8",0.000334874132896,0.00156311958756749,0.00040999374108074,0.000287799469643806,0.00314164631541648,0.000369611579909002,-0.000291360727532038,-0.000197325700872455,0.000733190797486984,0.00225464976805155
"T+9",0.000311248559202205,0.00156238572914052,0.000408778303351395,0.000287776701305209,0.00292635976316831,0.000398668637392372,2.13954703264623e-05,-0.000197357966048009,0.000731480146120451,0.00225357598937465
"T+10",0.000321294258332451,0.00156273651010131,0.000409424928895868,0.000288047240560383,0.00273774366876489,0.000420378999976816,-0.00022962067409787,-0.000196985668448703,0.000730857836911769,0.00225383766219191
"T+11",0.000318100573531889,0.00156286369591065,0.000409311989828303,0.000287942479299599,0.00257249403702635,0.000436600182862208,-2.8156705697167e-05,-0.000197131308504497,0.000730884633224482,0.00225389217458316
"T+12",0.000318710697285036,0.00156284349862524,0.000409288506053487,0.000287955465840091,0.00242771614673147,0.00044872005295548,-0.000189850411322441,-0.000197110231317773,0.000730966466673306,0.00225384816820368
"T+13",0.000318797883886973,0.00156282704543402,0.00040930823468795,0.000287961361599341,0.00230087388236173,0.000457775573265907,-6.00760668260979e-05,-0.000197104123784779,0.00073098657080558,0.0022538533805119
"T+14",0.000318639855437497,0.0015628269512951,0.000409303435981691,0.000287957657769549,0.00218974531159363,0.00046454152434141,-0.000164232134153081,-0.000197108669363856,0.00073098253696728,0.00225385704619918
"T+15",0.000318735569013342,0.00156282870703734,0.000409303208778818,0.000287958503562041,0.0020923837633582,0.00046959679365635,-8.06371338999394e-05,-0.000197107461391123,0.00073097899125237,0.00225385549954066
"T+16",0.000318694418308618,0.00156282895889354,0.000409303768341422,0.000287958558852753,0.00200708372746947,0.000473373904599273,-0.000147729951886092,-0.000197107490734247,0.000730978462723848,0.0022538554831471
"T+17",0.000318707671017228,0.00156282880482918,0.000409303588575755,0.000287958447822608,0.00193235097871507,0.000476196022707401,-9.38816809166349e-05,-0.00019710759955895,0.000730978735033887,0.00225385566382271
"T+18",0.000318705053601047,0.00156282875654278,0.000409303597921513,0.000287958485975115,0.0018668764020845,0.000478304605361332,-0.000137099962298087,-0.000197107553117795,0.000730978875586711,0.00225385561876404
"T+19",0.000318704751207992,0.00156282876645633,0.000409303612425343,0.00028795848256325,0.0018095130606257,0.000479880060618025,-0.000102413243264419,-0.00019710756082606,0.000730978883134173,0.00225385560985903
"T+20",0.000318705379440713,0.001562828773012,0.000409303606250207,0.000287958479894184,0.0017592561042213,0.000481057182729513,-0.000130252584368737,-0.000197107562378863,0.000730978868523552,0.00225385561731157
"T+21",0.000318704991869468,0.00156282877284891,0.000409303607040581,0.000287958481310943,0.0017152251673407,0.000481936684993679,-0.000107908905441645,-0.000197107560988692,0.00073097886346371,0.00225385561639159
