"","CVX","WMT","JNJ","PG","CSCO","GS","MRK","NKE","VZ","KO"
"T+1",-0.00202126870954747,-7.09911075277494e-05,0.0072275444191377,0.00429816504741734,-0.00292301395040429,-0.00150986732373607,0.00549788319903643,0.000152114287130203,-0.000521246807895356,-4.21312212870104e-05
"T+2",-0.00267206001988137,0.000150711402208423,-0.00159405161370191,-0.000262011675069201,0.000769811672055164,0.00261962950720336,-0.000722527454930675,-0.000870554576582838,0.000520830272841667,0.000835014600739346
"T+3",-0.00105242561059508,0.000244258926658608,0.0013871353530362,0.00173517892460845,0.00155219185370609,0.00299451255391721,0.00101413931169922,-0.000581505219539431,-0.000962401084001047,0.000923407867374908
"T+4",8.99192823924045e-05,0.000266432504325,-4.82688040699057e-05,0.000847321257555822,0.0011445970187469,0.0027124617259482,-0.000166380691548122,-0.000451859902665065,0.000434489772592144,0.000936479422952911
"T+5",0.000739884608064219,0.000271888652588506,0.000486031913425675,0.00124212337349071,0.000885164654016879,0.00235962074644775,0.000328475185621986,-0.000350292001315341,-0.000851670319979634,0.000940108189055154
"T+6",0.00109315395075689,0.000273227091021454,0.000246809855645719,0.00106656662737583,0.000877906289952443,0.00204010330650454,6.51713747507955e-05,-0.000276341894046792,0.000330705621487562,0.000941586182121465
"T+7",0.00128298436124017,0.000273555503100005,0.000340494986839029,0.00114463149130064,0.000920942086529717,0.00176657345429919,0.000188816790389968,-0.000222083267205655,-0.000756144255735882,0.00094225774240834
"T+8",0.00138469001007107,0.000273636083800325,0.000300093047326308,0.00110991836792344,0.000935198580519962,0.00153524583672336,0.000126936225805666,-0.000182305888840726,0.000242889829313505,0.000942569891950336
"T+9",0.00143913908207066,0.000273655855484669,0.000316342410758825,0.00112535426153863,0.000931999729983361,0.00134014633770083,0.000156901812013984,-0.000153142185237694,-0.000675423369972126,0.000942715616151779
"T+10",0.00146828304677179,0.000273660706763549,0.000309469864887569,0.00111849037870359,0.000928548762578426,0.00117570436463008,0.000142143434394651,-0.0001317603506944,0.000168691074571558,0.000942783702093367
"T+11",0.00148388158723979,0.000273661897097494,0.000312272730882993,0.00112154254327194,0.000928064680805249,0.00103712229250968,0.000149348977807523,-0.000116083901099753,-0.000607219795784255,0.000942815518440031
"T+12",0.00149223018097663,0.000273662189163758,0.000311099220931542,0.00112018533645822,0.00092852015930969,0.000920337250582968,0.000145815164185058,-0.000104590451206082,0.000105998278523182,0.000942830386550652
"T+13",0.00149669846869941,0.000273662260826591,0.000311581316217891,0.00112078884596564,0.000928742043848959,0.000821921604934598,0.000147544251259372,-9.61638370494191e-05,-0.000549592512825645,0.00094283733461173
"T+14",0.00149908995845602,0.00027366227841014,0.00031138053335668,0.00112052048323576,0.000928729620150535,0.000738986131271112,0.000146697205762601,-8.99857245846688e-05,5.30272204422996e-05,0.000942840581534186
"T+15",0.00150036991673185,0.000273662282724528,0.000311463332025323,0.00112063981616077,0.000928687188678875,0.000669095921616383,0.000147111902472821,-8.54561385702915e-05,-0.000500901461467271,0.000942842098865042
"T+16",0.00150105496799665,0.000273662283783127,0.000311428942756273,0.00112058675235791,0.000928676545787078,0.000610199037638773,0.000146908811136708,-8.21351971697608e-05,8.27035568867857e-06,0.000942842807934336
"T+17",0.00150142161684479,0.000273662284042871,0.000311443152331768,0.00112061034825295,0.00092868073011755,0.00056056629381503,0.000147008255847896,-7.97003936908619e-05,-0.000459760905108565,0.000942843139292038
"T+18",0.00150161785234447,0.000273662284106602,0.000311437259039687,0.00112059985586016,0.000928683848610525,0.000518740494525928,0.00014695955816608,-7.79152769827171e-05,-2.95460862542731e-05,0.000942843294139989
"T+19",0.0015017228802792,0.00027366228412224,0.000311439696657476,0.0011206045215152,0.000928684060530005,0.000483493652430658,0.000146983404202012,-7.66064889473317e-05,-0.000424999992573604,0.000942843366502537
"T+20",0.0015017790926724,0.000273662284126077,0.00031143868643348,0.00112060244683716,0.000928683580854628,0.000453790935483167,0.000146971727136327,-7.56469292088828e-05,-6.14983529980899e-05,0.000942843400318538
"T+21",0.00150180917831731,0.000273662284127018,0.000311439104513902,0.00112060336938478,0.000928683399111896,0.000428760284747732,0.000146977445164594,-7.49434120107134e-05,-0.000395629435945058,0.000942843416121215
