"","JNJ","HPQ","PG","CVX","AA","CAT","MRK","KO","HD","AXP"
"T+1",0.000703581161672675,0.00366705234062028,0.00197922511438529,0.00128344208491578,0.000721145137434194,0.00247119154908679,-8.0785761120067e-05,-0.00076380890424712,0.00230613962676348,0.00447495137803691
"T+2",0.000354900924781705,0.00183037125514332,0.00106500437567315,0.0011457973270353,-0.00320362967337192,0.00280444081401659,0.00134602458327271,0.00185417202621761,0.00083808410082692,0.00427179241883203
"T+3",0.000402536209056904,0.000929725603598898,0.00101868416970487,0.00109180132385004,0.00208365751749134,0.00252728205075753,0.000515649510742437,-0.000681062813943584,0.000951177463642367,0.00423953732804914
"T+4",0.000456307920850814,0.00113248562716071,0.000927905414996246,0.00107044493580146,-0.00312272334165441,0.00276917226009545,0.000774410363163127,0.00177313103442435,0.0011001667928786,0.0041981217704428
"T+5",0.000486274051735644,0.00119885647858953,0.000857536038779602,0.00106199787131712,0.00187518940780133,0.00255797591316312,0.000701354988743128,-0.000602616047622975,0.00116951912444828,0.0041581372573598
"T+6",0.000501077423374559,0.00117816847034539,0.000799606579561494,0.00105865681454991,-0.00291075969278817,0.00274237382458556,0.000721502640427549,0.00169719175488327,0.00119582789794948,0.00411894134870925
"T+7",0.000508153335424385,0.00117357218985675,0.000752186633955774,0.00105733533057809,0.00167109825562147,0.00258137392474229,0.000715979459517832,-0.000529104120035195,0.00120501241945297,0.00408055393883991
"T+8",0.000511502157612936,0.00117557142433493,0.000713349461863853,0.00105681264568841,-0.00271526615692055,0.00272194475635159,0.000717491188303035,0.00162602959038927,0.00120808872802706,0.00404295626381641
"T+9",0.000513082187912208,0.00117586066114681,0.000681543138001361,0.00105660590879282,0.00148393582908411,0.0025992107750348,0.00071707758862369,-0.000460216609917785,0.00120909602388247,0.00400613219959415
"T+10",0.000513826956010418,0.0011756754080536,0.000655494725968874,0.0010565241384091,-0.00253608884680618,0.00270637120083165,0.000717190734754664,0.00155934402673449,0.0012094215736187,0.00397006582108946
"T+11",0.000514177906476268,0.00117566025611413,0.000634161877198989,0.00105649179587229,0.00131240381286661,0.00261280822231698,0.000717159782881537,-0.000395662608874989,0.0012095259789712,0.00393474153871615
"T+12",0.00051434326611976,0.00117567682446973,0.000616690929147996,0.00105647900346947,-0.00237187598929893,0.0026944991159789,0.000717168249908434,0.00149685345422907,0.00120955930693931,0.00390014408319577
"T+13",0.000514421177401993,0.0011756772661347,0.00060238275924259,0.00105647394370651,0.00115519781801445,0.0026231738737386,0.000717165933718898,-0.000335169508695713,0.0012095699157652,0.00386625849945533
"T+14",0.000514457885943995,0.0011756758311796,0.000590664807503038,0.00105647194242485,-0.00222137787926174,0.00268544874860644,0.000717166567321612,0.00143829397841402,0.00120957328689159,0.00383307014013344
"T+15",0.000514475181425257,0.00117567586713985,0.000581068164894353,0.00105647115086043,0.00101112137146856,0.00263107585174702,0.000717166393997133,-0.000278481850143397,0.00120957435698552,0.00380056465925059
"T+16",0.000514483330302379,0.00117567598761188,0.000573208809317029,0.00105647083777396,-0.00208344908770955,0.00267854944232683,0.000717166441410714,0.00138341830564855,0.00120957469644289,0.0037687280060079
"T+17",0.000514487169697089,0.00117567597836682,0.000566772238465165,0.00105647071393926,0.000879077918183524,0.00263709971401151,0.000717166428440546,-0.000225360244164854,0.00120957480408295,0.00373754641871348
"T+18",0.000514488978651892,0.00117567596857193,0.000561500884608802,0.00105647066495907,-0.00195703984886087,0.00267328994012313,0.000717166431988586,0.00133199469880185,0.00120957483820655,0.00370700641883385
"T+19",0.000514489830952224,0.00117567596986243,0.000557183807687175,0.00105647064558601,0.000758062485242608,0.00264169184481002,0.000717166431018006,-0.000175580360962671,0.00120957484902262,0.00367709480516772
"T+20",0.000514490232518835,0.00117567597063115,0.000553648254268627,0.0010564706379234,-0.00184118807138591,0.00266928049883879,0.000717166431283512,0.0012838059986391,0.00120957485245063,0.00364779864813961
"T+21",0.000514490421719445,0.00117567597048172,0.000550752744598001,0.00105647063489262,0.000647154033172186,0.00264519253329603,0.000717166431210882,-0.000128931982662061,0.00120957485353704,0.00361910528421095
