"","JNJ","UNH","PG","CVX","CSCO","VZ","NKE","GS","KO","MRK"
"1",0.00110039672230424,0.0023874760763158,0.00071340220566624,0.00227687947541782,0.00130438260214418,0.000820935418349413,0.00063954025240405,-0.000104952661525588,0.000847570449390701,0.000322756894208139
"2",0.000169350820703129,0.0028120773169165,0.000292014477308411,0.00283831094468446,0.00155067701312885,0.000530072982225504,0.000493212083001878,0.00464536447330667,0.000324136637091165,-0.000401163294503086
"3",0.00071657913124286,0.00275165757925483,0.000272295433582214,0.00280888639031757,0.00162504631558237,0.000465761363360573,0.00213801110020287,0.00150917323195541,0.00103347384432883,0.000111847039854007
"4",0.000543663322203728,0.00266215115364173,0.000250527726521296,0.00276167826049272,0.00166310796923458,0.000421098056821499,0.000866474177476503,0.00376216853141887,0.000331176439262951,-0.000149699006362935
"5",0.000623185708910416,0.00257598992363385,0.000241193032520004,0.00271517754096834,0.00168372395009878,0.000380850645666666,0.00196445387151039,0.00217469071805162,0.00100676542086275,-6.2507917611489e-06
"6",0.000594358459887434,0.00249516000783218,0.000236750891166514,0.00266994649890409,0.0016949393500184,0.000343691680890163,0.00102751057151491,0.00329809327460726,0.000358928359722389,-8.35352221965144e-05
"7",0.000606464510825631,0.00241947923622022,0.000234670769964717,0.002625968747858,0.00170104267573464,0.000309317898345294,0.00182800715366543,0.0025038742446637,0.000979932391906088,-4.17191922847948e-05
"8",0.000601829810490378,0.00234863019537813,0.000233694370100755,0.00258321015161878,0.00170436413401786,0.00027751572851872,0.00114417204419193,0.003065491109537,0.000384673796656154,-6.43212412617427e-05
"9",0.000603709370831878,0.00228230517320959,0.000233236217205456,0.00254163693177733,0.001706171690322,0.000248092432186679,0.00172835500991827,0.00266837394680977,0.000955251736887624,-5.210155996585e-05
"10",0.000602974156449045,0.00222021534637633,0.000233021228036682,0.00250121622732031,0.00170715537277357,0.000220870039026276,0.00122930299949951,0.00294917709077972,0.000408331417100689,-5.87076764888725e-05
"11",0.000603268298309862,0.00216209027972363,0.000232920344751322,0.00246191608761013,0.00170769069838021,0.000195683916612735,0.00165562995114998,0.00275062054984579,0.000932574992083794,-5.51362743218752e-05
"12",0.000603152266657496,0.00210767680286188,0.000232873005391664,0.00242370544774222,0.0017079820256321,0.000172381749088307,0.00129143010150453,0.00289102040914768,0.000430067928053042,-5.706704103089e-05
"13",0.000603198443237817,0.00205673791137318,0.000232850791458419,0.00238655410400958,0.00170814056758608,0.000150822614154281,0.00160255640998504,0.00279174330685222,0.000911739733430055,-5.60232316333782e-05
"14",0.000603180167517699,0.00200905173479213,0.000232840367598714,0.00235043269002876,0.00170822684702273,0.000130876130693781,0.00133676942542531,0.00286194240367612,0.00045003930236464,-5.65875348391707e-05
"15",0.000603187425612068,0.00196441057024268,0.000232835476215927,0.00231531265352716,0.00170827380078482,0.000112421670268603,0.00156382422354713,0.00281230444034082,0.000892596424588569,-5.62824617828187e-05
"16",0.000603184549301825,0.00192261997776472,0.000232833180940831,0.0022811662337738,0.00170829935329026,9.53476276054456e-05,0.00136985730889382,0.00284740357293725,0.000468388879494949,-5.64473900832393e-05
"17",0.000603185690689856,0.00188349793340757,0.000232832103885937,0.0022479664396358,0.00170831325910963,7.95507456513356e-05,0.00153555811896852,0.00282258488526653,0.000875007668974697,-5.63582267048695e-05
"18",0.000603185238140979,0.00184687403640275,0.000232831598479311,0.00221568702824311,0.00170832082673593,6.49354911158327e-05,0.00139400429517086,0.00284013424367442,0.000485248359244635,-5.64064301242755e-05
"19",0.000603185417666461,0.00181258876696298,0.0002328313613179,0.00218430248424482,0.00170832494508138,5.14134767234946e-05,0.00151492998661863,0.00282772504683816,0.000858847227402251,-5.63803704382779e-05
"20",0.000603185346472378,0.00178049279147454,0.000232831250030212,0.00215378799964045,0.00170832718630849,3.89029266826154e-05,0.00141162636358811,0.00283649962209855,0.00050073874659311,-5.63944588005276e-05
"21",0.000603185374711486,0.00175044631205678,0.000232831197808608,0.00212411945417038,0.00170832840599708,2.73281821375993e-05,0.00149987591919095,0.00283029509717916,0.000843999112075073,-5.63868423637486e-05
