"","XOM","GS","HD","CSCO","VZ","UNH","PG","IBM","PFE","MRK"
"T+1",0.000956928862783576,0.00252616955352287,0.00253749292016805,0.000936813825130355,-0.00135452647804251,0.00123500791952113,0.000806356020567948,-0.000928868341412513,-0.00195543320687661,-0.00176524760647815
"T+2",0.000189597020836368,0.00121128548941822,0.00270656807905315,0.00134114749084937,-0.000933057127420033,0.00249659663438747,-2.16499635796131e-05,-0.000848060368121864,3.42582728102274e-05,0.0018124418988286
"T+3",2.01106639681364e-05,-0.000555916628187475,0.000353452413942056,0.0011017818909807,-0.000709117902411552,0.000522303753895943,7.22436186414847e-05,-0.000845248375827563,0.000375036368401062,-0.00172024888831505
"T+4",0.000194359817494016,0.000393043409397185,0.000884107595563523,0.00127495866345511,-0.000541208642522111,0.00235594260707119,1.27988753541357e-05,-0.000844132323946696,0.000428825582001605,0.0018770435972685
"T+5",4.87322009451159e-05,0.000196535001774247,0.00107407018833815,0.00115004979917345,-0.000413250946888904,0.000674570927018906,6.02288757999499e-05,-0.000843059226819072,0.000433071365100486,-0.00178492723832806
"T+6",0.000169299336595901,0.000163429537426289,0.000958430221049907,0.0012401477917319,-0.000315677479555477,0.00221569197893495,2.2033081744898e-05,-0.000841993237894461,0.00042913509597666,0.0019428956999607
"T+7",6.95278378016223e-05,0.000202962853157646,0.000960212052706267,0.00117515926102553,-0.00024127154212072,0.000803141088654551,5.28025352060121e-05,-0.000840933544216967,0.00042418868557509,-0.00185196343260052
"T+8",0.00015208855302773,0.000189647913342887,0.000975260051393761,0.00122203610075496,-0.000184532257982294,0.00209784741860194,2.80152481222456e-05,-0.000839880092005771,0.000419445661774998,0.0020111373847633
"T+9",8.37698118870498e-05,0.000190539652787434,0.00097148361514025,0.00118822339443752,-0.000141264924876988,0.000911154273744617,4.79834236582666e-05,-0.000838832844139689,0.000415083827382078,-0.00192143228482698
"T+10",0.00014030335911968,0.000191830200466734,0.000970358855236861,0.00121261281819369,-0.000108270816032382,0.00199884542568392,3.18974341544725e-05,-0.000837791764070211,0.000411103386419939,0.00208185547216591
"T+11",9.35220235894073e-05,0.000191145866021868,0.000971128412613053,0.00119502049696469,-8.31106977542817e-05,0.00100189684877704,4.48560070585071e-05,-0.000836756815471752,0.000407476317157713,-0.00199342207198472
"T+12",0.000132233434083904,0.00019128553275177,0.000971097910403513,0.00120771000407722,-6.39244983406016e-05,0.00191567321187802,3.44168225947547e-05,-0.000835727962232833,0.000404172175526829,0.00215513982763091
"T+13",0.000100199861603038,0.000191310311401213,0.00097100215317256,0.00119855694299661,-4.92937941494397e-05,0.00107813027224851,4.28264347546236e-05,-0.000834705168454659,0.000401162372054506,-0.00206802427554663
"T+14",0.000126707543776808,0.00019128166026831,0.000971028747496039,0.00120515913222291,-3.81369464322906e-05,0.001845799697777,3.60518081614276e-05,-0.000833688398449863,0.000398420714816483,0.00223108357771205
"T+15",0.000104772518745014,0.000191291210564114,0.00097103530220008,0.00120039691090744,-2.96291364624296e-05,0.0011421744637658,4.15093208986088e-05,-0.000832677616741256,0.000395923319326189,-0.00214533369673017
"T+16",0.000122923684131384,0.000191290608345656,0.000971030204031375,0.00120383194602688,-2.31413872057998e-05,0.00178709850720609,3.71128505003128e-05,-0.000831672788060596,0.000393648424492969,0.00230978322840547
"T+17",0.000107903650901159,0.000191289666127997,0.000971030526025337,0.00120135422281955,-1.8194063444925e-05,0.00119597840277739,4.0654564994428e-05,-0.000830673877347355,0.000391576207197354,-0.00222544857696658
"T+18",0.000120332681954254,0.000191290159573358,0.000971031132201999,0.00120314142792188,-1.44214126492882e-05,0.0017377832578047,3.78014259029678e-05,-0.000829680849747493,0.000389688610285951,0.00239133878778525
"T+19",0.000110047697190842,0.000191290060340975,0.00097103094660959,0.00120185230003691,-1.15445251210497e-05,0.00124117943950811,4.00998615020947e-05,-0.000828693670612244,0.000387969185350127,-0.00230847072274176
"T+20",0.000118558490279357,0.00019129004182074,0.000971030909169781,0.00120278216013054,-9.35071437670349e-06,0.00169635319821192,3.82482846830234e-05,-0.000827712305496907,0.000386402949417776,0.00247585389308933
"T+21",0.000111515835315668,0.000191290062582431,0.000971030942795848,0.00120211144328095,-7.67779336927161e-06,0.00127915312245895,3.9739880409362e-05,-0.000826736720159646,0.000384976254396412,-0.00239450563496749
