"","VZ","MRK","PG","CVX","BA","GS","DIS","HD","KO","T"
"T+1",-0.00195006069602941,-8.71702537125008e-05,-0.000476376294757441,0.000693021769112156,0.00241113443538487,0.000219294236639114,0.00135604712126154,0.000683302404220166,-0.000347061939142909,0.000952139494022926
"T+2",-0.000966310680589437,0.000499763417144512,-8.54176154967143e-05,0.000196928574985049,0.00229850590952809,0.000772454795188508,0.00153717387991147,0.00077967327599235,0.000384879410970988,-0.000571291207711997
"T+3",-0.000265278429589354,0.000547987312711821,0.000411540497943682,0.000201182562860259,0.00223115915483349,0.000161060632772907,0.00155452308376854,0.000751486162489219,0.000144041504252949,-0.000131047341871977
"T+4",1.55168690894493e-05,0.00062854176567314,0.000514972691905081,0.000165970420468781,0.00219752776014073,0.000621482154872601,0.00154743559320983,0.000759171597118153,0.000154487830483617,-0.000241157016964624
"T+5",0.000109187309899215,0.000696452555888793,0.000511013112125421,0.000146068872325172,0.00218010705400665,0.000268127892080592,0.00154852771089402,0.00075708908294028,0.000125486190871207,-0.000212920583614596
"T+6",0.000137560255214057,0.000756556896392468,0.000503654719755692,0.000131965478168319,0.00217115398613745,0.000539013321030381,0.00154844656780482,0.00075765305630091,0.000116136044200798,-0.000220128726227584
"T+7",0.000145626751831646,0.000809510220232031,0.000502011026959602,0.000122354446694266,0.00216654502075857,0.000331336188161657,0.00154844143224689,0.000757500332695628,0.000108701909593476,-0.000218287140982015
"T+8",0.000147813380601471,0.000856182875611223,0.00050204089396078,0.000115763751374109,0.00216417320734154,0.000490553435011527,0.00154844407366211,0.000757541689941549,0.000104662885324875,-0.000218757572344716
"T+9",0.000148383138620271,0.000897318211746476,0.00050214935488326,0.000111248804390083,0.00216295255923577,0.000368488300724333,0.00154844364038251,0.000757530490487422,0.000102147026044764,-0.000218637397864818
"T+10",0.000148526405002984,0.000933573313793194,0.000502175330123094,0.000108155339654169,0.00216232436573166,0.000462070479282955,0.00154844367593924,0.000757533523275623,0.000100660704202638,-0.000218668097000862
"T+11",0.000148561209134977,0.000965527154908961,0.000502175337937075,0.000106035874953355,0.00216200107154817,0.000390324978807462,0.00154844367729565,0.000757532702003074,9.97649073158273e-05,-0.000218660254755411
"T+12",0.000148569366980594,0.000993690032272538,0.000502173746941771,0.000104583733025449,0.00216183469120191,0.000445329221255628,0.00154844367631914,0.000757532924401921,9.92291082574951e-05,-0.000218662258095311
"T+13",0.000148571204194297,0.00101851170101427,0.00050217333856759,0.000103588805052114,0.00216174906509003,0.000403159793664314,0.00154844367649003,0.00075753286417679,9.89077060698468e-05,-0.000218661746332335
"T+14",0.000148571598372851,0.00104038855796063,0.000502173331441643,0.000102907134917894,0.00216170499840212,0.000435489311247518,0.00154844367647471,0.000757532880485627,9.87151227166678e-05,-0.000218661877064689
"T+15",0.000148571677621165,0.00105966997190666,0.000502173354659313,0.000102440091899773,0.00216168231988788,0.00041070363672302,0.00154844367647444,0.000757532876069229,9.85996791046911e-05,-0.00021866184366847
"T+16",0.000148571692034213,0.00107666386297019,0.000502173361048813,0.00010212009961837,0.00216167064859985,0.000429705765661483,0.0015484436764748,0.00075753287726518,9.85304876947088e-05,-0.000218661852199698
"T+17",0.000148571694192664,0.0010916416200106,0.000502173361263051,0.000101900858443282,0.00216166464207919,0.000415137636646592,0.00154844367647473,0.000757532876941319,9.8489015154605e-05,-0.000218661850020354
"T+18",0.000148571694360042,0.00110484243465173,0.000502173360926124,0.000101750646404895,0.00216166155087877,0.000426306405350446,0.00154844367647474,0.00075753287702902,9.84641575577319e-05,-0.000218661850577078
"T+19",0.000148571694309282,0.00111647712112178,0.000502173360826605,0.000101647729348066,0.00216165996002101,0.000417743782502126,0.00154844367647474,0.00075753287700527,9.84492584099785e-05,-0.00021866185043486
"T+20",0.000148571694274337,0.00112673148291204,0.000502173360821754,0.000101577216220754,0.00216165914130074,0.000424308383487844,0.00154844367647474,0.000757532877011702,9.84403281875484e-05,-0.00021866185047119
"T+21",0.000148571694260446,0.00113576928001953,0.000502173360826613,0.000101528904490158,0.00216165871995391,0.00041927558140546,0.00154844367647474,0.00075753287700996,9.84349756013285e-05,-0.00021866185046191
