"","PFE","HD","XOM","PG","MRK","VZ","WMT","CVX","CAT","GS"
"T+1",-0.0095878550962073,-0.000197101042534869,0.00110617378858173,0.00705812867188699,0.00225697750012965,0.00124424704776053,0.00120878949533466,0.000146799788467729,-0.00092434761002835,-0.00013532034324603
"T+2",0.00238278560880809,0.00104604632486272,-0.00140516931011633,-0.000439502694354698,0.00302785949509567,0.00291979635874493,-0.000234683806405852,0.000890199691992528,0.00198764371203796,-0.000154625076760693
"T+3",-0.00158020369717324,0.00110254285672438,0.000110773486273094,0.00210616113660426,0.00304570748370326,-0.00118446892691046,0.000634006205252024,-2.19294141010728e-05,-0.000986205829019851,0.000124348329866317
"T+4",0.00105954199752007,0.0010891971225527,4.30872247920689e-05,0.00138435012786388,0.00295192672675306,0.00115370347437323,0.000795553430241753,0.00029412387787868,0.00194745147352269,6.55119109704062e-05
"T+5",-6.25671515188215e-05,0.00108069766614646,0.0002398523794789,0.00162530834640938,0.00284651401049102,0.000199780266550436,0.000918516268191298,0.000224672553119154,-0.000945673771144136,9.13773392632691e-05
"T+6",0.000565940468984043,0.00107692606624267,0.000266712512340854,0.0015559372160833,0.00274476488638938,0.000509281415534418,0.000971280367438719,0.000232857812151594,0.00190747160617536,8.31297682978392e-05
"T+7",0.00027044972016053,0.00107533819915118,0.000298810307634646,0.00157877526090363,0.00264874149853508,0.000432309100256669,0.000998305117661882,0.000233864094465972,-0.000906246313314009,8.61074007397779e-05
"T+8",0.000425388062516407,0.001074676128774,0.000308422811784043,0.00157211744387202,0.00255845515196756,0.000442776990472742,0.00101131194508813,0.000232964239370698,0.00186858899358851,8.50857704206706e-05
"T+9",0.000349550771259886,0.0010744005830541,0.000314621241287868,0.00157428442880393,0.00247361503977386,0.000445540872924769,0.00101770521731141,0.000233259337653358,-0.000867901017398412,8.54435320974014e-05
"T+10",0.000388305418572552,0.00107428594481425,0.000317088294737622,0.00157364617080294,0.0023939007604771,0.000442574199983861,0.00102082510456629,0.000233197441322578,0.00183077358920019,8.53192813586606e-05
"T+11",0.000369030693119495,0.00107423825388225,0.000318397651099142,0.00157385197360929,0.00231900389507373,0.000444077888666335,0.00102235135405237,0.000233203914460719,-0.000830608181995659,8.53625780410621e-05
"T+12",0.000378781495343824,0.00107421841412151,0.000318979034857416,0.00157379084236756,0.00224863350926533,0.000443503696640217,0.00102309736617721,0.000233205136994722,0.00179399610143104,8.53475111324763e-05
"T+13",0.000373901164627413,0.00107421016066326,0.000319266707133685,0.00157381040273223,0.00218251607109962,0.000443678435474992,0.00102346211294068,0.000233204256211764,-0.000794338920299616,8.53527571577612e-05
"T+14",0.00037636024680566,0.00107420672717728,0.000319399872200758,0.00157380455205293,0.00212039455170557,0.000443639254873504,0.00102364043053664,0.000233204530514415,0.00175822804266005,8.53509309886316e-05
"T+15",0.000375126387610866,0.00107420529882755,0.000319464074685816,0.00157380641232269,0.00206202745176218,0.000443642518916956,0.00102372760947755,0.000233204475693822,-0.000759065138358139,8.53515667442846e-05
"T+16",0.000375747125234054,0.00107420470462594,0.000319494265301156,0.00157380585271321,0.00200718786667765,0.000443645203008026,0.00102377023051077,0.000233204480635054,0.00172344170716387,8.53513454226513e-05
"T+17",0.000375435359594328,0.00107420445743469,0.000319508680608555,0.00157380602972444,0.00195566260511641,0.000443643150511457,0.00102379106764882,0.000233204482031739,-0.000724759513311722,8.53514224710828e-05
"T+18",0.000375592107603441,0.00107420435460172,0.000319515499463502,0.00157380597622517,0.00190725136030664,0.000443644098175753,0.00102380125477252,0.000233204481175686,0.00168961014965605,8.5351395648463e-05
"T+19",0.000375513350285749,0.00107420431182262,0.000319518743509984,0.00157380599307565,0.00186176593135403,0.000443643758252123,0.00102380623518474,0.000233204481429527,-0.000691395472229369,8.53514049861565e-05
"T+20",0.000375552937845193,0.00107420429402627,0.000319520281446852,0.00157380598796314,0.00181902949160478,0.000443643854798274,0.00102380867007243,0.000233204481381304,0.00165670716441549,8.53514017354511e-05
"T+21",0.000375533044209469,0.00107420428662289,0.000319521012120168,0.00157380598956778,0.00177887590122435,0.000443643835872169,0.00102380986047155,0.000233204481384882,-0.000658947171525367,8.53514028671106e-05
