"","HD","JNJ","CSCO","PG","CVX","VZ","KO","MRK","NKE","MCD"
"T+1",0.00204767249755601,0.000373933427867074,1.22594772332648e-05,0.000354099341744917,0.00557554329781078,0.00129869488457355,0.00193170343070184,-0.00104400834228788,0.00250174814901213,0.00246441844110843
"T+2",0.00219494777668672,0.00105283972613175,0.00163253991284949,0.000764261336461605,-0.00983585920893446,0.000264132760325852,-0.000561681181044486,0.00129793909799858,0.00245991030044918,0.00247308312029735
"T+3",0.00206754523975126,0.000414584914952209,0.000582738344463838,0.000634129811468837,0.00424341443545187,0.000711180713651235,0.00179528786609185,-0.000274345606885098,0.00246403240303636,0.00248101146434699
"T+4",0.00207554719984576,0.000459713121941151,0.000722214260274928,0.000669337785849847,-0.00491659792417948,0.00056995969506258,0.00108242611245492,0.0004966669455946,0.00247037516375182,0.00248114750592776
"T+5",0.00207025398272986,0.000360142320519376,0.000563075649794821,0.000658195345407278,0.00151228734162013,0.000623001836318681,0.00150229244680401,7.55032931232344e-05,0.00247643824656723,0.00248124847380111
"T+6",0.00207066279359189,0.000357257287102728,0.000566335279594916,0.000661217441028945,-0.0029162244381544,0.000604950825744072,0.00134106284645854,0.000296635058069087,0.00248210433327634,0.00248125053208684
"T+7",0.002070441658427,0.00034070165995367,0.00053993705296755,0.000660263341511739,0.000148125840614318,0.000611443230428541,0.00142159722215285,0.000178868862674045,0.00248739209869626,0.00248125181899404
"T+8",0.00207046175854032,0.000338525669033894,0.000537128763297133,0.000660522734076571,-0.00196996192827934,0.000609180097834354,0.00138755015724839,0.000241265037579124,0.00249232638043089,0.00248125184934045
"T+9",0.0020704524720074,0.000335598281254575,0.000532323825703096,0.000660441034062067,-0.000505545537943929,0.000609983019232493,0.00140352072620466,0.000208144253145311,0.00249693078419207,0.00248125186575658
"T+10",0.00207045343499649,0.000334941508669809,0.000531239542346266,0.000660463297365374,-0.00151795762584541,0.000609700979534388,0.00139650463034079,0.00022571347037574,0.00250122736232866,0.00248125186619554
"T+11",0.00207045304311534,0.000334395872307458,0.00053029206612462,0.000660456301116397,-0.000818024061224117,0.000609800608754327,0.00139971602109064,0.00021639146791128,0.00250523669432147,0.00248125186640512
"T+12",0.00207045308840656,0.000334232440638626,0.000529988872250737,0.000660458211871453,-0.0013019230126846,0.000609765526585406,0.00139828356661786,0.000221337171692357,0.00250897798390056,0.00248125186641138
"T+13",0.00207045307179544,0.00033412651556023,0.000529790672568337,0.000660457612739312,-0.000967379248838766,0.000609777902087093,0.0013989329473721,0.000218713190744685,0.00251246915094251,0.00248125186641406
"T+14",0.00207045307389657,0.000334088921237502,0.000529714380000282,0.000660457776724387,-0.00119866618346445,0.000609773540938117,0.00139864154016615,0.000220105348051867,0.00251572691729742,0.00248125186641415
"T+15",0.00207045307318957,0.000334067753668845,0.000529671282528479,0.000660457725415357,-0.00103876588108515,0.000609775078690118,0.00139877314560135,0.000219366733721165,0.00251876688688228,0.00248125186641418
"T+16",0.00207045307328603,0.000334059435194752,0.000529652946800759,0.000660457739488401,-0.00114931300909319,0.000609774536649093,0.00139871394775001,0.000219758607769703,0.00252160362041996,0.00248125186641418
"T+17",0.00207045307325583,0.000334055122185764,0.000529643353376432,0.000660457735094215,-0.00107288621460016,0.000609774727747354,0.00139874064283504,0.000219550697706506,0.00252425070518153,0.00248125186641418
"T+18",0.00207045307326022,0.000334053319739388,0.000529639043889283,0.000660457736301909,-0.00112572390488911,0.000609774660381954,0.00139872862378472,0.000219661005051888,0.00252672082006611,0.00248125186641418
"T+19",0.00207045307325892,0.000334052429868431,0.000529636879412641,0.000660457735925572,-0.00108919454978392,0.000609774684130778,0.0013987340405502,0.000219602481134826,0.00252902579632965,0.00248125186641418
"T+20",0.00207045307325912,0.00033405204391477,0.00052963587802755,0.000660457736029208,-0.00111444913182647,0.000609774675758702,0.00139873160083431,0.000219633531186571,0.00253117667425385,0.00248125186641418
"T+21",0.00207045307325907,0.000334051858865572,0.000529635385978538,0.000660457735996977,-0.00109698936796493,0.00060977467871013,0.00139873270011454,0.000219617057481964,0.00253318375602644,0.00248125186641418
