"","WMT","JNJ","PG","CVX","CAT","KO","AXP","HD","AA","MRK"
"T+1",0.00321753543107946,0.00129414357913515,0.0023489653935724,0.0011326555191005,0.00308974331625768,0.00186102933420637,0.000437210470454846,0.00635279783211527,0.000156492833335237,0.00145158472278693
"T+2",0.000724164433603146,0.00119802538974848,0.00132178801358152,0.0027580315764043,0.00325248331875442,0.000918515629812847,0.000195269257707104,0.0037522885067937,0.0025942222957121,0.00128094335973944
"T+3",-0.000199855828232429,0.000548118631750791,0.00127315398355891,0.00131907963665603,0.0032283377938326,0.000851807700776083,0.000755079943469871,0.00200607726151593,0.000939885458612592,0.00121532411538789
"T+4",0.000568944242316394,0.000358418608803607,0.00118644139545583,0.00232176554662653,0.0032090191066578,0.0008705649405681,0.000895604871949688,0.00175995102636468,0.00197382219181929,0.00115958349864446
"T+5",0.000355038457634241,0.000375793896453517,0.00110963954982287,0.00161617644100924,0.00319108535238798,0.00088755430533207,0.000964845773701297,0.00195404007610658,0.00132688814214345,0.00110663401564887
"T+6",0.000341899476142868,0.000403357970499218,0.00103971131643023,0.00211247574719986,0.00317448692821605,0.000897628469724671,0.000991556505815892,0.00207013958363876,0.00173166800299826,0.00105587049900751
"T+7",0.000378168778848828,0.000409847864143789,0.000976135355932252,0.0017633801654745,0.00315912354791262,0.000903208384040578,0.00100268332814945,0.00208298985098612,0.00147840142230044,0.00100716811728552
"T+8",0.000363753572247821,0.000408629921944209,0.000918330130929016,0.00200893281924997,0.00314490333009339,0.000906254441011845,0.00100720166099326,0.0020687225535297,0.00163686770701881,0.000960440636226148
"T+9",0.000365074645104785,0.000407494135049437,0.000865772052596841,0.0018362119041521,0.00313174121376229,0.000907911873492327,0.00100905178571998,0.00206105746958513,0.00153771698873416,0.000915607785450743
"T+10",0.00036652837837034,0.000407285441206132,0.000817984811965395,0.00195770321770943,0.00311955846744629,0.000908813058264729,0.00100980728989209,0.00206045004828093,0.00159975456949669,0.000872592730769678
"T+11",0.000365688246838509,0.000407353783883528,0.000774535347801332,0.00187224663439513,0.00310828221793844,0.00090930297159815,0.00101011607875338,0.0020614854723119,0.00156093829571218,0.00083132176667324
"T+12",0.000365858960946631,0.000407399328503099,0.000735029908434263,0.0019323565090676,0.0030978450143995,0.000909569294302136,0.00101024224956085,0.00206198783288688,0.00158522523746579,0.00079172417710166
"T+13",0.000365901616019547,0.000407405415434937,0.000699110484120024,0.0018900754244161,0.003088184424889,0.000909714069237796,0.00101029380778293,0.00206201100030105,0.0015700291487578,0.000753732113324279
"T+14",0.000365858229956982,0.000407401969469665,0.000666451562621126,0.00191981579784141,0.00307924266291778,0.000909792769779104,0.00101031487578162,0.00206193668436443,0.00157953718457243,0.000717280477613691
"T+15",0.000365871648928064,0.000407400191941607,0.000636757179321998,0.00189889651871772,0.0030709662417881,0.000909835551856127,0.00101032348478986,0.00206190401585056,0.00157358810472764,0.000682306811698506
"T+16",0.000365871785523458,0.000407400045470673,0.000609758235111751,0.00191361106963463,0.00306330565465367,0.000909858808442413,0.00101032700267368,0.00206190366709297,0.00157731038256605,0.000648751189743472
"T+17",0.000365869818915319,0.000407400208125299,0.000585210057730023,0.00190326090377059,0.0030562150783859,0.000909871450857903,0.00101032844018192,0.00206190894897261,0.00157498139175271,0.000616556115669175
"T+18",0.000365870682301655,0.000407400275551106,0.000562890184476014,0.00191054117579643,0.00304965209947491,0.000909878323348415,0.00101032902758881,0.00206191105562362,0.00157643861725927,0.000585666424635032
"T+19",0.00036587057396935,0.000407400277370504,0.000542596346186991,0.00190542025682117,0.00304357746032577,0.000909882059274182,0.00101032926762006,0.00206191099693251,0.00157552684630475,0.000556029188516772
"T+20",0.00036587050001019,0.00040740027004532,0.000524144634216493,0.0019090222940882,0.00303795482443243,0.000909884090145131,0.00101032936570368,0.0020619106248372,0.00157609733197754,0.000527593625216426
"T+21",0.000365870548590907,0.00040740026756761,0.000507367833800851,0.00190648863313091,0.00303275055902456,0.000909885194138377,0.00101032940578346,0.00206191049023525,0.00157574038498197,0.000500311011649441
