"","V","MCD","PG","CSCO","WMT","HD","GS","BA","VZ","KO"
"T+1",0.00303044808581266,0.000993331497007803,0.000686442175539178,0.00213643089065014,-0.00195842003809174,0.00430307077720664,0.000890819476593364,0.0045287714427074,0.00205563715073474,0.00112613051422402
"T+2",0.00199058972222126,0.00284687550488355,-0.000298730595614317,-0.00071567931547917,0.000946230849970832,0.000991949772288733,0.000481043644326171,-0.00251276994780278,-0.000677638063729954,-0.000149147813025146
"T+3",0.0012462402244154,0.00244496300750029,-8.59335929676413e-05,0.00132086993095798,0.000801511588213136,0.000846686522205802,0.000114184235396921,0.0013818487903811,0.000754896794839797,0.000709983756990885
"T+4",0.00109153333655215,0.00187553015686076,0.000117429075485617,-0.000536726340757145,0.000425486293734737,0.00122821309775666,-2.7044909993361e-05,-0.000699417846574994,9.00255841151735e-05,0.000434973911217461
"T+5",0.00108683197041298,0.00150991812095698,0.000152744371978977,0.00117878574153717,0.000133305945866904,0.00132607141719737,-6.35277778808843e-05,0.000410688612008513,0.000381701468406153,0.000478502389721834
"T+6",0.00109355401135437,0.00132053805225166,0.000135950294092932,-0.000406377505902605,-7.02574911422949e-05,0.00129907414330972,-6.89782329330617e-05,-0.000181356753209606,0.00025750029611608,0.000485333951723509
"T+7",0.00109568353464674,0.00123273702371541,0.000125747238891034,0.00105837629287085,-0.000209392088700173,0.00128125466302496,-6.84767058666524e-05,0.000134392778566575,0.000309504829913519,0.00047785028380274
"T+8",0.00109593139218203,0.00119492590011284,0.000124818266923355,-0.000295115817175834,-0.00030414625269604,0.00128088660270076,-6.77695209794827e-05,-3.40026496359507e-05,0.000287943638580915,0.000480667945071532
"T+9",0.00109589022626737,0.00117955261499521,0.000125928733441443,0.000955566022997325,-0.000368631459687877,0.00128302638324771,-6.74726106438037e-05,5.58059386266464e-05,0.000296830322510264,0.000480091816044119
"T+10",0.00109586579956712,0.00117360996436818,0.000126409652374065,-0.000200114942477405,-0.000412511192359557,0.00128351965597745,-6.73904310456346e-05,7.90925518904682e-06,0.000293180666361521,0.000480082550661998
"T+11",0.00109586108865767,0.00117142310066843,0.000126409505799755,0.000867781345114043,-0.000442368917193425,0.00128335662288889,-6.73763389398953e-05,3.3453496876413e-05,0.000294676262638322,0.000480143734937446
"T+12",0.00109586103701458,0.00117065992224,0.000126343201152852,-0.000118998324297206,-0.000462685343070077,0.00128326116490693,-6.73765966952204e-05,1.98302512454203e-05,0.000294064202802164,0.000480116100617517
"T+13",0.00109586126736988,0.0011704100462489,0.000126322148260719,0.000792826285712177,-0.000476509463002341,0.0012832614834616,-6.7377925897779e-05,2.70957956210874e-05,0.000294314476153469,0.000480122956295549
"T+14",0.00109586133465652,0.00117033510501601,0.000126324592232801,-4.97367961912321e-05,-0.000485915953012647,0.00128327342509871,-6.7378542543071e-05,2.32209381528571e-05,0.000294212190640901,0.000480122484783211
"T+15",0.00109586134155472,0.00117031568698257,0.000126328269519709,0.000728825812443849,-0.00049231650882704,0.00128327588278888,-6.73787251543352e-05,2.52874757201432e-05,0.000294253981096355,0.000480122028171542
"T+16",0.00109586133999224,0.00117031214104238,0.000126329101527494,9.40224810335436e-06,-0.000496671705548879,0.00128327491121283,-6.73787601565326e-05,2.41853506608297e-05,0.000294236910222584,0.000480122287763797
"T+17",0.00109586133919553,0.00117031232877324,0.00012632885932396,0.0006741789265464,-0.000499635157319533,0.00128327440229223,-6.73787613559507e-05,2.4773135594235e-05,0.000294243882622505,0.000480122211702535
"T+18",0.0010958613390533,0.0011703129852347,0.000126328667717377,5.98981966583128e-05,-0.000501651609607615,0.00128327441672773,-6.73787589384148e-05,2.44596583486006e-05,0.000294241035037995,0.000480122221572505
"T+19",0.00109586133905482,0.00117031344687893,0.000126328640189877,0.000627518613180144,-0.00050302368519534,0.00128327448305654,-6.73787576741797e-05,2.46268419185523e-05,0.000294242197961226,0.000480122224474009
"T+20",0.00109586133906264,0.00117031369511346,0.000126328657839408,0.000103014226869481,-0.000503957300847712,0.00128327449513191,-6.73787572734856e-05,2.45376796381921e-05,0.000294241723049204,0.000480122222146043
"T+21",0.00109586133906475,0.00117031381276363,0.00012632866724139,0.000587677644977072,-0.000504592570649282,0.00128327448940586,-6.73787571890837e-05,2.45852316329326e-05,0.000294241916989329,0.000480122222945915
