"","JNJ","IBM","HPQ","PFE","KO","AXP","MCD","HD","DIS","CAT"
"T+1",-0.00390438100017887,-6.44124425709549e-05,-0.00206618052953162,-0.00182537508360224,-0.00351794837523751,-0.0119425916212034,0.00355938136575996,0.000743394888834122,-0.0254157078704369,-0.0105938008007265
"T+2",-0.00247993196534392,0.000746949934348619,0.00225698350603742,-0.00121793199417148,-0.00230653877913542,-0.00595485388600769,0.00346501743557368,0.000918572142131655,-0.00720947569528888,-0.00781694372343829
"T+3",0.00160966952732713,-0.000282915803682363,-5.5757482646039e-06,-0.00181073604842867,-0.000655604810861329,-0.00249769037760299,-0.000695686304322005,0.000605387732613245,0.00703550594872794,0.00048822783751176
"T+4",-8.55890601386333e-05,0.000118402389158284,-0.000175422174887182,-0.00179967452989124,-0.000591695917639368,-0.00366156762202342,-0.00121798430528919,0.00072179537073616,-0.000327221022980581,-0.0032834879275405
"T+5",-0.000109801601289542,2.13533730709477e-05,0.000160927850831551,-0.00171584693298466,-0.00079779041552264,-0.00417530952594734,-0.000576965502883692,0.000716958774165508,-0.0027271519366247,-0.00295496146172928
"T+6",0.000162246177673326,3.21625194580708e-05,0.000122373593940991,-0.00173142367846732,-0.000833741892971659,-0.00395700398393528,-0.000405070199960655,0.000701141918337116,-0.000359892377983697,-0.00254244599153646
"T+7",6.79537532058393e-05,3.53110843541836e-05,8.40331786402802e-05,-0.00174094104909991,-0.000811765887127057,-0.003882932008747,-0.000491998619286399,0.000709140736857373,-0.000160176559525632,-0.00275736846109871
"T+8",5.96826628686665e-05,3.29792429493935e-05,9.62429667052858e-05,-0.00173710288841776,-0.000804143780428848,-0.00392276278448377,-0.000532521745618819,0.00070792485701033,-0.000817446328895357,-0.0027298589239072
"T+9",7.73100282372991e-05,3.3778879794347e-05,9.91850632236534e-05,-0.00173636744514676,-0.000805978970568189,-0.00393302414977359,-0.000522960583590086,0.000707242983257064,-0.00075048743726926,-0.00270991896008004
"T+10",7.22413845158767e-05,3.36087703855045e-05,9.6999770215402e-05,-0.00173704477056857,-0.000807216187860779,-0.0039259197844874,-0.000514822019117109,0.000707743877199357,-0.000590224283471076,-0.00272199069933241
"T+11",7.1330238117406e-05,3.36197189010247e-05,9.70021623347815e-05,-0.00173703811382735,-0.000807143500346871,-0.00392457770598727,-0.000515397281807469,0.000707619930824801,-0.000636891052715519,-0.0027199781010643
"T+12",7.24459413954525e-05,3.36288782877884e-05,9.72966068412912e-05,-0.00173694133670518,-0.000806972879751564,-0.00392582041910935,-0.000516857779335718,0.000707599143102598,-0.000670458970100861,-0.0027190477842842
"T+13",7.21853384888966e-05,3.36237988487195e-05,9.72424697371925e-05,-0.00173695843618702,-0.000806959447291945,-0.00392598024691139,-0.000516948786737682,0.000707627872567397,-0.000652121418292824,-0.00271971651474836
"T+14",7.21059669273588e-05,3.36253493978729e-05,9.7212632027089e-05,-0.00173696957110994,-0.000806979831004609,-0.00392576662105126,-0.000516711828198434,0.000707617925024421,-0.000646645357702997,-0.00271957980283198
"T+15",7.21750534626143e-05,3.36250659236101e-05,9.72253905505569e-05,-0.00173696524315871,-0.000806984311470658,-0.00392575087402026,-0.000516665667968814,0.000707618033688404,-0.000652450227855084,-0.00271953850033881
"T+16",7.21624814413528e-05,3.3625066042582e-05,9.72270850088566e-05,-0.00173696435561854,-0.000806982261961752,-0.00392578700957396,-0.000516700051045747,0.000707619524939621,-0.000652832687171454,-0.00271957504305903
"T+17",7.21562816692133e-05,3.36250895565521e-05,9.72250536952192e-05,-0.00173696512909047,-0.000806981404497983,-0.00392578780543939,-0.000516712361453532,0.000707618824601401,-0.000651240443851981,-0.00271956619266739
"T+18",7.21604690186442e-05,3.36250788435539e-05,9.72251963005242e-05,-0.00173696512838249,-0.000806981555985639,-0.00392578178652478,-0.000516708098631966,0.000707618914574223,-0.000651429240878645,-0.00271956449554943
"T+19",7.21599227832292e-05,3.3625081764947e-05,9.72254443410361e-05,-0.00173696501671832,-0.000806981687796768,-0.00392578195626659,-0.000516705450489443,0.000707618981831048,-0.000651812652096375,-0.00271956646493219
"T+20",7.21594692489757e-05,3.36250813258665e-05,9.72253797647278e-05,-0.00173696503544048,-0.000806981685777917,-0.00392578294366702,-0.000516705833828795,0.000707618937065932,-0.000651693503092858,-0.00271956591143982
"T+21",7.21597175604617e-05,3.36250812828421e-05,9.72253580966629e-05,-0.0017369650484563,-0.000806981668368138,-0.0039257828661322,-0.000516706334430197,0.000707618947164384,-0.000651614558334768,-0.00271956585102675
