"","CSCO","DIS","PG","IBM","VZ","BA","MCD","KO","MRK","HD"
"T+1",0.00118672311878515,0.00131308462605692,0.00183126539709113,0.000814456473692098,5.3416292857579e-06,-0.000793639482503681,0.00168754357374719,0.000698645552457366,0.000303726606796634,0.00173406625792582
"T+2",0.00071501980378433,0.000896956451939895,-0.00179167529562563,0.000437196712408204,0.000450824006371612,0.000686434359927316,-0.000414693269240067,0.00109234660586053,-0.00070084977209169,0.00240203149572213
"T+3",0.000993921609052218,0.00103479645884478,0.000851005474842473,4.48560629145655e-05,0.000168512076583671,0.000437276554017383,0.000231308356868738,0.000764975221898775,-0.000672601746751525,0.00203119137238877
"T+4",0.000949309297083888,0.000931358165430429,-8.55187956174944e-05,0.000468155090316478,0.000439126606051598,0.000249133872640563,1.02524981814182e-05,0.000799445208273445,-0.00059341070122839,0.00172131858849266
"T+5",0.00098005995509431,0.00102919229040788,0.000456547005556449,5.96935926989491e-05,0.000187398946325782,0.000196890155778432,9.54502852629919e-05,0.000810525611268456,-0.0005180938778478,0.00155023703768945
"T+6",0.000975999621627974,0.000933537865052167,0.000234533908937403,0.000451139530978035,0.000421982452385029,0.000190200900503244,5.89776544329662e-05,0.00080689994381543,-0.000449160105744824,0.00146572387811606
"T+7",0.000979421279757193,0.00102744348348463,0.000349979739135546,7.61690584245306e-05,0.000203399684441747,0.000191194707228799,7.58200799986034e-05,0.000806935965216995,-0.000386214736388455,0.00142567765845706
"T+8",0.000979074378555529,0.000935209388772391,0.000299207461632232,0.000435346871705761,0.000407074488104495,0.000191996784184574,6.76687437092494e-05,0.000807116476826786,-0.000328745790104526,0.00140702786056417
"T+9",0.000979458923314119,0.00102580706091723,0.000324291019834629,9.12972464479135e-05,0.000217290961692914,0.000192224000347746,7.17192172035929e-05,0.000807084448344264,-0.000276277268352049,0.00139840756818625
"T+10",0.00097943263730817,0.000936816146931833,0.000312867441634705,0.000420855824725718,0.000394130645139847,0.000192254156674195,6.96781327165374e-05,0.000807080515440187,-0.00022837410600741,0.0013944363121825
"T+11",0.000979476316264473,0.00102422887318774,0.000318373278122563,0.000105177946800173,0.000229351993458525,0.0001922502223996,7.07140954791142e-05,0.000807082820684354,-0.00018463906625335,0.00139260950850176
"T+12",0.000979474853061606,0.000938366337895372,0.000315822637393435,0.000407559766375858,0.000382892214314087,0.000192246805623929,7.01863658999555e-05,0.000807082637667628,-0.000144709474872538,0.00139176972151533
"T+13",0.000979479869733439,0.00102270617458892,0.000317037311343398,0.000117913987560342,0.000239823927374635,0.000192245818036506,7.04556895357538e-05,0.00080708254966158,-0.000108254214362952,0.00139138378299879
"T+14",0.000979479882266784,0.000939862032615206,0.0003164698945374,0.000395360155796152,0.000373134499768898,0.000192245682400414,7.03181157858432e-05,0.000807082573788961,-7.49709782252111e-05,0.00139120644178539
"T+15",0.000979480465012848,0.00102123700474746,0.000316738540380552,0.000129599761898785,0.000248916134593346,0.000192245697836545,7.03884222750103e-05,0.000807082574283433,-4.45837640806627e-05,0.00139112495719085
"T+16",0.000979480487651918,0.000941305147987243,0.000316612536167765,0.000384166575394848,0.000364662410149439,0.000192245712380396,7.03524842375551e-05,0.00080708257295947,-1.684058491247e-05,0.00139108751770962
"T+17",0.000979480556114863,0.00101981948178964,0.000316672024405254,0.000140321879113408,0.00025681040061628,0.000192245716670289,7.03708565026869e-05,0.000807082573155351,8.48862054536305e-06,0.00139107031570831
"T+18",0.000979480561231407,0.000942697532390563,0.000316644067152419,0.000373896063776357,0.000357306558306499,0.000192245717279049,7.03614636898281e-05,0.000807082573190722,3.16138955989399e-05,0.00139106241209255
"T+19",0.000979480569363973,0.00101845179013009,0.000316657247930598,0.000150159806343089,0.000263664559847562,0.00019224571721914,7.03662658971051e-05,0.000807082573174732,5.27270073858004e-05,0.00139105878071315
"T+20",0.000979480570253495,0.000944040969210989,0.000316651047491292,0.000364472500883712,0.000350919874646895,0.000192245717157282,7.0363810666749e-05,0.000807082573175585,7.20030371104941e-05,0.00139105711224866
"T+21",0.000979480571229788,0.00101713217801001,0.000316653968798532,0.000159186457538853,0.000269615651263951,0.000192245717138659,7.03650659641608e-05,0.000807082573176265,8.9601831911482e-05,0.0013910563456605
