"","JNJ","HD","CSCO","PG","CVX","VZ","KO","MRK","NKE","MCD"
"T+1",0.00190237649558728,0.00110211011356416,-0.00062852087392538,-0.0013222370507834,0.0007539554507264,-0.00195995193879977,0.00146861725623547,-0.0038861774955856,0.00280963674862443,0.00126164946543471
"T+2",0.00148152892619999,0.00149631406117981,0.000793532892105316,0.00107686741730441,-0.00372418316154518,0.00149644368989337,0.00223014280738696,0.00310942100994942,0.00245717951560493,0.0015139421955765
"T+3",0.000489547322814508,0.00147761955587877,4.79382197199485e-05,0.000533161157118794,-0.000472437736598422,7.13651364599491e-05,0.00140344977080245,-0.00127948211216591,0.00289721333230799,0.0025745382748163
"T+4",0.000565370166316096,0.00150727588204394,0.00068751996629062,0.000648721706532711,-0.00250626902210516,0.000532455764845135,0.00160354831407267,0.00088404146093179,0.0027514833948219,0.00151285194136008
"T+5",0.000395839733601658,0.00150590070649227,8.21945619270217e-05,0.000622350714648768,-0.00119315405623574,0.000359827469100243,0.00147500107017759,-0.000298252554715439,0.00283137517374647,0.00244270345122533
"T+6",0.000432418664143073,0.00150813181313161,0.0006629959866176,0.000627912750861749,-0.00203497623628564,0.000418921929300725,0.00151630296654235,0.000318916168736658,0.00279692024759756,0.001641758102963
"T+7",0.000400038200013704,0.00150803070846174,0.000104727663944748,0.000626632679965049,-0.0014944521983461,0.000397562644413518,0.00149501896843198,-9.76634541111452e-06,0.00281344691941436,0.00233011406282453
"T+8",0.000410557496136615,0.00150819856177382,0.000641461322504943,0.000626900129533167,-0.00184139672622483,0.000405030572838217,0.00150287651039482,0.000163742025599526,0.00280589793691571,0.00173870330857292
"T+9",0.000403863165332297,0.00150819113257487,0.000125416201945927,0.000626837933622373,-0.00161868754546084,0.000402366204532048,0.00149922286361602,7.17934162658114e-05,0.00280942326744794,0.00224680071412622
"T+10",0.00040651066599436,0.00150820376091056,0.000621572149849561,0.00062685077861844,-0.00176164568838879,0.000403305128499626,0.00150066743359533,0.000120437602780357,0.00280779347990248,0.00181028265419068
"T+11",0.000405058482357686,0.00150820321533057,0.000144538576586347,0.000626847753099176,-0.00166987979686407,0.000402971755075332,0.00150002806913801,9.4683798915568e-05,0.00280855040426015,0.00218530496857881
"T+12",0.000405691244045667,0.00150820416542976,0.00060318680141288,0.000626848369104731,-0.00172878495446302,0.000403089580982773,0.00150028953369135,0.00010831421601175,0.00280819959727712,0.0018631150437102
"T+13",0.000405367794063599,0.00150820412538851,0.000162215331716955,0.00062684822171876,-0.00169097332137255,0.000403047820651665,0.00150017654603984,0.000101099161743903,0.00280836233786116,0.00213991549570972
"T+14",0.000405515617802882,0.00150820419687079,0.000586191326325109,0.000626848251206099,-0.00171524487242191,0.00040306259632607,0.00150022352271668,0.00010491809886616,0.0028082868745006,0.00190211013881953
"T+15",0.000405442581186734,0.00150820419393398,0.000178555784386168,0.000626848244013944,-0.00169966479435065,0.000403057362953825,0.00150020345764459,0.000102896674388752,0.00280832187398406,0.00210641395169712
"T+16",0.000405476750780148,0.00150820419931215,0.000570480650812704,0.000626848245422214,-0.00170966575521791,0.000403059215380514,0.00150021186792558,0.000103966633577179,0.00280830564286873,0.00193089205218843
"T+17",0.000405460144744408,0.0015082041990969,0.000193660954980526,0.000626848245070523,-0.00170324606862493,0.000403058559434619,0.00150020829601199,0.000103400290960811,0.00280831317040271,0.00208168677683429
"T+18",0.000405468003196777,0.00150820419950155,0.00055595764837932,0.000626848245137586,-0.00170736691026157,0.000403058791650994,0.0015002097991244,0.000103700062394985,0.002808309679409,0.00195213571201187
"T+19",0.000405464214646009,0.00150820419948579,0.000207624226587687,0.000626848245120346,-0.00170472171324943,0.000403058709430526,0.00150020916250908,0.000103541389881992,0.00280831129841723,0.00206343588140464
"T+20",0.000405466017552787,0.00150820419951623,0.000542532535020712,0.000626848245123527,-0.00170641968367634,0.000403058738539647,0.00150020943092527,0.000103625377053581,0.00280831054757726,0.00196781545772198
"T+21",0.000405465151770774,0.00150820419951508,0.000220531922846998,0.00062684824512268,-0.00170532974460661,0.00040305872823338,0.0015002093173965,0.000103580921676438,0.00280831089579145,0.00204996506697357
