"","PG","HD","AIG","IBM","DIS","CAT","BA","MRK","AXP","KO"
"T+1",0.000176772795733216,0.000395603727470419,0.000314324600622411,0.000721914637976679,0.00195885751770013,0.000701658915707422,0.00172322106009335,0.00131456086472571,0.00186823462345232,-0.00132659855718866
"T+2",0.000698246442709861,0.000402150204774207,0.000323523629071915,0.000770681015377681,0.00268106237996231,0.000182300068218513,0.00187347593323087,0.00129186042892091,0.00231060205225363,-0.000649932233962991
"T+3",0.000684170893285877,-0.000298679329473552,0.000237727081407217,0.000752546521602543,0.00209253651747324,0.00054123992663247,0.00168490196586841,0.00129868128634091,0.00135619607980934,-0.000485521483245971
"T+4",0.000615164649010411,0.000181289598516103,0.000259474731199047,0.000746983847708608,0.0016629451767748,0.000286695379837766,0.00157197919956576,0.0012944165849335,0.000805622803045105,-0.000392129638289203
"T+5",0.000567211862196309,-0.000194181457565128,0.00025602271938872,0.000744184269253334,0.00147244683211112,0.000466973754769282,0.00152566170001443,0.0012976770241512,0.00063745778341374,-0.000313358114246089
"T+6",0.000540578739491689,9.49578964804067e-05,0.000256369967395639,0.000742893039082268,0.00140657309033957,0.000339285367213887,0.00150938446374783,0.00129510782751894,0.000618101653636186,-0.000241623245675188
"T+7",0.000526873943218452,-0.000128093488631561,0.000256366250848586,0.000742289765466627,0.00138842159560231,0.000429724790154205,0.00150417151455454,0.00129714039632264,0.000628821016462731,-0.000175562376069739
"T+8",0.000520042893386109,4.39411949656896e-05,0.000256358629941575,0.000742008464507593,0.00138489620647099,0.000365668138817989,0.00150261242030262,0.0012955315453713,0.000636782370365222,-0.000114632451649062
"T+9",0.000516686546745653,-8.87484034089818e-05,0.000256360673610075,0.000741877257307025,0.00138480252202279,0.000411038337063442,0.00150217249012964,0.001296805092449,0.000639594774130486,-5.84229833168796e-05
"T+10",0.000515048448817359,1.35942428690898e-05,0.000256360338316716,0.00074181606110818,0.00138513572846123,0.000378903424502443,0.0015020550969139,0.00129579695934116,0.000640072490622122,-6.5667432723799e-06
"T+11",0.000514251487521774,-6.53420142318959e-05,0.000256360373740355,0.000741787518463369,0.00138534417819439,0.000401664017253135,0.00150202559847624,0.0012965949930289,0.000639973240734591,4.12736032511042e-05
"T+12",0.000513864338044904,-4.45896391079779e-06,0.000256360372945107,0.000741774205843682,0.00138543135814813,0.000385543090165502,0.0015020187098782,0.00129596327301985,0.000639862647124597,8.54090827564639e-05
"T+13",0.00051367640363786,-5.14176868865821e-05,0.000256360372274257,0.00074176799668289,0.00138546019735917,0.000396961258972062,0.00150201726062964,0.00129646333985056,0.0006398174440942,0.000126126611799509
"T+14",0.000513585206014161,-1.5198712131264e-05,0.000256360372465712,0.000741765100658086,0.00138546772692561,0.000388873971052056,0.0015020170079371,0.00129606748910628,0.000639807620149887,0.000163690884517029
"T+15",0.000513540958526856,-4.31341850159067e-05,0.000256360372433237,0.000741763749918434,0.00138546902234559,0.00039460205468868,0.00150201698285544,0.00129638084284656,0.000639808100424976,0.00019834609616619
"T+16",0.000513519492132918,-2.15877262727608e-05,0.000256360372436828,0.000741763119917749,0.00138546896192924,0.000390544953906229,0.00150201698869022,0.0012961327933785,0.000639809563740423,0.000230317530931235
"T+17",0.000513509078243348,-3.82063776300314e-05,0.00025636037243671,0.000741762826078102,0.0013854687831013,0.00039341852695494,0.00150201699374691,0.00129632914826659,0.000639810264754232,0.000259813026480686
"T+18",0.000513504026295366,-2.53885138582249e-05,0.000256360372436652,0.000741762689027873,0.00138546868344035,0.000391383225761045,0.00150201699602058,0.00129617371458484,0.000639810448213184,0.000287024325069704
"T+19",0.000513501575534445,-3.52748534979762e-05,0.00025636037243667,0.000741762625106052,0.00138546864391254,0.000392824793760066,0.00150201699685683,0.00129629675521631,0.000639810456929077,0.000312128320005462
"T+20",0.000513500386645778,-2.76495804249778e-05,0.000256360372436667,0.000741762595292172,0.0013854686314047,0.000391803756528802,0.00150201699713275,0.0012961993567836,0.000639810438791364,0.000335288205582879
"T+21",0.00051349980990515,-3.35309067354763e-05,0.000256360372436667,0.000741762581386631,0.00138546862832848,0.000392526939221769,0.0015020169972172,0.00129627645696246,0.00063981042828998,0.000356654537966695
