"","XOM","JNJ","UNH","GS","PFE","CAT","VZ","PG","CVX","IBM"
"T+1",0.000254337140009825,-0.000908061733114896,0.00725832213578178,0.00187100804435387,0.00644453614052591,0.0012373855442697,-0.00300027153666229,0.002291209020475,-0.00279179106254715,0.00326793182033466
"T+2",-0.000628157716812947,0.0016768975474748,0.00622694811804131,0.000721393120579119,-0.00291807882377281,-0.000498715236058571,0.00365202176500574,-0.000565044986542186,-0.000440425949508647,-3.15416792305783e-05
"T+3",0.00147694489743353,-0.00074994777994682,0.00554615614775879,-0.000138540387197553,0.00492878567422972,0.00162848262564174,0.00110236918384313,0.00110215268779955,0.00047594444080738,0.000157595727190421
"T+4",-0.000495645553200361,0.000679686791880751,0.00496957598773919,-0.000263298683600473,-0.00178996447100683,0.000294626492822632,0.000561990849793641,-4.78014683400142e-05,1.16698336672753e-05,0.000429361148376054
"T+5",0.00121040813922812,-4.99135238607429e-05,0.00446885863142006,-0.000301428884012822,0.00395953835009896,0.00109784364659045,0.000918714922367454,0.000774674263658639,-3.04660099802107e-05,0.000374297485285904
"T+6",-0.00024820081261891,0.000298630722041647,0.0040330808883731,-0.000309092944443438,-0.000960616573038692,0.00061585495702286,0.000947861580116204,0.000182312641104936,3.77499830814661e-05,0.000357429922239986
"T+7",0.000996673235000656,0.00013793206876696,0.00365375078131621,-0.00031101063306682,0.00324981957641284,0.000904993565568606,0.000902532052922118,0.000609497219538379,3.17676635716926e-05,0.000364763009982935
"T+8",-6.55012813937011e-05,0.000210509298352531,0.00332355131772351,-0.000311436238327485,-0.000353272813973481,0.000731547929488363,0.000903531893291209,0.000301356354054663,2.38017248904035e-05,0.000365262864033753
"T+9",0.000840749899138274,0.000178139762380864,0.00303611874047268,-0.00031153695937271,0.00273008347241728,0.000835592544472106,0.000908828295786141,0.000523637466193798,2.59350498911308e-05,0.000364530295254872
"T+10",6.75379159519068e-05,0.000192463861239976,0.00278591392528398,-0.000311559979804093,9.14927956235643e-05,0.000773179446023279,0.000908187155958766,0.000363290977689869,2.66228318631109e-05,0.00036458747320013
"T+11",0.00072724044821642,0.000186156674625112,0.00256811519578519,-0.0003115653408585,0.00234947407089514,0.000810619103843379,0.000907620001894482,0.00047895998824497,2.6225877004533e-05,0.000364645690639493
"T+12",0.000164383978325313,0.000188924994778004,0.00237852537284755,-0.000311566576762319,0.000417200344500975,0.000788160228861539,0.000907752220730437,0.000395519908022765,2.62024463756118e-05,0.000364632389184566
"T+13",0.000644611631099261,0.000187712442755668,0.00221349088873134,-0.000311566863242286,0.00207074893438649,0.000801632602668936,0.000907806686838458,0.00045571102859575,2.62586426653886e-05,0.000364628986203228
"T+14",0.000234882668149641,0.000188242841749822,0.00206983137934605,-0.000311566929451897,0.000655720151577998,0.000793550948705834,0.000907785581085007,0.000412290995653659,2.62522299394168e-05,0.000364630663782209
"T+15",0.000584462335255381,0.000188011034796044,0.0019447783957387,-0.000311566944778301,0.00186663494925873,0.000798398879123515,0.000907781179404066,0.000443612879118145,2.62459184547517e-05,0.00036463073694133
"T+16",0.00028620188824135,0.000188112286761504,0.00183592205357232,-0.00031156694832305,0.000830391259337534,0.000795490757909469,0.000907784125277963,0.000421018230574029,2.62478288487468e-05,0.000364630575107909
"T+17",0.00054067691245667,0.000188068076873845,0.00174116459247046,-0.000311566949143275,0.00171715966530478,0.000797235248499668,0.000907784358734625,0.000437317318827889,2.62483365850169e-05,0.000364630591107035
"T+18",0.000323559495120339,0.000188087375667651,0.00165867995027343,-0.00031156694933302,0.000958305147327939,0.000796188783378272,0.000907783985111254,0.000425559655176181,2.62479993907609e-05,0.000364630603497439
"T+19",0.000508803501113235,0.000188078952563385,0.00158687857316544,-0.000311566949376921,0.00160769700159201,0.000796816524941598,0.000907783994159408,0.000434041274049204,2.62479895547506e-05,0.000364630600320359
"T+20",0.000350753805343606,0.000188082628510448,0.0015243767835318,-0.000311566949387077,0.00105197812479223,0.00079643996249124,0.000907784037734826,0.000427922893660189,2.62480355896669e-05,0.000364630599644465
"T+21",0.000485601387585106,0.00018808102439014,0.00146997011523723,-0.000311566949389427,0.00152753609184062,0.000796665850479711,0.000907784032362092,0.000432336506102002,2.62480291050386e-05,0.000364630600026028
