"","GS","PFE","CSCO","WMT","VZ","HD","CVX","MRK","UNH","NKE"
"T+1",0.00169003501376006,1.74741405897163e-05,0.00048468581309937,0.00109749691157155,-0.00178362372498854,0.00169507072459365,0.000120236682804909,0.00129347688865296,0.000720493302827823,-0.00723208981011118
"T+2",-0.000148692539766575,-0.000203931179485182,0.000717641535842164,0.000722873485384599,0.000257667909930285,0.000328595314786683,-8.68357065065094e-06,0.00104478463728522,0.00136351410716405,-0.00178956932118751
"T+3",0.00130754367921061,-9.91920663495436e-05,0.00100424874278655,0.000220368824883607,-0.00123632101600285,0.000731855607545594,0.000266881130944561,0.000978683371113319,0.000884368788160112,-0.00171425901800746
"T+4",0.00132760409326827,-0.000173972632798164,0.00123212246392993,0.000202424852829322,-0.000446790645486343,0.000893361638845307,5.2128513681563e-05,0.000915686254819916,0.00124847943028766,-0.00144022613063167
"T+5",0.00153464664645265,-0.000116735584883047,0.00141600144044269,0.000252960551241956,-0.000901452540928799,0.000876287093104366,0.000203808483839982,0.000860418760436388,0.000971902106117687,-0.00121443531468073
"T+6",0.00157678249914518,-0.000160933242317115,0.00156428896467015,0.000260584441015542,-0.000646009674498097,0.000860533727339988,9.84787268821746e-05,0.000811792719781897,0.00118199127232727,-0.0010201058603852
"T+7",0.00161368264101703,-0.000126767830060528,0.00168387707994416,0.000256163903072398,-0.000790523681639712,0.000860284579964324,0.000171393444894079,0.000769014481516687,0.00102240678908273,-0.000853247260420297
"T+8",0.00162657378698504,-0.000153181592307324,0.00178032014026086,0.000254863567689538,-0.000708926607688075,0.000861612398311087,0.000120947562599124,0.000731380643640773,0.00114362773471744,-0.000709958306864611
"T+9",0.00163417274620222,-0.000132760421318985,0.00185809763723893,0.000255178218325321,-0.000755024345811408,0.000861778615431438,0.000155844619977641,0.000698272558334804,0.00105154786980481,-0.000586910477880119
"T+10",0.00163741555942235,-0.000148548592873045,0.00192082209875937,0.000255350049093069,-0.000728985798574157,0.000861682531076549,0.000131704300350847,0.000669145969609284,0.00112149206532274,-0.000481244457233592
"T+11",0.00163909217012278,-0.000136342318424775,0.00197140688518438,0.000255336666771579,-0.000743694456860065,0.000861657757148106,0.000148403496395384,0.000643522072522027,0.00106836220363916,-0.000390504882192517
"T+12",0.00163986327580618,-0.00014577932887775,0.00201220150590539,0.000255317166729051,-0.000735385931465952,0.000861663320212914,0.000136851745912647,0.000620979642025617,0.0011087198370584,-0.000312583233999761
"T+13",0.00164024376555349,-0.000138483313458683,0.00204510074691017,0.000255316349534249,-0.000740079210484164,0.000861666057684554,0.000144842724698778,0.000601148108556884,0.00107806403402052,-0.000245668844616626
"T+14",0.00164042367014844,-0.000144124066034061,0.00207163267782558,0.000255318296863337,-0.00073742809671949,0.00086166587768975,0.000139314926945984,0.000583701466333272,0.00110135029191714,-0.000188206822054502
"T+15",0.00164051095128359,-0.000139763043230434,0.00209302962610163,0.000255318603796896,-0.000738925643773489,0.000861665622606169,0.000143138807432995,0.000568352914222634,0.00108366196693157,-0.000138861919300868
"T+16",0.0016405526412725,-0.000143134671331422,0.00211028541487129,0.000255318434953117,-0.000738079717419467,0.000861665610273261,0.00014049361985197,0.000554850141088778,0.00109709808200786,-9.6487507137892e-05
"T+17",0.00164057274288898,-0.000140527971810859,0.00212420152301072,0.000255318383639904,-0.000738557559775438,0.000861665630868829,0.000142323440988228,0.000542971178109722,0.00108689196082393,-6.00989298795147e-05
"T+18",0.00164058238024073,-0.000142543283757189,0.00213542431139399,0.000255318395470855,-0.00073828763874197,0.000861665634175385,0.000141057653482415,0.000532520749885911,0.00109464456706684,-2.88506248930955e-05
"T+19",0.00164058701661827,-0.000140985190003389,0.00214447504438871,0.000255318402184964,-0.000738440110291484,0.000861665632764461,0.000141933268031901,0.000523327064355145,0.00108875565956962,-2.01647423117386e-06
"T+20",0.00164058924247031,-0.000142189795647717,0.00215177410099961,0.00025531840171058,-0.000738353982978244,0.000861665632326207,0.000141327557487478,0.000515238988744424,0.00109322889481778,2.10270681964764e-05
"T+21",0.00164059031241175,-0.00014125848149874,0.00215766050019406,0.000255318400954153,-0.000738402634114214,0.000861665632399776,0.00014174656064799,0.000508123565134836,0.00108983100928556,4.08154659849866e-05
