"","PG","PFE","BA","HD","WMT","CSCO","VZ","UNH","CVX","MRK"
"T+1",0.000430960759676947,-0.00272606780939941,0.0027621710985449,0.00202026071750632,0.0001021779580564,-0.00023991174637549,4.5260512996427e-05,0.00159684903758938,0.0006741408720959,0.000245215189619546
"T+2",0.000281931823476599,-0.00337565142694634,0.00269512886670044,0.000601302073208168,0.00186016459255613,0.000283505275560272,0.000185414402846004,0.00110536504533031,0.00079829664243089,-1.37047243417959e-05
"T+3",0.000295092126110922,-0.00326723760725582,0.00274157210882057,0.00156850566302724,0.000907414313062421,0.000254875737189993,1.72516782596859e-06,0.00149191186937523,0.000669037672539356,0.000158164145458718
"T+4",0.000303617349207794,-0.0030531895027987,0.00272690628639324,0.000622626891983071,0.000385998951435555,0.000259590133955718,4.96360312731451e-05,0.00120207820123128,0.00072989736051734,0.000209971320787935
"T+5",0.000303782349284251,-0.00283588582605463,0.00273175759225359,0.00152383986215114,0.000369086860180218,0.000262234455650768,2.23703945512503e-05,0.00141954077917241,0.00070400569371773,0.000241572368937629
"T+6",0.000303381623770047,-0.00263062559315243,0.00273015890174196,0.000663804685516644,0.000437303847616056,0.000264952115549195,3.22030045050126e-05,0.00125637987190001,0.000714791797618628,0.000257456510956011
"T+7",0.000303335598383379,-0.0024389728758789,0.00273068589121013,0.00148446159235356,0.000459362023375409,0.000267614360771468,2.76545575761375e-05,0.00137879856808391,0.000710319470078127,0.000265796252658752
"T+8",0.000303350808481197,-0.00226037428662725,0.00273051217957529,0.00070137508668346,0.000456164545554177,0.000270229883693541,2.94795434896454e-05,0.00128694852019543,0.000712171898163949,0.00027012966093544
"T+9",0.000303354497381323,-0.0020939957885008,0.00273056944028496,0.00144861090886487,0.000452149402323847,0.000272799045527958,2.86867419647642e-05,0.00135586308602837,0.000711404811863149,0.000272386853482153
"T+10",0.000303354104051542,-0.00193900998845886,0.00273055056539289,0.000735584463738858,0.000451438899865498,0.00027532269579125,2.90159967770988e-05,0.0013041568812618,0.000711722443116038,0.000273561904915894
"T+11",0.000303353886625099,-0.00179463815968471,0.00273055678713826,0.00141596767824438,0.00045179673783958,0.000277801639022061,2.88757547119251e-05,0.0013429517510988,0.000711590921603277,0.000274173697628527
"T+12",0.000303353885234479,-0.00166015363939962,0.00273055473625949,0.000766733246915442,0.000451999615078459,0.000280236667317098,2.89346429723993e-05,0.00131384418204661,0.000711645380536095,0.000274492218403856
"T+13",0.000303353895721491,-0.00153487932975605,0.00273055541229226,0.00138624492479672,0.000452007999254857,0.00028262855863139,2.89097161258083e-05,0.00133568342470132,0.00071162283081492,0.000274658052765113
"T+14",0.000303353896783007,-0.00141818447236111,0.00273055518945105,0.000795095256030982,0.000451981977331076,0.000284978077144975,2.89202197563825e-05,0.00131929756579032,0.00071163216793968,0.000274744392458762
"T+15",0.000303353896371412,-0.0013094815014813,0.00273055526290637,0.00135918136345833,0.000451973292082446,0.000287285973499896,2.89157824507568e-05,0.00133159178205488,0.000711628301732414,0.000274789344215384
"T+16",0.000303353896280572,-0.00120822309022175,0.00273055523869324,0.000820919814133786,0.000451974433582645,0.000289552985040459,2.89176543174295e-05,0.00132236750187642,0.000711629902606226,0.00027481274782196
"T+17",0.000303353896292067,-0.00111389939542812,0.00273055524667463,0.00133453908549401,0.000451975980610993,0.000291779836048776,2.89168640351268e-05,0.00132928842656,0.000711629239735153,0.000274824932636411
"T+18",0.000303353896297592,-0.00102603549070651,0.00273055524404372,0.000844433938203346,0.000451976267051371,0.000293967237976164,2.89171975316955e-05,0.00132409569633617,0.000711629514209041,0.000274831276517722
"T+19",0.000303353896297555,-0.000944188975154232,0.00273055524491095,0.00131210146704172,0.000451976132837796,0.000296115889670449,2.89170567610243e-05,0.00132799177213678,0.000711629400558109,0.000274834579385427
"T+20",0.000303353896297281,-0.000867947745843205,0.00273055524462508,0.000865844334793971,0.000451976053947713,0.00029822647759924,2.89171161724605e-05,0.00132506856873707,0.000711629447617356,0.000274836298984918
"T+21",0.000303353896297257,-0.000796927922853397,0.00273055524471931,0.0012916712648283,0.000451976049995776,0.000300299676069239,2.89170910961645e-05,0.0013272618315362,0.000711629428131614,0.000274837194274308
