"","INTC","CVX","WMT","MCD","CSCO","HD","VZ","NKE","BA","GS"
"T+1",-5.49101424857654e-05,-0.00128082045013469,0.00138879389731783,-0.00092475868090932,-4.9646941796457e-05,0.000610075897078971,0.00181508468820283,-0.00145816087677879,-0.00113466271084233,-0.000249342909782308
"T+2",0.00153885397494976,0.00105900765540282,0.00170810321225181,0.00058501506909892,0.00123252457938532,-0.000902311061268857,-0.00192413471932504,-0.00129920206377931,0.000336757832749402,0.00296306486784046
"T+3",0.000616369533288753,0.000823538616297308,0.00139604329890735,-2.62643358105606e-05,0.000281553637573854,0.000517767335249705,0.000210133973959733,-0.00145943509083787,0.000637674488098369,-0.00147900176391219
"T+4",0.000179483638824151,0.00086668090533349,0.00116987083189253,0.00065003894709154,0.000889118029519654,-0.000801280730655282,0.000121554469572141,-0.00131017743330313,0.00066718459250273,0.00272208022892843
"T+5",0.000112364365006629,0.000878747818037562,0.00102567402806176,-2.11499818955723e-05,0.000509576050658543,0.000424259423436868,0.000365760465852199,-0.00144919643274166,0.000649322632313592,-0.00131097306400274
"T+6",0.000126652309907522,0.000893388953837881,0.000934728928653045,0.000650030443414792,0.000745790562594629,-0.000714393748648164,0.000396858319905928,-0.00131971376809482,0.000632085151272432,0.00255807139934408
"T+7",0.000136955592464508,0.000906990443743461,0.000877425987718053,-2.07700037727975e-05,0.000598870879079198,0.000343532643847784,0.000431869196237958,-0.00144031426520715,0.000621591600069969,-0.0011537538380954
"T+8",0.000139160849065205,0.000919980730646959,0.000841323628292723,0.000649677707612183,0.000690241625694602,-0.000639390228885865,0.000441650516251036,-0.00132798664248324,0.000616046870431966,0.002407235466189
"T+9",0.00013902902190605,0.000932347826664107,0.000818578379095638,-2.0415485959378e-05,0.000633418313516226,0.000273846628333224,0.000447582386172038,-0.00143260888807028,0.000613300665415644,-0.00100904760063008
"T+10",0.000138801779882377,0.00094412589805288,0.000804248402289424,0.000649323520481468,0.000668756527254013,-0.000574644723853476,0.000449788052534562,-0.00133516345117558,0.000611986567025893,0.00226840957708165
"T+11",0.000138737865853015,0.000955342535580859,0.0007952202215291,-2.00614756135381e-05,0.000646779830386106,0.000213691367758025,0.000450887099942423,-0.00142592438942842,0.000611370073391093,-0.000875863114389908
"T+12",0.000138735738109263,0.000966024551825078,0.000789532281595044,0.000648969698017188,0.000660447050996365,-0.000518754274422837,0.000451343574507762,-0.0013413894109313,0.000611084265129103,0.0021406372461634
"T+13",0.000138740363518095,0.000976197423108718,0.000785948762220127,-1.97078401169316e-05,0.00065194746083603,0.000161763368316417,0.000451555400559069,-0.00142012551400685,0.000610952727537494,-0.000753283007605233
"T+14",0.000138742065420387,0.000985885417782792,0.000783691071165261,0.000648616249448724,0.000657233322151477,-0.00047050780023132,0.000451647191420063,-0.00134679049887185,0.00061089246552382,0.00202303836954058
"T+15",0.000138742240889617,0.000995111646792661,0.000782268679274519,-1.93545783734888e-05,0.000653946066024148,0.000116937411280845,0.000451688671373361,-0.00141509492638066,0.000610864936716436,-0.000640462941236402
"T+16",0.000138742156885544,0.00100389811960503,0.000781372543070902,0.000648263174431865,0.000655990397534381,-0.000428859856877393,0.000451706938064352,-0.00135147600152303,0.000610852383998986,0.00191480291916046
"T+17",0.000138742114573156,0.00101226579662595,0.000780807958795176,-1.90016899844896e-05,0.000654719035899692,7.82421708371132e-05,0.000451715110781908,-0.00141073083679003,0.000610846666809606,-0.000536625803960764
"T+18",0.000138742107627732,0.00102023463921184,0.000780452259066597,0.00064791047257208,0.000655509690643341,-0.000392907982368875,0.000451718731869506,-0.00135554072613701,0.000610844064826311,0.00181518536280777
"T+19",0.000138742108864869,0.00102782365728699,0.000780228160907382,-1.86491745553242e-05,0.000655017985603172,4.48391665953968e-05,0.000451720345902253,-0.00140694494150893,0.00061084288118569,-0.000441056359405121
"T+20",0.000138742109851485,0.00103505095469236,0.000780086974448894,0.000647558143474991,0.000655323775011848,-0.000361873141832041,0.000451721062684061,-0.00135906691903828,0.000610842342912267,0.00172349952883351
"T+21",0.000138742110073577,0.00104193377237293,0.000779998024070496,-1.829703169182e-05,0.0006551336057949,1.60045947054873e-05,0.000451721381723129,-0.0014036606360927,0.000610842098174355,-0.000353096319555131
