"","JNJ","UNH","CSCO","PG","VZ","CVX","NKE","KO","GS","MRK"
"T+1",0.00285142606051653,0.00192416149909704,0.00282661726871153,-0.000632852282841593,0.000311000929948235,0.00376837737382579,0.00150742843193401,0.00213106276930452,0.00561665984378269,-0.00632586240816842
"T+2",-0.00141395349439411,0.00077336751206701,-0.00106548843748777,0.000747461824702648,0.000375810852698166,-0.00321452816903291,0.00168649040002554,7.64992591673893e-05,-0.000392102315825461,0.00324001849604288
"T+3",0.00131715712850934,0.00203940071900265,0.00306523649391276,0.000506993965165778,0.000460206069047669,0.00164814484010704,0.00167890771706552,0.00109288926809737,0.00437022355256289,-0.00189971390265596
"T+4",-7.9163361482245e-06,0.000917472424379311,-0.000866906724413303,0.000561893469305365,0.000387981253279238,-0.000263688939880036,0.00166944399858323,0.00067814019983391,0.0016075347178681,0.000883785042076326
"T+5",0.000719446496748257,0.0019195210520693,0.00289450053489368,0.000561850317625108,0.00044731624752447,0.000636282643005285,0.00166269341000947,0.000857436993320431,0.003359390169717,-0.000619598287413428
"T+6",0.000342405918789418,0.00102482322282751,-0.000702757951375836,0.000571003153439561,0.000398621811029401,0.000239054502378083,0.00165796694153329,0.00078131826355566,0.00227856939156477,0.000193133995875318
"T+7",0.000543020071341057,0.00182368086280977,0.00273755238374296,0.000577695731050575,0.000438582761631857,0.000418314130977654,0.00165466040081099,0.000813815556472731,0.00295092863909208,-0.000246093263680096
"T+8",0.000437551134153916,0.00111039734906923,-0.000552655769067818,0.00058412586531913,0.000405788945101781,0.000338042467590708,0.00165234729781992,0.000799965709234043,0.00253371508583181,-8.6950765109652e-06
"T+9",0.000493304781112376,0.00174727350271646,0.00259399929757725,0.000589952303989156,0.000432701077219051,0.00037408460980727,0.00165072916059849,0.000805871501659987,0.00279280226009722,-0.000137001890830157
"T+10",0.000463906108221367,0.00117861990712602,-0.000415365957594946,0.000595292937194289,0.000410615729084256,0.000357916763302318,0.00164959718857475,0.000803353603115131,0.00263194775759752,-6.76549311208093e-05
"T+11",0.000479425821017056,0.00168635898628023,0.00246269949530835,0.000600176969635168,0.000428739993639114,0.000365171727266717,0.00164880531465865,0.000804427149964802,0.00273182140324166,-0.000105135251635027
"T+12",0.000471237220120954,0.00123300922379017,-0.000289794817882292,0.000604645501351378,0.000413866378622974,0.000361916591501944,0.0016482513572412,0.000803969433309859,0.00266981173949391,-8.48780341333575e-05
"T+13",0.000475558785904639,0.00163779588605018,0.00234260707433495,0.000608733503022209,0.000426072359338978,0.000363377153793838,0.00164786383491712,0.00080416458603625,0.00270831261815606,-9.58265707046499e-05
"T+14",0.00047327831658669,0.00127637021540766,-0.000174942076971478,0.000612473448721091,0.000416055563484185,0.000362721816171435,0.00164759274268704,0.000804081380571852,0.00268440804135341,-8.99091502566483e-05
"T+15",0.000474481770570047,0.00159907975003034,0.00223276540416289,0.000615894959615115,0.000424275812354891,0.00036301586008342,0.00164740309942616,0.000804116856134045,0.00269925001767948,-9.31073733742973e-05
"T+16",0.000473846696194483,0.00131093905556542,-6.98928425299883e-05,0.000619025150898468,0.000417529893552521,0.000362883925526976,0.00164727043399937,0.000804101730741365,0.00269003486931529,-9.13788108362151e-05
"T+17",0.000474181834713254,0.00156821394489834,0.0021322995095761,0.000621888826137355,0.000423065908483935,0.000362943123274442,0.00164717762756174,0.000804108179617728,0.0026957564095009,-9.23130572344237e-05
"T+18",0.000474004977829689,0.00133849849701902,2.61896851417934e-05,0.000624508677569097,0.000418522796979232,0.000362916561828413,0.00164711270458162,0.000804105430068898,0.00269220399555561,-9.18081195678364e-05
"T+19",0.000474098307679782,0.00154360668744996,0.00204040910077848,0.000626905465232304,0.000422251085721201,0.000362928479688378,0.00164706728754531,0.00080410660236906,0.00269440963328466,-9.20810262094162e-05
"T+20",0.0004740490562639,0.00136046981019495,0.000114070878878056,0.000629098181597692,0.000419191478461044,0.000362923132261791,0.00164703551594174,0.000804106102546088,0.0026930401876459,-9.19335267456879e-05
"T+21",0.00047407504691011,0.00152398895460478,0.00195636219845683,0.000631104202044022,0.000421702334576084,0.000362925531599544,0.00164701329003543,0.000804106315651069,0.00269389045481973,-9.20132466516318e-05
