"","JNJ","HD","HPQ","PG","AA","BA","MRK","AXP","CAT","DIS"
"1",-0.000146650872434578,0.000156096398449504,0.00242139960684316,0.00533289907228192,0.0064861433256177,2.72439473474182e-05,6.30439186073929e-05,-0.00116996330910281,0.00189754336794663,0.001140048801234
"2",0.000437958270759423,-3.87199977541506e-05,0.00122441417471955,-0.00411451979837795,-0.000455782689937844,0.000950285713831061,5.15383675668765e-05,-0.00122063972899399,0.00163007708266197,-0.00196030949603215
"3",0.000116726150254196,-0.000100551811228285,0.00110566699513938,0.00203420533573387,0.00311829558929945,0.000886594985257532,0.000516701209923353,-0.000632074506058228,0.00132218142018904,0.00146401550214863
"4",0.000129098014802751,-0.000105306296980317,0.00132050826203271,0.000574645370090346,0.00160684262392998,0.000891077896130935,0.000804210234975875,-0.000242595948001485,0.00119337707633068,0.000490074373489947
"5",0.000108648728395957,-0.000108355218667113,0.00134127819835978,4.5034189677204e-05,0.00222190700487312,0.000890765376354526,0.00094924262164388,-1.73949220443829e-05,0.00113662712982681,0.000206590500700106
"6",0.000107775206513098,-0.000108311779657857,0.00130271865630166,0.000680611335786495,0.00197376998543546,0.000890787264115169,0.00101874656988358,0.000110247873891403,0.00111172384491977,0.000558501038653349
"7",0.000106335276480173,-0.000108490898873704,0.00129908816454616,0.000429499262749448,0.00207367649917453,0.000890785734586256,0.00105155347898529,0.00018236262322853,0.00110079234006398,0.000450666187444062
"8",0.000106157114677893,-0.000108469861637601,0.0013060085676322,0.000433093392190087,0.00203347023373497,0.000890785841585389,0.0010669664381271,0.000223084063067642,0.00109599397554343,0.000425281811604013
"9",0.000106046020639907,-0.000108482298911984,0.00130664272879579,0.000487321599163,0.00204964904022495,0.000890785834104071,0.0010741969642041,0.000246076480813156,0.00109388773832071,0.000461339880447675
"10",0.000106024868891466,-0.000108479806059322,0.00130540074390524,0.000454955670078901,0.00204313893188106,0.000890785834627291,0.00107758738556817,0.000259058432974099,0.00109296320775842,0.000449483346660566
"11",0.000106015681766161,-0.00010848077653529,0.00130529005043029,0.000461629640080794,0.00204575848604834,0.000890785834590703,0.00107917693672301,0.000266388270665939,0.00109255738605894,0.000447273143890035
"12",0.000106013503440851,-0.000108480533261029,0.00130551293841997,0.000465004607098255,0.00204470442454863,0.000890785834593261,0.00107992214133099,0.000270526823900359,0.00109237925105901,0.000450956631895548
"13",0.000106012708003654,-0.000108480614036217,0.00130553224545487,0.000461543586134208,0.00204512855980845,0.000890785834593083,0.00108027149903051,0.0002728635225454,0.00109230105889176,0.000449661021979007
"14",0.00010601249620134,-0.000108480591738208,0.00130549224706678,0.000462800892958115,0.00204495789547326,0.000890785834593095,0.00108043527988927,0.000274182862950715,0.00109226673652377,0.000449476097126925
"15",0.000106012425401581,-0.000108480598673594,0.00130548888224661,0.000462845408048014,0.00204502656770487,0.000890785834593094,0.00108051206116981,0.000274927785324792,0.00109225167075713,0.000449851214940961
"16",0.000106012405351761,-0.000108480596678302,0.00130549605992202,0.000462537509751009,0.0020449989352451,0.000890785834593094,0.0010805480565996,0.000275348381359759,0.00109224505765502,0.000449710420580031
"17",0.000106012398950439,-0.000108480597282142,0.00130549664584531,0.000462706717026822,0.00204501005404544,0.000890785834593094,0.00108056493142604,0.000275585857143516,0.00109224215484094,0.000449695872941433
"18",0.000106012397077481,-0.000108480597105333,0.0013054953578607,0.00046267729752336,0.00204500558004197,0.000890785834593094,0.00108057284242353,0.000275719940071508,0.00109224088065381,0.000449733951737518
"19",0.000106012396493705,-0.000108480597158227,0.00130549525592404,0.000462656468988505,0.00204500738029977,0.000890785834593094,0.00108057655113607,0.000275795645607857,0.00109224032135073,0.000449718728234045
"20",0.000106012396319924,-0.000108480597142623,0.00130549548703636,0.000462675189082967,0.0020450066559087,0.000890785834593094,0.00108057828979781,0.000275838390260883,0.00109224007584525,0.00044971770221269
"21",0.000106012396266438,-0.000108480597147268,0.00130549550475404,0.000462668965794405,0.00204500694739052,0.000890785834593094,0.00108057910489054,0.000275862524630052,0.00109223996808088,0.000449721554782617
