"","V","CSCO","PG","WMT","MCD","VZ","HD","BA","MRK","IBM"
"T+1",0.00206645940853403,0.00239557708677491,-0.000916713632028575,-0.00384054930108764,0.00135348652915225,0.0019158778475298,0.00176894476395609,0.00196416914562523,0.0010033545995198,0.00229824119458228
"T+2",0.00276593354879874,0.00163377377999767,0.000134540410439117,-0.00356259806040738,0.00216228891970419,0.000858871255338065,0.00263327593198488,0.00236563637774536,0.000301579518152244,0.000228710619029487
"T+3",0.00173861294163179,8.99268741039042e-05,-6.59002786254663e-05,-0.00342351551582523,0.00184738883247324,0.00010436634127906,0.00189127133055746,0.000584647860176121,0.000324480985869917,-0.00145727219920755
"T+4",0.0010623754241997,0.00189109819665174,-0.000281414095195259,-0.00330056802446918,0.00156168236738999,0.000506891559773073,0.001360241962467,0.00114184570347325,0.000295201416192804,-5.40529979821772e-05
"T+5",0.000790084412206115,0.000152703880851634,-0.000375576133241108,-0.00318551073668149,0.00137942323656284,0.000406306946618271,0.00114759643173994,0.00115568685844077,0.000270954854240153,-0.000548825935254303
"T+6",0.000710951081622472,0.0017840825644332,-0.000403492504706487,-0.00307740638223668,0.00126938048317138,0.000412912424552808,0.00109122201598502,0.0010876659920375,0.000247472657767816,-0.000534083121124218
"T+7",0.000696755301088529,0.000260309487621575,-0.000408640106748923,-0.0029758072715907,0.00120365595587798,0.000418899294324976,0.00108511826833329,0.00110911650734146,0.00022502067675407,-0.000445070241832684
"T+8",0.000697727393101192,0.0016824332883739,-0.000408498386737829,-0.00288032019697286,0.00116448812586518,0.000415859600319135,0.00108856065682706,0.00110958773545708,0.000203532592737666,-0.000500488311947937
"T+9",0.000699939625489048,0.000355360182098267,-0.000407890738409832,-0.00279057735695859,0.00114115716985464,0.000416594131296913,0.00109128187751152,0.00110698998370683,0.000182968582550392,-0.000485377034485212
"T+10",0.000701107905703297,0.00159370635883289,-0.000407581475917348,-0.00270623318742294,0.0011272610226991,0.000416554570833563,0.00109241585047384,0.00110781571135209,0.000163288792440477,-0.000483346687870979
"T+11",0.000701527502423947,0.000438159569499132,-0.000407479433083481,-0.00262696291946678,0.00111898450284355,0.000416507274514589,0.00109273008460742,0.00110783150039632,0.000144455210803893,-0.00048752856451583
"T+12",0.00070163478320992,0.00151644243120931,-0.000407457006510519,-0.00255246132180034,0.00111405504272891,0.000416530195112561,0.00109277042188966,0.00110773229680332,0.000126431451019601,-0.000485462732681158
"T+13",0.000701648166859366,0.000510257478036838,-0.000407455599922261,-0.00248244152499496,0.00111111907965965,0.000416524842839402,0.00109275484803466,0.0011077640806877,0.00010918269174674,-0.00048585546830723
"T+14",0.000701643454291897,0.0014491652316398,-0.000407457168344773,-0.00241663391685982,0.00110937043428112,0.000416525064307661,0.00109274097149521,0.0011077645987556,9.26756088697495e-05,-0.000486031769745694
"T+15",0.000701639170111911,0.000573036281460941,-0.000407458149803223,-0.00235478510429464,0.0011083289496037,0.000416525436471876,0.00109273494530752,0.00110776081057003,7.68783111747075e-05,-0.000485850214986343
"T+16",0.000701637236424168,0.00139058404793561,-0.000407458510851255,-0.00229665693759592,0.00110770864640297,0.000416525263892633,0.00109273320346682,0.00110776203391355,6.17602787321645e-05,-0.000485922493322532
"T+17",0.000701636614256733,0.000627700513196818,-0.000407458601858361,-0.00224202559345826,0.00110733919683872,0.00041652530280253,0.00109273294793621,0.00110776205043181,4.72923039338234e-05,-0.000485915712031333
"T+18",0.000701636478580828,0.00133957486651437,-0.00040745861304922,-0.00219068071313963,0.00110711915447828,0.000416525301707826,0.00109273301598557,0.00110776190578496,3.3446435064248e-05,-0.000485905438402405
"T+19",0.000701636472286481,0.00067529903431506,-0.000407458609607272,-0.00214242459247213,0.00110698809832049,0.000416525298789859,0.00109273308637239,0.00110776195286767,2.01959222989468e-05,-0.000485912837766259
"T+20",0.000701636484403726,0.00129515895648734,-0.000407458606615724,-0.00209707142059938,0.00110691004191145,0.000416525300087406,0.00109273311828622,0.00110776195337284,7.5151660244728e-06,-0.000485910501923466
"T+21",0.000701636492152707,0.00071674513426039,-0.000407458605376845,-0.00205444656450927,0.00110686355189453,0.000416525299805236,0.00109273312789232,0.00110776194785002,-4.62033261930021e-06,-0.000485910418532711
