"","CAT","PG","CVX","WMT","MCD","KO","MRK","T","HD","DIS"
"T+1",0.00137595184111073,0.000471719310628336,0.000831864091219844,0.00191404738420869,0.00105443552892858,0.00104715594801009,0.00112632067489601,0.00232096731887137,0.00278924933682726,0.0012472541315426
"T+2",0.000316331173578785,0.000293197314995433,0.00119044114894371,0.00126982465427887,-0.00129397464369343,0.000797184446989559,0.00105752087276336,-5.04902521682473e-05,0.00188995926889425,0.00202032622836435
"T+3",0.000181477200395998,0.000440119590460459,0.000405202987274466,0.00132755355526834,0.00081128562952382,0.000703048876696266,0.000929828923095485,0.00237456849122375,0.00270499211810423,0.00152646260836867
"T+4",0.000160802708615357,0.000331130517055331,0.000851417655478043,0.00137414332003423,-0.000225274907094902,0.000680651643993024,0.000959809100833008,-1.55484532659658e-05,0.00194589256347593,0.00185277424770484
"T+5",0.000155851897112879,0.000411932127345674,0.00056414882881678,0.00137872961503435,0.000198771115510779,0.000675094616201852,0.000960191546669627,0.00234577181941058,0.0026518741444253,0.00163736784090053
"T+6",0.000153916462573906,0.000352028169995107,0.000745651618599423,0.0013768431675762,4.12460332739367e-05,0.000673722161956796,0.00095856562919883,1.32692021743255e-05,0.00199524373971256,0.00177956646564493
"T+7",0.000152957716676701,0.000396439215959266,0.00063066457902867,0.00137626175674129,9.6217580309911e-05,0.000673383030791923,0.000958882442127074,0.00231732979402174,0.0026059703956131,0.00168569536980345
"T+8",0.000152449417137254,0.000363514162413462,0.000703483649440043,0.00137627116372576,7.79024571944219e-05,0.000673299236507863,0.000958900751213938,4.13659694322027e-05,0.00203793832833508,0.0017476634992946
"T+9",0.000152175583256364,0.000387923836346116,0.000657366140554016,0.00137630598484275,8.37782577503426e-05,0.000673278532063406,0.000958880616254778,0.00228957575293733,0.00256626048817237,0.00170675581587651
"T+10",0.000152027532644132,0.000369827216376475,0.000686572875733359,0.00137631134092017,8.19549950342218e-05,0.00067327341627586,0.000958883839322339,6.87815728943255e-05,0.0020748722007586,0.00173376064200887
"T+11",0.000151947424404237,0.000383243522355372,0.000668075901277755,0.00137631025736793,8.25032334346876e-05,0.000673272152234025,0.000958884211003569,0.00226249446715481,0.00253190858377632,0.00171593365760143
"T+12",0.00015190407131774,0.000373297064595782,0.000679790254275917,0.00137630976785772,8.23435192381745e-05,0.000673271839906405,0.000958883967783753,9.55326182681658e-05,0.00210682263697522,0.00172770197529048
"T+13",0.000151880608532157,0.000380671078137134,0.000672371415596741,0.00137630974693225,8.23884938524577e-05,0.000673271762734479,0.000958883998951163,0.00223606963513116,0.0025021917342332,0.00171993322999598
"T+14",0.000151867910313382,0.000375204199674234,0.000677069854098699,0.00137630977136707,8.23763143941108e-05,0.000673271743666342,0.000958884005048253,0.000121635214924558,0.00213446204511287,0.00172506169483229
"T+15",0.000151861037938366,0.000379257183840932,0.000674094277283694,0.00137630977669877,8.23794559680066e-05,0.000673271738954863,0.000958884002178224,0.00221028534437037,0.00247648453801474,0.00172167618654489
"T+16",0.000151857318553887,0.000376252419647438,0.000675978745363386,0.00137630977620469,8.23786982686628e-05,0.00067327173779072,0.000958884002457719,0.000147105081343934,0.0021583721062156,0.00172391109830307
"T+17",0.000151855305592994,0.000378480064140276,0.000674785289383521,0.00137630977581634,8.23788624507675e-05,0.000673271737503077,0.000958884002547939,0.00218512606807151,0.00245424597815477,0.00172243574212526
"T+18",0.000151854216162292,0.000376828553516842,0.00067554111920692,0.00137630977577885,8.23788338761383e-05,0.000673271737432004,0.000958884002514845,0.000171957554987094,0.00217905601591038,0.00172340968476234
"T+19",0.000151853626553591,0.000378052935301317,0.000675062443217543,0.0013763097757947,8.23788359102844e-05,0.000673271737414442,0.00095888400251704,0.00216057665580515,0.00243500803635657,0.00172276674560324
"T+20",0.000151853307452596,0.000377145214374256,0.000675365594397494,0.00137630977579953,8.23788373015687e-05,0.000673271737410103,0.000958884002518293,0.000196207601532848,0.00219694907433561,0.00172319117589981
"T+21",0.000151853134752558,0.00037781817218192,0.00067517360516063,0.00137630977579944,8.23788362903423e-05,0.000673271737409031,0.00095888400251792,0.00213662232439017,0.00241836584338359,0.00172291099219332
