"","WMT","JNJ","PG","CVX","CAT","KO","AA","AXP","HD","DIS"
"T+1",-0.00113719433847573,0.00107628605347559,0.00279039736881251,0.00094624394901065,0.000333002608134429,0.00098374759086499,0.00112148627845762,0.00118879712205748,0.0018796117895487,0.00165873230849676
"T+2",-3.81220751445518e-05,0.00112092966080906,0.000316225868630312,0.000384176748588756,0.000413737962523404,0.00121658663758667,0.000140181825222353,0.000633037239258123,0.00312435678615292,0.00138892994545572
"T+3",0.000422252050177984,0.000550222211583612,-0.000108291756085453,0.0011818614113384,0.000451232250068668,0.00109978509907386,0.0004827938041052,0.000775836751558888,0.00206655958551645,0.00156949125085987
"T+4",-8.97632194881809e-06,0.000501022382929905,0.000299269785846296,0.000712579699692596,0.000487501907733189,0.000996231561485254,0.000502450545705902,0.000743162396658782,0.00131922506073635,0.00151519824055919
"T+5",0.000124518929890443,0.000544543919706352,0.000135748553797182,0.00101185377148777,0.000522435602996426,0.000925638924472659,0.000518845785117351,0.000750794647725954,0.00112074951618993,0.00152336786538823
"T+6",0.000135598051789093,0.000552102824051032,0.00018205769374642,0.000822956235802208,0.000556083127965301,0.00087908643908853,0.000522335998748345,0.000749018663156401,0.00114737398177275,0.00152436326113858
"T+7",0.00010578998849248,0.000549087356019575,0.000172855769328402,0.000942338143714606,0.000588491833920533,0.000848538515090804,0.000523546331815173,0.000749432215655765,0.00119461543495869,0.00152327187556585
"T+8",0.000118782932344054,0.00054821863281096,0.000173560322869917,0.000866901618090419,0.000619707331136392,0.000828507898770305,0.000523882029417077,0.00074933592902306,0.00121400688981964,0.00152365216080359
"T+9",0.000117653502781559,0.000548400067225379,0.000173966496571449,0.000914570331388727,0.000649773550620074,0.000815375104539296,0.00052398441144009,0.000749358347787396,0.0012157898533899,0.00152358072205036
"T+10",0.000115863593146398,0.000548486745727078,0.000173711802883322,0.000884448310000311,0.000678732805947321,0.000806764921859097,0.00052401435662258,0.000749353127968382,0.00121339417921653,0.00152357976697077
"T+11",0.000116969557051206,0.000548478571807339,0.000173802530188379,0.000903482523162748,0.000706625852812219,0.00080111988955642,0.000524023275708946,0.000749354343313352,0.00121187787374065,0.00152358603071649
"T+12",0.000116737762185673,0.000548470714696385,0.000173779159882323,0.00089145473617408,0.000733491946384569,0.000797418879034627,0.000524025911221094,0.000749354060341246,0.00121151760844983,0.0015235834579227
"T+13",0.000116653687981417,0.000548470767940231,0.000173783136265677,0.000899055137582574,0.000759368896555495,0.000794992413198039,0.000524026692691926,0.00074935412622642,0.00121159311319689,0.0015235840330965
"T+14",0.000116738081143776,0.000548471425347485,0.000173783105052635,0.000894252416883358,0.000784293121149045,0.000793401567572112,0.000524026924060616,0.000749354110886194,0.00121169262491008,0.00152358400067836
"T+15",0.000116710862329565,0.00054847147332037,0.000173782796752615,0.000897287273185894,0.000808299697174674,0.0007923585733689,0.000524026992606675,0.000749354114457901,0.00121173016842219,0.00152358396722276
"T+16",0.00011670924438797,0.000548471422493664,0.00017378294911015,0.0008953695366874,0.000831422410192732,0.000791674762891023,0.000524027012908523,0.000749354113626291,0.00121173225139948,0.00152358398404183
"T+17",0.000116714999399546,0.000548471414454493,0.000173782900151355,0.00089658136120594,0.000853693801862443,0.000791226441348873,0.000524027018922242,0.000749354113819917,0.00121172691999406,0.00152358397966723
"T+18",0.000116712396279434,0.000548471418038961,0.000173782911549016,0.000895815604979843,0.000875145215739278,0.000790932511653939,0.0005240270207035,0.000749354113774834,0.00121172386617833,0.00152358398013926
"T+19",0.000116712661947354,0.000548471418992962,0.000173782909992986,0.000896299489064407,0.00089580684138619,0.000790739804729463,0.00052402702123112,0.000749354113785331,0.00121172322677389,0.00152358398029828
"T+20",0.000116713000727407,0.000548471418771023,0.00017378290982197,0.000895993720989249,0.000915707756860769,0.000790613461731866,0.000524027021387403,0.000749354113782887,0.0012117234224677,0.00152358398019226
"T+21",0.000116712781978919,0.000548471418674027,0.000173782910031654,0.000896186936924157,0.000934875969638137,0.000790530628418608,0.000524027021433694,0.000749354113783456,0.00121172363031715,0.00152358398022409
