"","PG","CAT","CVX","WMT","KO","MCD","MRK","T","HD","DIS"
"T+1",0.00163270973438463,0.000354456834174528,0.000185234132297719,0.00144619547579689,0.000547657873162354,0.00122140041828534,0.00197878983357668,0.00147971974306083,0.00256365797649541,0.00175677913600215
"T+2",-0.000133139242457083,7.61035697702597e-05,-0.000111134325060383,0.00155953433476483,0.00100436056614732,0.00097331769563934,0.000809291593453218,0.000404310178769918,0.00409649178221127,0.000426533064484962
"T+3",0.00100176680635905,-0.000269502862145604,0.000568024892051556,0.00155592391121398,0.000669931681522828,0.000738230532374116,0.00161384112174999,0.00104355989433376,0.00105174468044634,0.00217918834638547
"T+4",0.000229799674067806,-0.000255406009577549,0.000380216103009115,0.00154720450124896,0.00070419139232935,0.000551898536943886,0.000844899786906313,0.000733081809156312,0.00369570166725845,0.00129707362054677
"T+5",0.000757373105557153,-0.000277055065705231,0.000473881280372131,0.00153854632571614,0.000668873516522227,0.000407524919156742,0.00158825698107719,0.000900431388273836,0.00124304958831303,0.00179940456181783
"T+6",0.000396685467933924,-0.000274310388729681,0.000437712669951756,0.00153017851643001,0.000670946612558185,0.000296021924913939,0.000869394259276869,0.000815053531096897,0.00350173210178095,0.00151959396737956
"T+7",0.000643285285215182,-0.000275830955821827,0.000453156503155732,0.00152210167202252,0.000667141774331266,0.000209945753318803,0.00156457628269237,0.00085987841906575,0.001420051554983,0.00167604645628865
"T+8",0.000474686167898339,-0.000275534592968317,0.000446829401126085,0.0015143061532782,0.000667186217655451,0.00014350262016978,0.000892294685068576,0.00083669614384064,0.00333843930132429,0.00158862524585154
"T+9",0.000589956601556913,-0.000275650543659703,0.000449465267765739,0.00150678218345555,0.000666767628719789,9.22149426722064e-05,0.00154243023932466,0.00084878021631427,0.00157051917712298,0.00163747924753932
"T+10",0.000511146740071236,-0.000275622804268131,0.000448374629391304,0.00149952030445176,0.000666752212133416,5.2625868063033e-05,0.000913711201797978,0.000842507179216419,0.00319977192761039,0.00161017846988229
"T+11",0.00056502867733814,-0.000275632100157476,0.0004488271526993,0.00149251138661303,0.000666705174828444,2.20669777934055e-05,0.00152171921730084,0.000845770660811692,0.00169830997359983,0.00162543484475097
"T+12",0.000528189846394992,-0.000275629641311135,0.000448639604904734,0.00148574661826197,0.000666701185384689,-1.5214934245725e-06,0.000933739969256976,0.000844074790446593,0.00308200441458069,0.00161690919606074
"T+13",0.000553376384483745,-0.000275630407327398,0.00044871736948081,0.00147921749466605,0.000666695790122731,-1.97294835419372e-05,0.00150235022983767,0.000844956573487504,0.00180684036315539,0.00162167354496284
"T+14",0.000536156465049396,-0.000275630194494754,0.000448685131278554,0.00147291580734749,0.000666695086908475,-3.37842690702469e-05,0.000952470910944563,0.000844498224910898,0.00298198663076713,0.00161901110590463
"T+15",0.000547929644208858,-0.000275630258519701,0.000448698497008641,0.00146683363376364,0.000666694456132519,-4.46331873174486e-05,0.00148423631566581,0.000844736512112829,0.00189901322922105,0.00162049894441215
"T+16",0.000539880376147574,-0.000275630240298744,0.000448692955842181,0.00146096332734662,0.000666694347732163,-5.3007489927465e-05,0.000969988123485078,0.000844612641432924,0.00289704336451481,0.00161966750249933
"T+17",0.000545383623439137,-0.000275630245688224,0.000448695253128566,0.00145529750789005,0.000666694272714437,-5.94716315686912e-05,0.00146729614843976,0.00084467703696269,0.00197729395097184,0.0016201321333386
"T+18",0.000541621078755382,-0.000275630244136407,0.00044869430071215,0.00144982905227052,0.000666694257083605,-6.44613159763033e-05,0.000986370254202666,0.000844643561024312,0.00282490260906474,0.00161987248583531
"T+19",0.000544193513128622,-0.000275630244591673,0.000448694695568843,0.00144455108549238,0.000666694248028772,-6.83128637717262e-05,0.00145145367160544,0.000844660963663698,0.00204377632978119,0.00162001758344887
"T+20",0.000542434751662427,-0.00027563024445984,0.000448694531867678,0.00143945697204439,0.000666694245860479,-7.12858815437112e-05,0.0010016908542255,0.000844651916869842,0.00276363479083114,0.00161993649922047
"T+21",0.000543637208730778,-0.000275630244498364,0.000448694599735542,0.00143454030755752,0.000666694244753859,-7.35807601592751e-05,0.00143663775692781,0.000844656619877957,0.00210023859268954,0.00161998181114487
