"","PFE","HD","XOM","PG","VZ","WMT","MRK","CVX","GS","CAT"
"T+1",0.00217050226901838,0.000124410229766805,0.000469833018985708,0.00685347611393543,0.00180404143574873,0.00132098929204558,0.00206878899301177,1.12234345329854e-05,-0.00365382218214051,-0.0006324607430938
"T+2",-0.000826139797551036,-0.00010804562878382,-0.00204505226558167,0.00102822709401636,0.00546136749758541,0.0025195113344563,0.000936543101182902,0.000157901526941585,-0.00252509949732359,-0.000962482156484109
"T+3",0.00152890618031872,0.000105711385239515,-0.000255278292502743,0.0013124449075631,-0.00229192598035701,0.000817474998254698,0.00192697935193008,-0.00029349696906563,-9.22031910040469e-05,-0.000899140396608749
"T+4",0.000513508632301291,0.000221889776723576,-0.000287581931268979,0.00190673057087171,0.00200225617843404,0.00148044780973763,0.00106931818632367,-0.00015100205300752,-0.00107705299192948,-0.000869880850108337
"T+5",0.00110261496393301,0.000303307576871557,-6.57032773147621e-05,0.0014094637520022,0.000305257348039379,0.00138227981724024,0.00181201859448289,-0.000183744980362351,-0.000302419623647439,-0.000853142380516022
"T+6",0.000810783384393039,0.000358558566725431,-3.42542418419287e-05,0.00170939922779629,0.000829547127822424,0.00134356000183825,0.00116886964891717,-0.00017739259101145,-0.000790878800272124,-0.000843671009686742
"T+7",0.000967606153774547,0.00039619099424013,-1.06786465580783e-06,0.00154786419669507,0.000711617602186232,0.00137489725667814,0.00172581099655996,-0.000178470987497713,-0.000462886402414582,-0.000838308966964297
"T+8",0.000886854966237817,0.000421812139508281,8.23860054335164e-06,0.00163037729184231,0.000721182809119574,0.00136484896326359,0.0012435219920413,-0.000178311901474149,-0.000679004544808953,-0.000835273416690691
"T+9",0.000929368097356619,0.000439256553478726,1.39396722181344e-05,0.00158939131292172,0.000729376868687633,0.00136561883397881,0.00166116504343994,-0.000178331101342783,-0.000535802791372516,-0.000833554934370933
"T+10",0.000907244014284765,0.000451133689575292,1.60336750296188e-05,0.00160943230678022,0.000723240924870921,0.00136655088450159,0.00129950281032383,-0.000178329658369408,-0.000630531773948287,-0.000832582069135465
"T+11",0.000918827226084642,0.000459220315821233,1.70924032213959e-05,0.00159972207373077,0.000726008903671569,0.00136600301080282,0.00161268788648994,-0.000178329547964647,-0.000567836904296623,-0.000832031311785353
"T+12",0.000912781824530156,0.000464726148073971,1.752767089416e-05,0.00160440138317946,0.000725050442428792,0.00136614562667337,0.00134148209569429,-0.000178329627496658,-0.00060932441497415,-0.000831719517666692
"T+13",0.000915942167572534,0.00046847482992778,1.77317172431783e-05,0.00160215378915985,0.000725305801524972,0.00136614806119327,0.00157633549886885,-0.000178329604945279,-0.000581869399605523,-0.000831543005138239
"T+14",0.000914291454778441,0.000471027144451984,1.78196263240169e-05,0.00160323124082804,0.000725264056565503,0.00136612840879987,0.00137296181418145,-0.000178329609882686,-0.000600037954198858,-0.000831443078068304
"T+15",0.000915154041272238,0.000472764904466113,1.78595959147323e-05,0.00160271534991575,0.000725259142889566,0.00136613754163451,0.00154907531760208,-0.00017832960895694,-0.000588014735775901,-0.000831386507470209
"T+16",0.000914703398188276,0.000473948069721818,1.78771517422557e-05,0.00160296218194261,0.000725267105908965,0.00136613569762111,0.00139656804442777,-0.00017832960910909,-0.000595971208879122,-0.00083135448178817
"T+17",0.000914938857284067,0.000474753635513944,1.7885034973532e-05,0.00160284413568815,0.000725262833252392,0.0013661354006254,0.00152863326327424,-0.000178329609087536,-0.000590705939338088,-0.000831336351445826
"T+18",0.00091481583869227,0.000475302110245022,1.7888525108949e-05,0.00160290057545084,0.000725264492173036,0.00136613578238302,0.00141427004855049,-0.000178329609089954,-0.000594190279721354,-0.000831326087517236
"T+19",0.000914880113437024,0.00047567554284801,1.78900843440389e-05,0.00160287359518296,0.000725263988549043,0.00136613563733287,0.00151330403339668,-0.000178329609089818,-0.00059188448546413,-0.000831320276913768
"T+20",0.000914846531750913,0.000475929796874809,1.78907769137674e-05,0.0016028864914324,0.000725264098402797,0.00136613565759608,0.0014275445505227,-0.00017832960908979,-0.000593410365982241,-0.000831316987421604
"T+21",0.000914864077363323,0.000476102907389602,1.78910856776513e-05,0.00160288032755823,0.000725264091305202,0.00136613566665149,0.00150180884387851,-0.000178329609089803,-0.000592400600538331,-0.000831315125178077
